loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_1,new_track,2
0,0,0.0,camera_1,new_track,3
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_2,new_track,2
0,0,0.0,camera_2,new_track,3
0,0,0.0,camera_2,new_track,4
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
0,0,0.0,camera_3,new_track,4
0,0,0.0,camera_3,new_track,5
0,0,0.0,camera_3,new_track,6
0,0,0.0,camera_3,new_track,7
0,0,0.0,camera_3,new_track,8
0,0,0.0,camera_4,new_track,1
0,0,0.0,camera_4,new_track,2
0,0,0.0,camera_4,new_track,3
0,0,0.0,camera_4,new_track,4
2,10,0.333,camera_1,lost_track,3
2,10,0.333,camera_2,removed,-1
2,10,0.333,camera_4,lost_track,4
3,15,0.5,camera_1,reacquired,3
4,20,0.667,camera_1,lost_track,3
4,20,0.667,camera_2,lost_track,4
4,20,0.667,camera_3,lost_track,7
5,25,0.833,camera_4,new_track,5
6,30,1.0,camera_3,new_track,9
7,35,1.167,camera_3,reacquired,7
8,40,1.333,camera_3,removed,-1
8,40,1.333,camera_4,reacquired,4
8,40,1.333,camera_4,lost_track,5
9,45,1.5,camera_3,new_track,10
9,45,1.5,camera_3,lost_track,9
9,45,1.5,camera_4,lost_track,4
10,50,1.667,camera_3,reacquired,9
10,50,1.667,camera_3,lost_track,5
10,50,1.667,camera_3,lost_track,7
10,50,1.667,camera_4,reacquired,5
11,55,1.833,camera_3,reacquired,5
11,55,1.833,camera_3,reacquired,7
11,55,1.833,camera_3,lost_track,9
11,55,1.833,camera_4,lost_track,5
12,60,2.0,camera_1,removed,-1
13,65,2.167,camera_3,removed,-1
14,70,2.333,camera_3,lost_track,7
16,80,2.667,camera_1,lost_track,1
17,85,2.833,camera_1,reacquired,1
18,90,3.0,camera_1,removed,-1
18,90,3.0,camera_3,removed,-1
19,95,3.167,camera_1,lost_track,1
20,100,3.333,camera_1,reacquired,1
20,100,3.333,camera_3,reacquired,7
21,105,3.5,camera_3,lost_track,10
22,110,3.667,camera_3,reacquired,10
22,110,3.667,camera_3,lost_track,7
22,110,3.667,camera_3,removed,-1
23,115,3.833,camera_2,removed,-1
23,115,3.833,camera_3,lost_track,3
24,120,4.0,camera_3,reacquired,3
25,125,4.167,camera_3,reacquired,7
26,130,4.333,camera_3,new_track,11
26,130,4.333,camera_3,lost_track,3
27,135,4.5,camera_3,reacquired,3
27,135,4.5,camera_3,lost_track,11
27,135,4.5,camera_3,removed,-1
29,145,4.833,camera_2,removed,-1
29,145,4.833,camera_3,lost_track,7
30,150,5.0,camera_3,reacquired,7
32,160,5.333,camera_2,removed,-1
33,165,5.5,camera_2,new_track,5
33,165,5.5,camera_3,lost_track,7
34,170,5.667,camera_1,removed,3
34,170,5.667,camera_2,removed,4
37,185,6.167,camera_2,lost_track,5
38,190,6.333,camera_2,removed,-1
38,190,6.333,camera_3,reacquired,7
39,195,6.5,camera_3,lost_track,7
39,195,6.5,camera_4,removed,4
41,205,6.833,camera_3,removed,9
41,205,6.833,camera_4,removed,5
47,235,7.833,camera_3,lost_track,4
48,240,8.0,camera_3,reacquired,4
57,285,9.5,camera_3,removed,11
60,300,10.0,camera_3,lost_track,4
62,310,10.333,camera_2,removed,-1
62,310,10.333,camera_3,reacquired,4
62,310,10.333,camera_3,removed,-1
65,325,10.833,camera_3,lost_track,1
66,330,11.0,camera_3,reacquired,1
66,330,11.0,camera_3,removed,-1
67,335,11.167,camera_2,removed,5
69,345,11.5,camera_3,removed,-1
69,345,11.5,camera_3,removed,7
71,355,11.833,camera_1,removed,-1
71,355,11.833,camera_3,lost_track,2
72,360,12.0,camera_3,removed,-1
73,365,12.167,camera_1,new_track,4
78,390,13.0,camera_1,lost_track,4
78,390,13.0,camera_5,removed,-1
79,395,13.167,camera_5,new_track,1
80,400,13.333,camera_3,removed,-1
80,400,13.333,camera_5,new_track,2
81,405,13.5,camera_2,lost_track,1
81,405,13.5,camera_5,lost_track,2
86,430,14.333,camera_3,removed,-1
88,440,14.667,camera_3,lost_track,10
89,445,14.833,camera_3,reacquired,10
89,445,14.833,camera_4,new_track,6
90,450,15.0,camera_2,new_track,6
90,450,15.0,camera_4,lost_track,6
91,455,15.167,camera_2,removed,-1
91,455,15.167,camera_4,reacquired,6
91,455,15.167,camera_5,lost_track,1
92,460,15.333,camera_2,lost_track,3
92,460,15.333,camera_4,lost_track,6
93,465,15.5,camera_2,removed,-1
94,470,15.667,camera_2,lost_track,6
94,470,15.667,camera_3,lost_track,10
94,470,15.667,camera_3,removed,-1
94,470,15.667,camera_4,reacquired,6
94,470,15.667,camera_4,removed,-1
95,475,15.833,camera_4,lost_track,6
96,480,16.0,camera_3,new_track,12
96,480,16.0,camera_3,new_track,13
97,485,16.167,camera_2,removed,-1
97,485,16.167,camera_3,reacquired,10
97,485,16.167,camera_4,reacquired,6
98,490,16.333,camera_2,new_track,7
98,490,16.333,camera_3,lost_track,13
98,490,16.333,camera_4,lost_track,6
98,490,16.333,camera_6,removed,-1
99,495,16.5,camera_3,reacquired,13
99,495,16.5,camera_6,new_track,1
100,500,16.667,camera_3,lost_track,10
100,500,16.667,camera_3,lost_track,13
101,505,16.833,camera_3,reacquired,10
101,505,16.833,camera_3,removed,2
103,515,17.167,camera_2,new_track,8
103,515,17.167,camera_3,reacquired,13
104,520,17.333,camera_3,lost_track,10
104,520,17.333,camera_3,lost_track,13
105,525,17.5,camera_2,lost_track,7
105,525,17.5,camera_3,lost_track,12
106,530,17.667,camera_3,reacquired,10
107,535,17.833,camera_3,removed,-1
108,540,18.0,camera_1,removed,4
111,555,18.5,camera_2,lost_track,8
111,555,18.5,camera_2,removed,1
111,555,18.5,camera_5,removed,2
111,555,18.5,camera_6,lost_track,1
112,560,18.667,camera_3,lost_track,10
112,560,18.667,camera_3,lost_track,3
112,560,18.667,camera_6,new_track,2
113,565,18.833,camera_3,reacquired,3
113,565,18.833,camera_3,removed,-1
114,570,19.0,camera_2,reacquired,8
114,570,19.0,camera_3,reacquired,10
116,580,19.333,camera_6,removed,-1
117,585,19.5,camera_6,new_track,3
119,595,19.833,camera_3,removed,-1
119,595,19.833,camera_6,lost_track,3
119,595,19.833,camera_7,new_track,1
120,600,20.0,camera_6,lost_track,2
121,605,20.167,camera_5,removed,1
121,605,20.167,camera_6,removed,-1
122,610,20.333,camera_2,removed,3
123,615,20.5,camera_3,removed,-1
124,620,20.667,camera_2,removed,6
