loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_1,new_track,2
0,0,0.0,camera_1,new_track,3
0,0,0.0,camera_1,new_track,4
0,0,0.0,camera_1,new_track,5
0,0,0.0,camera_1,new_track,6
0,0,0.0,camera_1,new_track,7
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
3,15,0.5,camera_1,lost_track,7
4,20,0.667,camera_3,removed,-1
5,25,0.833,camera_1,lost_track,6
6,30,1.0,camera_3,new_track,3
8,40,1.333,camera_1,lost_track,4
9,45,1.5,camera_1,reacquired,4
12,60,2.0,camera_3,lost_track,3
13,65,2.167,camera_1,lost_track,4
14,70,2.333,camera_3,reacquired,3
15,75,2.5,camera_3,lost_track,3
16,80,2.667,camera_3,reacquired,3
17,85,2.833,camera_3,lost_track,2
18,90,3.0,camera_1,reacquired,4
18,90,3.0,camera_5,new_track,1
18,90,3.0,camera_5,removed,-1
19,95,3.167,camera_1,removed,-1
20,100,3.333,camera_1,lost_track,4
21,105,3.5,camera_1,new_track,8
21,105,3.5,camera_1,reacquired,4
21,105,3.5,camera_5,new_track,2
22,110,3.667,camera_1,removed,-1
22,110,3.667,camera_5,new_track,3
22,110,3.667,camera_5,lost_track,1
22,110,3.667,camera_5,lost_track,2
22,110,3.667,camera_5,removed,-1
23,115,3.833,camera_5,lost_track,3
24,120,4.0,camera_1,lost_track,8
24,120,4.0,camera_5,new_track,4
24,120,4.0,camera_5,reacquired,2
24,120,4.0,camera_5,reacquired,3
25,125,4.167,camera_1,lost_track,4
26,130,4.333,camera_5,removed,-1
29,145,4.833,camera_3,reacquired,2
29,145,4.833,camera_5,lost_track,2
29,145,4.833,camera_5,lost_track,3
29,145,4.833,camera_5,lost_track,4
30,150,5.0,camera_1,reacquired,4
30,150,5.0,camera_3,new_track,4
31,155,5.167,camera_1,lost_track,4
31,155,5.167,camera_1,removed,-1
31,155,5.167,camera_3,lost_track,4
32,160,5.333,camera_1,reacquired,4
32,160,5.333,camera_3,reacquired,4
33,165,5.5,camera_1,removed,7
33,165,5.5,camera_3,lost_track,2
33,165,5.5,camera_3,lost_track,4
35,175,5.833,camera_1,removed,6
39,195,6.5,camera_3,reacquired,4
40,200,6.667,camera_3,reacquired,2
40,200,6.667,camera_3,lost_track,4
41,205,6.833,camera_3,reacquired,4
41,205,6.833,camera_3,lost_track,2
42,210,7.0,camera_1,lost_track,4
43,215,7.167,camera_1,removed,-1
43,215,7.167,camera_3,reacquired,2
43,215,7.167,camera_3,lost_track,3
43,215,7.167,camera_3,lost_track,4
46,230,7.667,camera_3,reacquired,3
47,235,7.833,camera_1,removed,-1
47,235,7.833,camera_3,lost_track,2
48,240,8.0,camera_3,reacquired,2
49,245,8.167,camera_3,reacquired,4
49,245,8.167,camera_3,lost_track,2
52,260,8.667,camera_5,removed,1
54,270,9.0,camera_1,removed,8
55,275,9.167,camera_3,lost_track,4
56,280,9.333,camera_3,reacquired,2
56,280,9.333,camera_3,reacquired,4
57,285,9.5,camera_3,lost_track,2
59,295,9.833,camera_3,reacquired,2
59,295,9.833,camera_3,lost_track,3
59,295,9.833,camera_5,removed,2
59,295,9.833,camera_5,removed,3
59,295,9.833,camera_5,removed,4
60,300,10.0,camera_3,lost_track,4
61,305,10.167,camera_3,reacquired,3
62,310,10.333,camera_3,reacquired,4
62,310,10.333,camera_3,lost_track,2
63,315,10.5,camera_3,reacquired,2
64,320,10.667,camera_3,lost_track,4
64,320,10.667,camera_3,removed,-1
65,325,10.833,camera_3,lost_track,2
66,330,11.0,camera_3,reacquired,2
66,330,11.0,camera_3,reacquired,4
68,340,11.333,camera_3,lost_track,2
69,345,11.5,camera_1,reacquired,4
69,345,11.5,camera_3,reacquired,2
69,345,11.5,camera_3,lost_track,4
70,350,11.667,camera_3,reacquired,4
70,350,11.667,camera_3,lost_track,2
72,360,12.0,camera_3,lost_track,3
73,365,12.167,camera_1,removed,-1
73,365,12.167,camera_3,reacquired,3
74,370,12.333,camera_3,reacquired,2
74,370,12.333,camera_3,lost_track,4
75,375,12.5,camera_3,reacquired,4
76,380,12.667,camera_3,lost_track,2
77,385,12.833,camera_3,reacquired,2
77,385,12.833,camera_3,lost_track,3
77,385,12.833,camera_3,lost_track,4
79,395,13.167,camera_3,reacquired,4
80,400,13.333,camera_3,new_track,5
82,410,13.667,camera_1,lost_track,4
82,410,13.667,camera_1,removed,-1
82,410,13.667,camera_3,reacquired,3
83,415,13.833,camera_3,lost_track,3
84,420,14.0,camera_1,reacquired,4
84,420,14.0,camera_3,reacquired,3
85,425,14.167,camera_3,lost_track,3
87,435,14.5,camera_3,reacquired,3
88,440,14.667,camera_1,removed,-1
88,440,14.667,camera_3,removed,-1
89,445,14.833,camera_3,new_track,6
89,445,14.833,camera_3,lost_track,4
89,445,14.833,camera_3,lost_track,5
90,450,15.0,camera_1,new_track,9
90,450,15.0,camera_1,new_track,10
90,450,15.0,camera_3,reacquired,5
90,450,15.0,camera_3,removed,-1
92,460,15.333,camera_1,lost_track,9
92,460,15.333,camera_1,lost_track,10
92,460,15.333,camera_3,lost_track,6
94,470,15.667,camera_3,reacquired,6
94,470,15.667,camera_3,lost_track,3
95,475,15.833,camera_1,reacquired,9
95,475,15.833,camera_3,reacquired,4
95,475,15.833,camera_3,lost_track,2
96,480,16.0,camera_1,reacquired,10
96,480,16.0,camera_1,lost_track,9
96,480,16.0,camera_3,reacquired,2
97,485,16.167,camera_1,reacquired,9
97,485,16.167,camera_1,lost_track,10
97,485,16.167,camera_1,removed,-1
97,485,16.167,camera_3,lost_track,2
97,485,16.167,camera_3,lost_track,4
97,485,16.167,camera_3,lost_track,6
100,500,16.667,camera_1,reacquired,10
100,500,16.667,camera_3,reacquired,4
100,500,16.667,camera_3,reacquired,6
101,505,16.833,camera_3,removed,-1
102,510,17.0,camera_1,lost_track,9
102,510,17.0,camera_1,lost_track,10
103,515,17.167,camera_3,new_track,7
104,520,17.333,camera_1,lost_track,4
104,520,17.333,camera_3,reacquired,2
104,520,17.333,camera_3,reacquired,3
105,525,17.5,camera_1,reacquired,4
105,525,17.5,camera_3,lost_track,2
105,525,17.5,camera_3,lost_track,3
106,530,17.667,camera_1,lost_track,4
106,530,17.667,camera_3,reacquired,2
106,530,17.667,camera_3,reacquired,3
106,530,17.667,camera_3,lost_track,4
106,530,17.667,camera_3,lost_track,5
107,535,17.833,camera_3,reacquired,5
108,540,18.0,camera_3,lost_track,2
109,545,18.167,camera_1,reacquired,4
109,545,18.167,camera_3,reacquired,4
