loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,2707.3,9,9,0,9,0,9,0,0,0,1,2,3,0,0,0,3,1,2,3,0,0,0,3,0,0,0,0,0,0,0
50,8.33,2737.5,23,19,4,19,4,19,6,0,0,6,5,9,0,0,0,3,5,2,9,0,0,0,3,0,1,0,0,0,0,0
100,16.67,2736.5,33,24,9,24,9,24,10,0,0,9,7,10,0,0,3,4,5,4,9,0,0,3,3,1,0,0,0,0,0,1
150,25.0,2739.3,51,29,22,30,22,29,13,0,0,13,10,16,0,3,6,4,7,6,12,0,1,3,1,1,0,0,0,0,0,0
200,33.33,2716.4,66,30,36,30,36,30,14,0,0,19,14,21,0,3,6,4,9,7,14,0,0,0,0,0,1,1,0,0,0,0
250,41.67,2714.2,73,24,49,24,49,24,6,0,0,24,15,22,0,3,6,4,9,6,9,0,0,0,0,0,0,0,0,0,0,0
300,50.0,2716.5,75,20,55,20,55,20,3,0,0,26,15,22,0,3,6,4,6,6,8,0,0,0,0,1,0,0,0,0,0,0
350,58.33,2716.6,86,27,59,27,59,27,9,0,0,32,15,27,0,3,6,4,9,6,12,0,0,0,0,0,0,0,0,0,0,0
400,66.67,2716.6,89,21,68,21,68,21,2,0,0,33,15,29,0,3,6,4,6,4,11,0,0,0,0,0,0,0,0,0,0,0
450,75.0,2714.4,97,26,71,26,71,26,7,0,0,37,16,32,0,3,6,4,8,5,13,0,0,0,0,0,0,0,0,0,0,0
500,83.33,2716.8,102,24,78,24,78,24,6,0,0,41,16,33,0,3,6,4,8,4,12,0,0,0,0,0,0,0,0,0,0,0
550,91.67,2717.0,102,21,81,21,81,21,1,0,0,41,16,33,0,3,6,4,7,4,10,0,0,0,0,0,0,0,0,0,0,0
600,100.0,2717.0,105,24,81,24,81,24,3,0,0,41,18,34,0,3,6,4,7,6,11,0,0,0,0,0,0,0,0,0,0,0
650,108.33,2717.0,109,26,75,26,75,26,5,0,0,43,18,36,0,3,6,4,8,6,12,0,0,0,0,1,0,0,0,0,0,0
700,116.67,2717.0,115,27,71,27,71,27,9,0,0,46,19,38,0,3,6,4,8,6,13,0,0,0,0,1,0,1,0,0,0,0
750,125.0,2717.0,117,23,62,23,62,23,3,0,0,47,19,39,0,3,6,4,6,6,11,0,0,0,0,0,0,0,0,0,0,0
800,133.33,2717.0,118,22,48,22,48,22,2,0,0,48,19,39,0,3,6,4,6,5,11,0,0,0,0,0,1,0,0,0,0,0
850,141.67,2717.0,121,25,44,25,44,25,6,0,0,50,20,39,0,3,6,4,8,6,11,0,0,0,0,0,0,0,0,0,0,0
900,150.0,2717.0,123,22,46,22,46,22,3,0,0,51,20,40,0,3,6,4,6,6,10,0,0,0,0,0,0,1,0,0,0,0
950,158.33,2717.0,130,25,37,25,37,25,7,0,0,54,20,44,0,3,6,4,7,6,12,0,0,0,0,0,0,0,0,0,0,0
1000,166.67,2717.0,133,23,42,23,42,23,5,0,0,56,20,45,0,3,6,4,5,6,12,0,0,0,0,1,0,0,0,0,0,0
1050,175.0,2717.0,140,28,35,28,35,28,4,0,0,60,23,45,0,3,6,4,9,8,11,0,0,0,0,1,0,0,0,0,0,0
1100,183.33,2717.1,141,23,37,23,37,23,3,0,0,61,23,45,0,3,6,4,8,6,9,0,0,0,0,0,1,1,0,0,0,0
1150,191.67,2717.2,143,24,38,24,38,24,3,0,0,62,23,46,0,3,6,4,8,6,10,0,0,0,0,0,0,0,0,0,0,0
1200,200.0,2741.1,146,27,37,27,37,27,5,0,0,64,23,47,0,3,6,4,10,6,11,0,0,0,0,0,0,0,0,0,0,0
