loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_2,new_track,2
0,0,0.0,camera_2,new_track,3
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
0,0,0.0,camera_3,new_track,4
0,0,0.0,camera_3,new_track,5
1,5,0.167,camera_2,lost_track,2
2,10,0.333,camera_4,new_track,1
10,50,1.667,camera_3,new_track,6
10,50,1.667,camera_3,removed,-1
13,65,2.167,camera_1,new_track,2
13,65,2.167,camera_2,new_track,4
14,70,2.333,camera_3,lost_track,1
15,75,2.5,camera_3,new_track,8
15,75,2.5,camera_3,new_track,7
16,80,2.667,camera_3,reacquired,1
16,80,2.667,camera_3,lost_track,6
16,80,2.667,camera_3,lost_track,7
19,95,3.167,camera_3,reacquired,6
19,95,3.167,camera_3,lost_track,8
19,95,3.167,camera_3,lost_track,5
20,100,3.333,camera_3,reacquired,5
20,100,3.333,camera_3,lost_track,6
20,100,3.333,camera_3,removed,-1
21,105,3.5,camera_3,reacquired,6
21,105,3.5,camera_3,lost_track,5
22,110,3.667,camera_2,lost_track,4
22,110,3.667,camera_2,removed,-1
22,110,3.667,camera_3,new_track,9
22,110,3.667,camera_3,lost_track,6
23,115,3.833,camera_3,lost_track,9
24,120,4.0,camera_3,reacquired,5
24,120,4.0,camera_3,reacquired,9
25,125,4.167,camera_3,lost_track,9
25,125,4.167,camera_3,removed,-1
26,130,4.333,camera_3,reacquired,9
27,135,4.5,camera_3,lost_track,9
28,140,4.667,camera_3,new_track,10
30,150,5.0,camera_2,lost_track,3
30,150,5.0,camera_3,lost_track,3
31,155,5.167,camera_2,removed,2
36,180,6.0,camera_3,removed,-1
39,195,6.5,camera_3,reacquired,9
43,215,7.167,camera_3,lost_track,9
45,225,7.5,camera_3,removed,-1
46,230,7.667,camera_3,removed,7
49,245,8.167,camera_3,reacquired,9
49,245,8.167,camera_3,removed,8
52,260,8.667,camera_2,removed,4
52,260,8.667,camera_3,lost_track,9
52,260,8.667,camera_3,removed,6
53,265,8.833,camera_3,reacquired,9
54,270,9.0,camera_3,lost_track,9
55,275,9.167,camera_1,lost_track,2
57,285,9.5,camera_2,new_track,5
57,285,9.5,camera_3,lost_track,1
58,290,9.667,camera_1,new_track,3
58,290,9.667,camera_3,removed,-1
60,300,10.0,camera_2,removed,3
60,300,10.0,camera_3,reacquired,1
60,300,10.0,camera_3,removed,3
62,310,10.333,camera_1,lost_track,3
63,315,10.5,camera_1,new_track,4
63,315,10.5,camera_3,new_track,11
66,330,11.0,camera_1,removed,-1
66,330,11.0,camera_3,lost_track,11
66,330,11.0,camera_3,removed,-1
67,335,11.167,camera_3,reacquired,9
69,345,11.5,camera_1,removed,-1
69,345,11.5,camera_3,removed,-1
71,355,11.833,camera_3,removed,-1
73,365,12.167,camera_3,lost_track,10
74,370,12.333,camera_1,new_track,5
74,370,12.333,camera_1,lost_track,4
75,375,12.5,camera_1,removed,-1
75,375,12.5,camera_2,lost_track,5
76,380,12.667,camera_3,reacquired,10
76,380,12.667,camera_3,removed,-1
79,395,13.167,camera_2,new_track,6
79,395,13.167,camera_3,new_track,12
79,395,13.167,camera_3,new_track,13
79,395,13.167,camera_3,lost_track,1
80,400,13.333,camera_3,lost_track,13
81,405,13.5,camera_3,new_track,14
81,405,13.5,camera_3,removed,-1
82,410,13.667,camera_3,reacquired,1
82,410,13.667,camera_3,lost_track,9
83,415,13.833,camera_2,removed,-1
83,415,13.833,camera_3,reacquired,9
83,415,13.833,camera_3,lost_track,1
84,420,14.0,camera_2,new_track,7
85,425,14.167,camera_1,removed,2
85,425,14.167,camera_3,removed,-1
87,435,14.5,camera_3,reacquired,1
87,435,14.5,camera_3,removed,-1
92,460,15.333,camera_1,removed,3
92,460,15.333,camera_3,lost_track,1
93,465,15.5,camera_3,new_track,15
93,465,15.5,camera_3,removed,-1
94,470,15.667,camera_3,reacquired,13
94,470,15.667,camera_3,lost_track,12
95,475,15.833,camera_2,removed,-1
95,475,15.833,camera_3,lost_track,9
96,480,16.0,camera_1,lost_track,1
96,480,16.0,camera_3,new_track,16
96,480,16.0,camera_3,reacquired,9
96,480,16.0,camera_3,lost_track,13
96,480,16.0,camera_3,lost_track,15
96,480,16.0,camera_3,removed,11
96,480,16.0,camera_3,removed,-1
97,485,16.167,camera_2,new_track,8
97,485,16.167,camera_3,new_track,17
97,485,16.167,camera_3,lost_track,9
100,500,16.667,camera_4,lost_track,1
101,505,16.833,camera_3,removed,-1
102,510,17.0,camera_3,lost_track,17
103,515,17.167,camera_3,new_track,18
103,515,17.167,camera_3,removed,-1
104,520,17.333,camera_1,removed,4
104,520,17.333,camera_2,removed,-1
104,520,17.333,camera_3,lost_track,16
105,525,17.5,camera_2,removed,5
106,530,17.667,camera_2,removed,-1
107,535,17.833,camera_1,new_track,6
107,535,17.833,camera_1,removed,-1
107,535,17.833,camera_2,new_track,9
107,535,17.833,camera_3,new_track,19
108,540,18.0,camera_3,lost_track,19
109,545,18.167,camera_1,removed,-1
110,550,18.333,camera_1,reacquired,1
112,560,18.667,camera_2,removed,-1
115,575,19.167,camera_3,reacquired,13
