loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,2725.0,4,4,0,11,0,4,0,0,0,2,2,6,1,0,0,0,2,2,6,1,0,0,0,0,0,0,0,0,0,0
50,8.33,2733.4,5,5,0,16,0,5,5,0,0,3,2,11,1,0,0,0,3,2,10,1,0,0,0,0,1,0,0,0,0,0
100,16.67,2733.9,6,5,1,19,1,5,6,0,0,4,4,16,1,1,0,0,3,4,10,1,1,0,0,0,0,2,0,0,0,0
150,25.0,2736.2,12,9,3,29,3,9,17,0,0,10,10,19,1,4,0,0,7,9,8,1,4,0,0,0,0,0,0,0,0,0
200,33.33,2713.4,14,5,9,25,9,5,16,0,0,12,17,20,1,9,2,0,4,9,2,1,7,2,0,0,0,0,0,1,0,0
250,41.67,2713.5,20,8,12,27,12,8,16,0,0,18,20,24,5,10,8,0,7,4,4,5,0,7,0,0,0,0,0,0,1,0
300,50.0,2713.7,22,3,19,20,19,3,10,0,0,19,22,30,8,14,8,1,1,3,6,5,4,0,1,0,0,1,0,1,0,0
350,58.33,2711.4,24,4,20,24,20,4,7,0,0,21,24,34,10,20,12,1,2,2,4,5,6,4,1,0,1,0,0,0,0,0
400,66.67,2713.9,29,8,21,33,21,8,20,0,0,24,25,36,12,34,13,3,5,2,3,2,17,2,2,1,0,0,0,0,0,0
450,75.0,2711.5,34,7,27,24,27,7,14,0,0,25,27,37,15,37,16,4,1,3,1,4,10,3,2,1,0,0,1,0,0,0
500,83.33,2713.9,44,10,34,24,34,10,16,0,0,33,29,39,17,46,17,5,7,3,3,1,9,0,1,1,0,0,0,0,0,0
550,91.67,2714.1,45,3,42,20,42,3,9,0,0,34,30,41,20,54,17,5,1,1,2,4,11,0,1,0,0,0,0,0,0,0
600,100.0,2714.1,56,13,43,26,43,13,13,0,0,41,32,42,20,60,20,6,8,2,1,2,9,3,1,0,0,0,0,0,0,0
650,108.33,2714.4,62,4,57,20,57,4,16,0,0,43,37,43,24,67,24,7,1,4,1,3,8,2,1,0,1,0,1,1,0,1
700,116.67,2712.1,68,7,59,23,59,7,12,0,0,44,39,44,28,71,27,12,1,1,1,5,7,4,4,0,0,0,0,0,0,0
