loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_1,new_track,2
0,0,0.0,camera_1,new_track,3
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
5,25,0.833,camera_1,new_track,4
5,25,0.833,camera_3,removed,-1
10,50,1.667,camera_1,removed,-1
13,65,2.167,camera_1,removed,-1
14,70,2.333,camera_1,new_track,5
17,85,2.833,camera_1,lost_track,4
17,85,2.833,camera_3,removed,-1
21,105,3.5,camera_1,lost_track,5
22,110,3.667,camera_1,reacquired,5
23,115,3.833,camera_1,reacquired,4
24,120,4.0,camera_1,lost_track,4
27,135,4.5,camera_1,lost_track,5
32,160,5.333,camera_1,reacquired,5
33,165,5.5,camera_1,lost_track,5
36,180,6.0,camera_3,removed,-1
38,190,6.333,camera_1,new_track,6
43,215,7.167,camera_1,new_track,7
44,220,7.333,camera_1,removed,-1
46,230,7.667,camera_1,lost_track,7
47,235,7.833,camera_1,reacquired,7
49,245,8.167,camera_1,lost_track,6
51,255,8.5,camera_1,reacquired,4
52,260,8.667,camera_1,new_track,8
53,265,8.833,camera_1,lost_track,3
54,270,9.0,camera_1,lost_track,4
56,280,9.333,camera_1,reacquired,4
58,290,9.667,camera_1,removed,-1
59,295,9.833,camera_1,lost_track,4
59,295,9.833,camera_3,removed,-1
60,300,10.0,camera_1,reacquired,4
63,315,10.5,camera_1,removed,5
68,340,11.333,camera_1,removed,-1
70,350,11.667,camera_1,lost_track,4
71,355,11.833,camera_1,reacquired,4
71,355,11.833,camera_1,removed,-1
72,360,12.0,camera_1,reacquired,6
74,370,12.333,camera_1,lost_track,6
74,370,12.333,camera_1,lost_track,7
75,375,12.5,camera_1,reacquired,7
80,400,13.333,camera_1,lost_track,4
81,405,13.5,camera_1,reacquired,6
83,415,13.833,camera_1,new_track,9
83,415,13.833,camera_1,lost_track,6
83,415,13.833,camera_1,lost_track,7
83,415,13.833,camera_1,removed,3
84,420,14.0,camera_1,reacquired,6
85,425,14.167,camera_1,reacquired,7
86,430,14.333,camera_1,lost_track,6
87,435,14.5,camera_1,reacquired,6
87,435,14.5,camera_1,lost_track,9
88,440,14.667,camera_1,removed,-1
90,450,15.0,camera_1,reacquired,4
103,515,17.167,camera_1,lost_track,6
103,515,17.167,camera_1,lost_track,7
103,515,17.167,camera_1,removed,-1
104,520,17.333,camera_1,reacquired,7
105,525,17.5,camera_1,reacquired,6
107,535,17.833,camera_1,lost_track,6
107,535,17.833,camera_1,lost_track,7
113,565,18.833,camera_1,reacquired,9
113,565,18.833,camera_1,lost_track,4
114,570,19.0,camera_1,reacquired,4
114,570,19.0,camera_1,lost_track,9
116,580,19.333,camera_1,reacquired,7
116,580,19.333,camera_1,reacquired,9
116,580,19.333,camera_1,lost_track,4
117,585,19.5,camera_1,reacquired,4
117,585,19.5,camera_1,lost_track,9
117,585,19.5,camera_1,lost_track,7
120,600,20.0,camera_1,reacquired,7
121,605,20.167,camera_1,lost_track,7
122,610,20.333,camera_1,reacquired,7
123,615,20.5,camera_1,reacquired,6
125,625,20.833,camera_1,lost_track,6
125,625,20.833,camera_1,lost_track,7
126,630,21.0,camera_1,reacquired,6
126,630,21.0,camera_1,reacquired,7
127,635,21.167,camera_1,removed,-1
128,640,21.333,camera_1,lost_track,6
130,650,21.667,camera_1,lost_track,7
131,655,21.833,camera_1,reacquired,7
132,660,22.0,camera_1,reacquired,6
132,660,22.0,camera_1,lost_track,4
133,665,22.167,camera_1,reacquired,9
133,665,22.167,camera_1,lost_track,6
135,675,22.5,camera_1,reacquired,4
136,680,22.667,camera_1,lost_track,9
138,690,23.0,camera_1,lost_track,7
139,695,23.167,camera_1,reacquired,7
139,695,23.167,camera_1,reacquired,9
139,695,23.167,camera_1,lost_track,4
140,700,23.333,camera_1,removed,-1
141,705,23.5,camera_1,reacquired,4
141,705,23.5,camera_1,lost_track,9
142,710,23.667,camera_1,lost_track,7
144,720,24.0,camera_1,reacquired,7
146,730,24.333,camera_1,reacquired,9
148,740,24.667,camera_1,lost_track,9
148,740,24.667,camera_1,removed,-1
149,745,24.833,camera_1,lost_track,7
150,750,25.0,camera_1,reacquired,7
152,760,25.333,camera_1,lost_track,7
153,765,25.5,camera_1,reacquired,7
158,790,26.333,camera_1,removed,-1
159,795,26.5,camera_1,lost_track,7
160,800,26.667,camera_1,reacquired,7
161,805,26.833,camera_1,lost_track,7
162,810,27.0,camera_1,reacquired,7
163,815,27.167,camera_1,removed,6
164,820,27.333,camera_1,lost_track,7
165,825,27.5,camera_1,new_track,10
165,825,27.5,camera_1,reacquired,7
166,830,27.667,camera_1,lost_track,10
166,830,27.667,camera_1,lost_track,7
167,835,27.833,camera_1,reacquired,7
167,835,27.833,camera_1,removed,-1
167,835,27.833,camera_3,removed,-1
170,850,28.333,camera_1,lost_track,7
171,855,28.5,camera_1,reacquired,7
175,875,29.167,camera_1,reacquired,10
176,880,29.333,camera_1,lost_track,10
177,885,29.5,camera_1,reacquired,10
177,885,29.5,camera_1,lost_track,7
178,890,29.667,camera_1,reacquired,7
178,890,29.667,camera_1,removed,9
180,900,30.0,camera_1,lost_track,7
183,915,30.5,camera_1,lost_track,10
185,925,30.833,camera_1,reacquired,7
185,925,30.833,camera_2,removed,-1
186,930,31.0,camera_1,lost_track,7
189,945,31.5,camera_1,reacquired,10
191,955,31.833,camera_1,reacquired,7
193,965,32.167,camera_1,lost_track,4
194,970,32.333,camera_1,reacquired,4
198,990,33.0,camera_1,new_track,11
199,995,33.167,camera_1,lost_track,11
202,1010,33.667,camera_1,lost_track,10
202,1010,33.667,camera_1,lost_track,7
203,1015,33.833,camera_1,new_track,12
203,1015,33.833,camera_1,reacquired,10
203,1015,33.833,camera_1,removed,-1
206,1030,34.333,camera_1,lost_track,12
207,1035,34.5,camera_1,removed,-1
209,1045,34.833,camera_1,reacquired,11
209,1045,34.833,camera_1,removed,-1
211,1055,35.167,camera_1,lost_track,11
213,1065,35.5,camera_1,new_track,13
213,1065,35.5,camera_1,removed,-1
214,1070,35.667,camera_1,new_track,14
214,1070,35.667,camera_1,reacquired,11
214,1070,35.667,camera_1,lost_track,10
214,1070,35.667,camera_1,lost_track,4
215,1075,35.833,camera_1,reacquired,4
215,1075,35.833,camera_1,lost_track,11
215,1075,35.833,camera_1,lost_track,13
216,1080,36.0,camera_1,lost_track,14
217,1085,36.167,camera_1,new_track,15
217,1085,36.167,camera_1,reacquired,14
