loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,2492.2,4,4,0,5,0,4,0,0,0,3,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
50,8.33,2486.8,4,4,0,8,0,4,2,0,0,3,1,4,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0
100,16.67,2487.2,6,5,1,11,1,5,4,0,0,5,3,6,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0
150,25.0,2479.1,7,4,3,22,3,4,12,0,0,6,8,15,0,6,0,0,3,7,7,0,5,0,0,0,0,0,0,0,0,0
200,33.33,2442.9,9,5,4,17,4,5,8,0,0,8,11,17,0,12,1,0,4,5,2,0,5,1,0,0,0,0,0,0,0,0
250,41.67,2443.1,11,5,6,15,6,5,4,0,0,10,13,21,1,12,6,0,4,3,4,1,0,3,0,0,1,0,0,0,1,0
300,50.0,2443.5,14,6,8,19,8,6,10,0,0,11,17,25,3,15,6,2,4,5,4,2,3,0,1,0,0,0,1,0,0,0
350,58.33,2443.6,15,4,11,20,11,4,10,0,0,12,19,28,7,20,10,2,2,3,4,3,3,4,1,0,0,1,1,1,0,0
400,66.67,2443.7,19,6,13,19,13,6,10,0,0,13,21,32,9,24,10,5,3,3,4,2,4,1,2,0,0,0,0,0,0,0
450,75.0,2441.4,22,5,17,18,17,5,8,0,0,13,24,33,10,25,14,8,2,4,2,2,2,4,2,0,0,1,1,0,0,1
500,83.33,2443.9,25,5,20,15,20,5,8,0,0,13,28,35,13,27,16,11,2,5,3,1,2,0,2,0,0,1,0,0,0,0
550,91.67,2444.0,26,4,22,12,22,4,3,0,0,14,29,38,16,28,16,11,3,2,3,3,1,0,0,0,0,0,0,0,0,1
600,100.0,2441.7,28,5,23,18,23,5,10,0,0,15,31,39,16,32,19,12,3,3,2,2,4,3,1,1,0,0,0,0,0,0
650,108.33,2444.1,29,5,24,16,24,5,10,0,0,15,32,40,20,38,21,13,3,3,2,3,3,1,1,0,0,0,1,0,0,0
