loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_1,new_track,2
0,0,0.0,camera_1,new_track,3
0,0,0.0,camera_1,new_track,4
0,0,0.0,camera_2,new_track,1
27,135,4.5,camera_1,lost_track,3
28,140,4.667,camera_1,reacquired,3
35,175,5.833,camera_1,lost_track,3
37,185,6.167,camera_1,reacquired,3
38,190,6.333,camera_1,lost_track,3
44,220,7.333,camera_1,reacquired,3
45,225,7.5,camera_1,lost_track,3
46,230,7.667,camera_1,reacquired,3
54,270,9.0,camera_1,lost_track,3
59,295,9.833,camera_3,new_track,1
61,305,10.167,camera_3,lost_track,1
64,320,10.667,camera_1,reacquired,3
65,325,10.833,camera_1,lost_track,3
68,340,11.333,camera_1,reacquired,3
69,345,11.5,camera_1,lost_track,3
72,360,12.0,camera_1,reacquired,3
73,365,12.167,camera_1,lost_track,3
74,370,12.333,camera_1,reacquired,3
76,380,12.667,camera_1,lost_track,3
77,385,12.833,camera_1,reacquired,3
91,455,15.167,camera_3,removed,1
95,475,15.833,camera_1,lost_track,3
97,485,16.167,camera_1,new_track,5
97,485,16.167,camera_1,reacquired,3
98,490,16.333,camera_1,lost_track,5
115,575,19.167,camera_1,removed,-1
128,640,21.333,camera_1,removed,5
187,935,31.167,camera_2,lost_track,1
188,940,31.333,camera_2,reacquired,1
194,970,32.333,camera_1,removed,-1
206,1030,34.333,camera_1,removed,-1
236,1180,39.333,camera_1,new_track,6
238,1190,39.667,camera_1,lost_track,6
244,1220,40.667,camera_1,reacquired,6
245,1225,40.833,camera_1,lost_track,6
275,1375,45.833,camera_1,removed,6
308,1540,51.333,camera_1,lost_track,3
310,1550,51.667,camera_1,reacquired,3
333,1665,55.5,camera_1,removed,-1
335,1675,55.833,camera_1,lost_track,3
336,1680,56.0,camera_1,reacquired,3
339,1695,56.5,camera_1,new_track,7
343,1715,57.167,camera_1,lost_track,7
363,1815,60.5,camera_1,lost_track,3
364,1820,60.667,camera_1,reacquired,3
373,1865,62.167,camera_1,removed,7
382,1910,63.667,camera_1,lost_track,3
383,1915,63.833,camera_1,reacquired,3
384,1920,64.0,camera_1,lost_track,3
385,1925,64.167,camera_1,reacquired,3
434,2170,72.333,camera_1,new_track,8
455,2275,75.833,camera_1,lost_track,8
458,2290,76.333,camera_1,reacquired,8
460,2300,76.667,camera_1,lost_track,8
462,2310,77.0,camera_1,reacquired,8
465,2325,77.5,camera_1,lost_track,8
466,2330,77.667,camera_1,reacquired,8
467,2335,77.833,camera_1,lost_track,8
476,2380,79.333,camera_1,reacquired,8
480,2400,80.0,camera_1,lost_track,8
487,2435,81.167,camera_1,reacquired,8
494,2470,82.333,camera_1,lost_track,8
497,2485,82.833,camera_1,reacquired,8
497,2485,82.833,camera_1,lost_track,3
502,2510,83.667,camera_1,reacquired,3
502,2510,83.667,camera_1,removed,-1
505,2525,84.167,camera_1,lost_track,8
513,2565,85.5,camera_1,new_track,9
514,2570,85.667,camera_1,reacquired,8
514,2570,85.667,camera_1,lost_track,3
522,2610,87.0,camera_1,lost_track,1
523,2615,87.167,camera_1,reacquired,1
524,2620,87.333,camera_1,lost_track,8
526,2630,87.667,camera_3,removed,-1
530,2650,88.333,camera_1,removed,-1
530,2650,88.333,camera_3,removed,-1
534,2670,89.0,camera_3,removed,-1
535,2675,89.167,camera_3,new_track,2
538,2690,89.667,camera_3,lost_track,2
540,2700,90.0,camera_3,reacquired,2
542,2710,90.333,camera_3,lost_track,2
543,2715,90.5,camera_3,reacquired,2
544,2720,90.667,camera_1,removed,3
545,2725,90.833,camera_3,lost_track,2
546,2730,91.0,camera_5,new_track,1
548,2740,91.333,camera_5,lost_track,1
549,2745,91.5,camera_3,reacquired,2
550,2750,91.667,camera_3,lost_track,2
552,2760,92.0,camera_3,reacquired,2
553,2765,92.167,camera_3,lost_track,2
554,2770,92.333,camera_1,removed,8
555,2775,92.5,camera_3,reacquired,2
568,2840,94.667,camera_5,reacquired,1
569,2845,94.833,camera_1,removed,-1
573,2865,95.5,camera_5,lost_track,1
574,2870,95.667,camera_5,reacquired,1
575,2875,95.833,camera_5,lost_track,1
576,2880,96.0,camera_5,reacquired,1
578,2890,96.333,camera_5,lost_track,1
580,2900,96.667,camera_5,reacquired,1
582,2910,97.0,camera_3,removed,-1
582,2910,97.0,camera_5,lost_track,1
585,2925,97.5,camera_3,lost_track,2
586,2930,97.667,camera_5,reacquired,1
587,2935,97.833,camera_3,reacquired,2
587,2935,97.833,camera_5,lost_track,1
590,2950,98.333,camera_3,lost_track,2
594,2970,99.0,camera_3,reacquired,2
595,2975,99.167,camera_5,reacquired,1
596,2980,99.333,camera_5,lost_track,1
597,2985,99.5,camera_5,reacquired,1
601,3005,100.167,camera_1,removed,-1
602,3010,100.333,camera_3,lost_track,2
603,3015,100.5,camera_3,reacquired,2
603,3015,100.5,camera_5,lost_track,1
604,3020,100.667,camera_3,lost_track,2
605,3025,100.833,camera_1,lost_track,1
606,3030,101.0,camera_1,reacquired,1
606,3030,101.0,camera_3,reacquired,2
608,3040,101.333,camera_5,reacquired,1
609,3045,101.5,camera_5,lost_track,1
611,3055,101.833,camera_3,lost_track,2
615,3075,102.5,camera_5,reacquired,1
616,3080,102.667,camera_5,lost_track,1
625,3125,104.167,camera_5,reacquired,1
626,3130,104.333,camera_5,lost_track,1
627,3135,104.5,camera_1,lost_track,1
628,3140,104.667,camera_1,removed,-1
629,3145,104.833,camera_1,reacquired,1
635,3175,105.833,camera_1,new_track,10
636,3180,106.0,camera_1,new_track,11
637,3185,106.167,camera_1,lost_track,11
637,3185,106.167,camera_1,removed,-1
638,3190,106.333,camera_1,lost_track,1
641,3205,106.833,camera_3,removed,2
644,3220,107.333,camera_1,lost_track,10
647,3235,107.833,camera_1,new_track,12
650,3250,108.333,camera_1,reacquired,10
651,3255,108.5,camera_1,lost_track,10
653,3265,108.833,camera_1,reacquired,10
654,3270,109.0,camera_1,lost_track,12
655,3275,109.167,camera_1,reacquired,12
656,3280,109.333,camera_5,removed,1
657,3285,109.5,camera_1,lost_track,12
667,3335,111.167,camera_1,removed,11
668,3340,111.333,camera_1,removed,1
669,3345,111.5,camera_1,lost_track,10
670,3350,111.667,camera_1,reacquired,10
672,3360,112.0,camera_1,reacquired,12
673,3365,112.167,camera_1,lost_track,12
674,3370,112.333,camera_1,reacquired,12
675,3375,112.5,camera_1,lost_track,12
679,3395,113.167,camera_1,reacquired,12
680,3400,113.333,camera_1,lost_track,12
681,3405,113.5,camera_1,lost_track,10
