loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_2,new_track,1
19,95,3.167,camera_1,removed,-1
21,105,3.5,camera_2,removed,-1
21,105,3.5,camera_3,removed,-1
22,110,3.667,camera_1,removed,-1
22,110,3.667,camera_3,new_track,1
24,120,4.0,camera_2,new_track,2
27,135,4.5,camera_2,lost_track,2
28,140,4.667,camera_1,removed,-1
30,150,5.0,camera_1,new_track,1
31,155,5.167,camera_1,lost_track,1
34,170,5.667,camera_1,reacquired,1
40,200,6.667,camera_3,lost_track,1
41,205,6.833,camera_3,new_track,2
43,215,7.167,camera_3,new_track,3
43,215,7.167,camera_4,new_track,1
44,220,7.333,camera_1,new_track,2
44,220,7.333,camera_3,new_track,4
46,230,7.667,camera_3,lost_track,3
47,235,7.833,camera_3,reacquired,3
48,240,8.0,camera_3,removed,-1
49,245,8.167,camera_3,lost_track,2
50,250,8.333,camera_2,new_track,3
50,250,8.333,camera_3,reacquired,2
51,255,8.5,camera_3,removed,-1
52,260,8.667,camera_3,new_track,5
52,260,8.667,camera_3,lost_track,2
53,265,8.833,camera_3,reacquired,2
55,275,9.167,camera_1,lost_track,1
55,275,9.167,camera_3,lost_track,2
55,275,9.167,camera_3,lost_track,4
56,280,9.333,camera_3,reacquired,4
57,285,9.5,camera_2,removed,2
60,300,10.0,camera_1,removed,-1
62,310,10.333,camera_3,new_track,6
62,310,10.333,camera_3,lost_track,3
63,315,10.5,camera_3,reacquired,3
65,325,10.833,camera_3,lost_track,4
66,330,11.0,camera_3,reacquired,4
68,340,11.333,camera_3,lost_track,4
68,340,11.333,camera_3,removed,-1
70,350,11.667,camera_3,removed,1
71,355,11.833,camera_3,reacquired,4
73,365,12.167,camera_1,new_track,3
73,365,12.167,camera_3,reacquired,2
73,365,12.167,camera_3,lost_track,4
74,370,12.333,camera_1,lost_track,3
74,370,12.333,camera_3,lost_track,6
75,375,12.5,camera_1,new_track,4
76,380,12.667,camera_3,reacquired,4
76,380,12.667,camera_3,lost_track,2
80,400,13.333,camera_4,lost_track,1
81,405,13.5,camera_4,reacquired,1
82,410,13.667,camera_2,lost_track,3
83,415,13.833,camera_2,reacquired,3
84,420,14.0,camera_4,lost_track,1
85,425,14.167,camera_1,reacquired,3
85,425,14.167,camera_1,lost_track,2
85,425,14.167,camera_1,removed,1
85,425,14.167,camera_4,reacquired,1
86,430,14.333,camera_4,lost_track,1
87,435,14.5,camera_2,lost_track,3
87,435,14.5,camera_3,lost_track,3
87,435,14.5,camera_4,reacquired,1
88,440,14.667,camera_2,reacquired,3
88,440,14.667,camera_3,removed,-1
89,445,14.833,camera_2,lost_track,3
90,450,15.0,camera_3,lost_track,5
90,450,15.0,camera_3,removed,-1
92,460,15.333,camera_2,new_track,4
92,460,15.333,camera_3,reacquired,3
92,460,15.333,camera_3,reacquired,5
94,470,15.667,camera_2,lost_track,4
95,475,15.833,camera_3,reacquired,2
95,475,15.833,camera_3,lost_track,3
96,480,16.0,camera_1,lost_track,3
97,485,16.167,camera_2,reacquired,3
99,495,16.5,camera_4,lost_track,1
101,505,16.833,camera_2,removed,-1
102,510,17.0,camera_3,lost_track,2
103,515,17.167,camera_3,reacquired,2
104,520,17.333,camera_1,lost_track,4
104,520,17.333,camera_3,removed,6
105,525,17.5,camera_1,reacquired,4
106,530,17.667,camera_2,lost_track,3
108,540,18.0,camera_2,reacquired,3
110,550,18.333,camera_3,reacquired,3
110,550,18.333,camera_3,lost_track,5
111,555,18.5,camera_1,reacquired,3
111,555,18.5,camera_2,new_track,5
111,555,18.5,camera_2,lost_track,3
111,555,18.5,camera_3,reacquired,5
112,560,18.667,camera_1,new_track,5
113,565,18.833,camera_1,lost_track,4
113,565,18.833,camera_3,lost_track,3
114,570,19.0,camera_3,reacquired,3
115,575,19.167,camera_1,removed,2
115,575,19.167,camera_2,reacquired,3
115,575,19.167,camera_3,lost_track,3
117,585,19.5,camera_1,new_track,6
117,585,19.5,camera_2,new_track,6
118,590,19.667,camera_1,lost_track,6
119,595,19.833,camera_1,lost_track,5
119,595,19.833,camera_3,lost_track,4
120,600,20.0,camera_1,reacquired,5
121,605,20.167,camera_1,removed,-1
122,610,20.333,camera_1,lost_track,5
122,610,20.333,camera_2,lost_track,3
123,615,20.5,camera_2,lost_track,5
124,620,20.667,camera_1,reacquired,5
124,620,20.667,camera_2,removed,4
124,620,20.667,camera_3,removed,-1
126,630,21.0,camera_1,lost_track,5
126,630,21.0,camera_3,removed,-1
127,635,21.167,camera_1,reacquired,5
127,635,21.167,camera_2,lost_track,6
128,640,21.333,camera_3,lost_track,2
129,645,21.5,camera_2,removed,-1
129,645,21.5,camera_3,reacquired,2
129,645,21.5,camera_4,removed,1
130,650,21.667,camera_3,lost_track,2
131,655,21.833,camera_3,reacquired,2
132,660,22.0,camera_1,lost_track,5
132,660,22.0,camera_2,new_track,7
132,660,22.0,camera_2,reacquired,6
132,660,22.0,camera_3,reacquired,4
132,660,22.0,camera_3,lost_track,2
133,665,22.167,camera_2,lost_track,6
133,665,22.167,camera_2,lost_track,7
133,665,22.167,camera_5,new_track,1
134,670,22.333,camera_2,new_track,8
135,675,22.5,camera_3,removed,-1
136,680,22.667,camera_1,new_track,7
137,685,22.833,camera_2,reacquired,3
138,690,23.0,camera_1,lost_track,7
138,690,23.0,camera_3,new_track,7
139,695,23.167,camera_1,reacquired,7
139,695,23.167,camera_2,new_track,9
139,695,23.167,camera_4,removed,-1
140,700,23.333,camera_1,lost_track,7
140,700,23.333,camera_2,reacquired,7
140,700,23.333,camera_4,new_track,2
141,705,23.5,camera_2,lost_track,3
141,705,23.5,camera_2,lost_track,7
141,705,23.5,camera_3,removed,-1
142,710,23.667,camera_2,reacquired,3
142,710,23.667,camera_3,lost_track,4
143,715,23.833,camera_1,removed,4
143,715,23.833,camera_2,reacquired,7
143,715,23.833,camera_2,lost_track,3
143,715,23.833,camera_3,removed,-1
144,720,24.0,camera_1,removed,-1
144,720,24.0,camera_2,lost_track,8
145,725,24.167,camera_1,reacquired,7
145,725,24.167,camera_2,reacquired,3
145,725,24.167,camera_2,reacquired,8
145,725,24.167,camera_3,lost_track,7
145,725,24.167,camera_3,removed,3
146,730,24.333,camera_1,lost_track,7
146,730,24.333,camera_3,removed,-1
147,735,24.5,camera_2,lost_track,3
147,735,24.5,camera_3,reacquired,2
148,740,24.667,camera_1,removed,6
148,740,24.667,camera_2,lost_track,8
148,740,24.667,camera_2,lost_track,9
149,745,24.833,camera_1,new_track,8
149,745,24.833,camera_1,reacquired,6
149,745,24.833,camera_1,lost_track,3
149,745,24.833,camera_2,reacquired,3
149,745,24.833,camera_2,reacquired,9
149,745,24.833,camera_2,lost_track,7
149,745,24.833,camera_3,lost_track,2
150,750,25.0,camera_1,removed,-1
150,750,25.0,camera_2,new_track,10
150,750,25.0,camera_3,removed,-1
151,755,25.167,camera_3,new_track,8
151,755,25.167,camera_3,lost_track,5
152,760,25.333,camera_3,reacquired,2
152,760,25.333,camera_3,reacquired,5
152,760,25.333,camera_3,removed,-1
152,760,25.333,camera_5,new_track,2
153,765,25.5,camera_2,lost_track,10
153,765,25.5,camera_2,removed,5
153,765,25.5,camera_3,lost_track,8
154,770,25.667,camera_1,new_track,9
154,770,25.667,camera_1,lost_track,6
154,770,25.667,camera_2,reacquired,7
154,770,25.667,camera_2,lost_track,9
154,770,25.667,camera_3,reacquired,7
154,770,25.667,camera_3,lost_track,2
155,775,25.833,camera_1,new_track,10
156,780,26.0,camera_1,lost_track,9
156,780,26.0,camera_1,lost_track,10
156,780,26.0,camera_2,removed,-1
156,780,26.0,camera_5,removed,-1
157,785,26.167,camera_1,reacquired,9
157,785,26.167,camera_3,lost_track,7
158,790,26.333,camera_1,reacquired,3
158,790,26.333,camera_1,lost_track,8
159,795,26.5,camera_1,removed,-1
159,795,26.5,camera_2,removed,-1
160,800,26.667,camera_1,lost_track,3
160,800,26.667,camera_2,lost_track,3
161,805,26.833,camera_2,reacquired,3
162,810,27.0,camera_1,removed,5
163,815,27.167,camera_2,removed,6
163,815,27.167,camera_5,new_track,3
165,825,27.5,camera_1,lost_track,9
166,830,27.667,camera_1,reacquired,9
166,830,27.667,camera_5,lost_track,2
167,835,27.833,camera_3,lost_track,5
168,840,28.0,camera_2,lost_track,3
169,845,28.167,camera_5,new_track,4
169,845,28.167,camera_5,lost_track,1
170,850,28.333,camera_1,reacquired,6
170,850,28.333,camera_3,new_track,9
170,850,28.333,camera_5,new_track,5
171,855,28.5,camera_1,lost_track,6
171,855,28.5,camera_3,lost_track,9
171,855,28.5,camera_5,reacquired,1
171,855,28.5,camera_5,lost_track,4
171,855,28.5,camera_5,lost_track,5
172,860,28.667,camera_3,removed,4
173,865,28.833,camera_3,reacquired,9
173,865,28.833,camera_5,lost_track,1
173,865,28.833,camera_5,lost_track,3
174,870,29.0,camera_5,reacquired,1
174,870,29.0,camera_5,reacquired,3
174,870,29.0,camera_5,reacquired,5
175,875,29.167,camera_5,reacquired,4
175,875,29.167,camera_5,lost_track,1
176,880,29.333,camera_1,removed,7
176,880,29.333,camera_5,reacquired,1
176,880,29.333,camera_5,lost_track,3
176,880,29.333,camera_5,lost_track,4
177,885,29.5,camera_5,reacquired,3
177,885,29.5,camera_5,reacquired,4
177,885,29.5,camera_5,lost_track,1
177,885,29.5,camera_5,lost_track,5
178,890,29.667,camera_2,removed,8
178,890,29.667,camera_5,reacquired,1
178,890,29.667,camera_5,lost_track,3
178,890,29.667,camera_5,lost_track,4
179,895,29.833,camera_3,removed,-1
179,895,29.833,camera_5,reacquired,3
179,895,29.833,camera_5,reacquired,4
180,900,30.0,camera_5,lost_track,3
180,900,30.0,camera_5,lost_track,4
181,905,30.167,camera_5,reacquired,3
181,905,30.167,camera_5,reacquired,4
181,905,30.167,camera_5,lost_track,1
181,905,30.167,camera_5,removed,-1
182,910,30.333,camera_5,lost_track,3
183,915,30.5,camera_2,removed,10
183,915,30.5,camera_3,removed,8
183,915,30.5,camera_5,removed,-1
184,920,30.667,camera_2,removed,9
184,920,30.667,camera_3,removed,2
186,930,31.0,camera_1,removed,10
186,930,31.0,camera_2,removed,-1
187,935,31.167,camera_3,removed,7
188,940,31.333,camera_1,removed,8
188,940,31.333,camera_2,new_track,11
188,940,31.333,camera_2,lost_track,7
189,945,31.5,camera_3,lost_track,9
189,945,31.5,camera_6,new_track,1
190,950,31.667,camera_1,removed,3
190,950,31.667,camera_3,reacquired,9
191,955,31.833,camera_3,lost_track,9
192,960,32.0,camera_3,reacquired,9
192,960,32.0,camera_4,new_track,3
194,970,32.333,camera_1,lost_track,9
194,970,32.333,camera_4,lost_track,3
195,975,32.5,camera_3,lost_track,9
195,975,32.5,camera_4,removed,-1
196,980,32.667,camera_5,removed,2
197,985,32.833,camera_3,removed,5
198,990,33.0,camera_2,lost_track,11
198,990,33.0,camera_2,removed,3
199,995,33.167,camera_6,new_track,2
200,1000,33.333,camera_6,new_track,3
201,1005,33.5,camera_1,removed,6
201,1005,33.5,camera_5,new_track,6
201,1005,33.5,camera_6,removed,-1
202,1010,33.667,camera_6,lost_track,3
203,1015,33.833,camera_5,lost_track,4
203,1015,33.833,camera_6,new_track,4
203,1015,33.833,camera_6,lost_track,1
204,1020,34.0,camera_6,removed,-1
206,1030,34.333,camera_4,new_track,4
206,1030,34.333,camera_6,lost_track,2
207,1035,34.5,camera_4,lost_track,2
207,1035,34.5,camera_5,removed,5
207,1035,34.5,camera_7,new_track,1
209,1045,34.833,camera_4,new_track,5
