loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,2703.0,7,7,0,11,0,7,0,0,0,2,5,4,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0
50,8.33,2730.6,9,5,4,17,4,8,6,0,0,4,8,10,0,0,0,0,4,6,7,0,0,0,0,0,1,0,0,0,0,0
100,16.67,2731.6,12,6,6,20,6,9,8,0,0,7,10,13,0,1,0,0,5,7,7,0,1,0,0,0,0,0,0,0,0,0
150,25.0,2731.9,16,8,8,24,8,11,12,0,0,10,14,14,1,3,3,0,6,6,6,1,2,3,0,0,1,0,0,0,0,0
200,33.33,2708.6,17,4,13,19,13,7,5,0,0,11,16,17,1,4,5,0,3,4,6,1,1,4,0,0,0,0,0,0,0,0
250,41.67,2709.1,19,5,14,32,14,8,20,0,0,12,19,20,4,13,8,0,3,5,8,3,10,3,0,0,0,0,0,0,0,0
300,50.0,2709.1,20,4,16,23,16,7,10,0,0,13,21,20,4,21,10,0,2,4,4,1,9,3,0,0,0,0,0,1,1,0
350,58.33,2709.7,21,5,16,28,16,8,17,0,0,14,26,26,7,30,10,0,3,7,6,1,11,0,0,0,1,0,0,0,0,0
400,66.67,2709.7,27,9,18,27,18,12,14,0,0,15,28,27,8,37,15,0,3,4,3,1,11,5,0,0,0,0,0,0,1,0
450,75.0,2710.1,30,7,23,24,23,10,10,0,0,15,30,29,9,42,16,2,1,4,4,1,10,3,2,0,0,0,0,1,0,0
500,83.33,2710.1,33,6,27,24,27,9,13,0,0,17,32,31,12,48,16,3,3,5,3,4,8,0,1,0,0,0,1,2,0,0
550,91.67,2710.1,36,6,30,30,30,9,13,0,0,20,34,35,14,55,16,3,4,5,7,3,10,0,1,0,0,0,0,0,0,1
600,100.0,2710.3,37,6,31,29,31,9,17,0,0,21,37,37,17,59,19,3,4,6,4,3,8,3,1,0,0,0,0,1,0,0
650,108.33,2710.5,47,13,31,30,31,14,13,0,0,23,42,41,17,67,23,7,5,5,6,0,7,3,4,0,0,1,0,0,0,0
700,116.67,2710.5,48,8,32,23,32,8,11,0,0,23,44,47,19,69,26,8,3,5,7,1,1,3,3,0,0,1,0,0,0,0
750,125.0,2710.6,55,10,33,22,33,11,8,0,0,26,46,51,19,71,27,12,4,4,7,0,2,0,5,0,0,0,0,1,0,0
800,133.33,2710.7,57,9,35,30,35,10,17,0,0,27,47,56,21,75,31,13,4,4,8,2,4,4,4,0,0,0,0,1,1,0
850,141.67,2710.5,62,8,38,31,38,9,18,0,0,31,53,59,21,81,33,14,6,7,6,0,8,3,1,0,1,1,0,0,1,0
900,150.0,2710.5,65,7,42,21,42,8,10,0,0,34,53,62,22,83,36,14,5,3,6,1,2,3,1,0,1,0,0,0,0,0
950,158.33,2710.5,68,7,43,34,43,8,16,0,0,37,60,67,26,88,36,14,6,9,7,5,7,0,0,0,1,0,0,0,0,0
1000,166.67,2710.8,70,5,44,23,44,6,8,0,0,39,62,68,27,92,36,14,4,6,5,3,6,0,0,0,0,0,0,0,0,0
1050,175.0,2710.6,71,5,40,18,40,6,6,0,0,40,64,70,28,93,36,14,4,5,5,2,2,0,0,0,1,0,0,0,0,0
1100,183.33,2710.6,71,3,39,19,39,4,2,0,0,40,65,71,29,98,36,14,2,3,4,3,7,0,0,0,1,0,0,0,0,0
1150,191.67,2734.6,74,6,37,32,37,7,14,0,0,43,72,73,31,103,36,14,5,9,5,4,9,0,0,0,1,0,0,0,0,0
1200,200.0,2711.4,79,9,37,28,37,10,9,0,0,48,76,76,31,104,38,14,8,8,7,1,2,2,0,0,0,0,0,0,0,0
1250,208.33,2711.6,83,9,37,31,37,10,16,0,0,49,79,79,32,109,38,17,6,7,7,1,6,2,2,0,1,1,0,0,0,0
1300,216.67,2711.6,88,10,36,29,36,11,13,0,0,52,82,82,33,112,40,19,6,6,6,1,5,2,3,0,1,1,0,0,0,0
1350,225.0,2711.6,93,10,36,28,36,10,14,0,0,54,84,87,34,113,42,22,4,4,9,1,3,2,5,0,0,1,0,0,0,0
1400,233.33,2711.6,101,11,36,28,36,11,13,0,0,55,86,94,34,113,44,29,3,5,11,0,0,2,7,0,0,1,0,0,0,1
1450,241.67,2711.5,108,11,42,30,42,11,13,0,0,59,89,96,34,121,45,31,5,5,7,0,8,1,4,1,1,0,0,0,0,1
1500,250.0,2711.8,113,13,39,33,39,13,18,0,0,60,92,98,37,123,48,35,4,7,6,3,3,3,7,0,0,0,0,1,1,0
1550,258.33,2611.5,115,7,44,25,44,7,13,0,0,61,98,101,39,125,50,36,4,9,4,2,2,2,2,0,0,0,0,0,0,1
