loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,2702.5,9,9,0,9,0,9,0,0,0,7,0,2,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
50,8.33,2730.1,11,8,3,14,3,9,7,0,0,8,0,4,0,4,0,0,6,0,4,0,4,0,0,0,0,0,0,0,0,0
100,16.67,2731.2,15,11,4,13,4,12,2,0,0,10,0,6,0,4,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
150,25.0,2731.2,18,12,6,14,6,13,6,0,0,11,0,8,0,4,0,0,6,0,8,0,0,0,0,1,0,0,0,0,0,0
200,33.33,2707.7,19,11,8,13,8,12,3,0,0,12,0,8,0,4,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0
250,41.67,2708.3,24,15,9,17,9,16,3,0,0,15,0,10,0,4,0,0,8,0,9,0,0,0,0,1,0,0,0,0,0,0
300,50.0,2708.4,24,13,11,14,11,14,3,0,0,15,0,10,0,4,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
350,58.33,2708.4,25,12,13,15,13,13,4,0,0,16,0,10,0,6,0,0,7,0,6,0,2,0,0,0,0,0,0,0,0,0
400,66.67,2708.5,26,10,16,21,17,13,6,0,0,16,1,13,2,10,0,0,7,1,7,2,4,0,0,0,0,0,0,0,0,0
450,75.0,2708.5,28,11,17,17,18,14,3,0,0,18,3,15,2,10,0,0,8,2,7,0,0,0,0,0,0,0,0,1,0,0
500,83.33,2708.6,30,10,20,14,21,13,5,0,0,19,3,16,2,10,0,0,6,2,6,0,0,0,0,0,0,1,0,0,0,0
550,91.67,2708.8,32,10,22,14,22,13,4,0,0,21,3,16,2,10,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0
600,100.0,2708.8,39,17,22,21,22,20,9,0,0,26,3,18,2,10,0,0,12,2,7,0,0,0,0,0,0,0,0,0,0,0
650,108.33,2708.9,44,15,25,18,25,17,6,0,0,30,3,19,2,10,0,0,11,1,6,0,0,0,0,0,0,0,0,0,0,0
700,116.67,2709.0,47,13,30,14,30,15,4,0,0,30,4,21,2,10,0,0,7,2,5,0,0,0,0,0,0,1,0,0,0,0
750,125.0,2709.0,52,12,33,14,33,15,5,0,0,32,4,24,2,10,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0
800,133.33,2709.1,57,13,36,15,36,16,2,0,0,35,4,26,2,10,0,0,8,2,5,0,0,0,0,0,0,0,0,0,0,0
850,141.67,2709.3,63,17,36,19,36,20,7,0,0,39,4,28,2,10,0,0,10,2,7,0,0,0,0,1,0,0,0,0,0,0
900,150.0,2709.4,65,12,41,14,41,15,3,0,0,39,5,29,2,10,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0
950,158.33,2709.4,72,15,43,16,43,18,4,0,0,43,5,32,2,10,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0
1000,166.67,2709.4,80,16,48,17,48,17,10,0,0,47,5,36,2,10,0,0,11,0,6,0,0,0,0,0,0,1,0,0,0,0
1050,175.0,2709.2,87,15,53,15,53,16,6,0,0,52,5,38,2,10,0,0,10,0,5,0,0,0,0,0,0,1,0,0,0,0
1100,183.33,2709.3,93,13,59,13,59,14,7,0,0,55,5,41,2,10,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0
1150,191.67,2709.6,100,13,65,13,65,14,5,0,0,57,5,46,2,10,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
1200,200.0,2709.6,109,17,65,17,65,17,7,0,0,62,5,50,2,10,0,0,10,0,7,0,0,0,0,1,0,0,0,0,0,0
1250,208.33,2286.5,116,20,62,20,62,20,8,0,0,64,7,53,2,10,0,0,10,2,8,0,0,0,0,0,0,1,0,0,0,0
