bound_rate,c0,c_star,cameras,chef_switch_rate,chef_switches,chef_switches_interleaved,clip_id,duration_s,exclusive,first_bound_fid,frac_iou_ge_075,gap_band,gaps_s,ghost_box_rate,ghost_track_rate,gt_id,handoff_type,l2_detail_k1,l2_detail_k5,l2_n_pairs_dropped_k1,l2_n_pairs_dropped_k5,l2_n_pairs_k1,l2_n_pairs_k5,l2_p_reacquire_ci_k1,l2_p_reacquire_ci_k5,l2_p_reacquire_k1,l2_p_reacquire_k5,l3_chef_per_camera,l3_n_camera_pairs,l3_n_chef_ids_per_camera,l3_n_pairs_dropped,l3_n_pairs_usable,l3_n_simul_frames,l3_p_handoff,l3_p_handoff_ci,l3_p_simul_agree,l3_p_simul_agree_ci,level,majority_tie,mean_iou,mean_iou_matched,median_iou,n_B,n_boxes,n_chefs_created_before_target_bound,n_distinct_chef_ids,n_ghost_boxes,n_ghost_tracks,n_matched,n_other_ids,n_sampled_cells,n_target_cells,n_track_ids,n_tracks_in_window,p10_iou,p90_iou,p_chef_shared_with_other_box,p_continuity,p_continuity_ci,p_exclusive,p_exclusive_ci,p_majority,p_majority_ci,recall_ci,recall_target,rule,seq,stride,track_switch_rate,track_switches,visibility
1.0,1,1,camera_1,0.0,0,0,L1-seq_026-c1-1-001870,15.5,True,1870,0.9468,,,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8999,0.8999,0.9127,94,94,0,1,0,0,94,0,94,94,1,1,0.8692,0.9395,0.0,1.0,"(0.9607, 1.0)",,"(None, None)",1.0,"(0.9607, 1.0)","(0.9607, 1.0)",1.0,L1,seq_026,5,0.0,0,1.0
1.0,1,1,camera_1,0.0,0,0,L1-seq_026-c1-1-001870,15.5,True,1870,0.9442,,,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9001,0.9001,0.9132,466,466,0,1,0,0,466,0,466,466,1,1,0.8704,0.936,0.0,1.0,"(0.9918, 1.0)",,"(None, None)",1.0,"(0.9918, 1.0)","(0.9918, 1.0)",1.0,L1,seq_026,1,0.0,0,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_000-c4-1-001520,19.0,True,1520,0.9739,,,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9077,0.9077,0.9267,115,115,0,1,0,0,115,0,115,115,1,1,0.835,0.9552,0.0,1.0,"(0.9677, 1.0)",,"(None, None)",1.0,"(0.9677, 1.0)","(0.9677, 1.0)",1.0,L1,seq_000,5,0.0,0,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_000-c4-1-001520,19.0,True,1520,0.979,,,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,L1,False,0.908,0.908,0.9266,571,571,0,1,0,0,571,0,571,571,1,1,0.8315,0.9542,0.0,1.0,"(0.9933, 1.0)",,"(None, None)",1.0,"(0.9933, 1.0)","(0.9933, 1.0)",1.0,L1,seq_000,1,0.0,0,1.0
0.9388,1,1,camera_1,0.0,0,0,L1-seq_024-c1-2-015670,8.0,True,15670,0.8776,,,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8138,0.8669,0.8753,46,46,0,1,0,0,46,0,49,49,1,1,0.6887,0.9431,0.0,1.0,"(0.9229, 1.0)",,"(None, None)",1.0,"(0.9229, 1.0)","(0.8348, 0.979)",0.9388,L1,seq_024,5,0.0,0,1.0
0.9876,1,1,camera_1,0.0,0,0,L1-seq_024-c1-2-015670,8.0,True,15670,0.8797,,,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,L1,False,0.847,0.8576,0.8758,238,238,0,1,0,0,238,0,241,241,1,1,0.7365,0.9451,0.0,1.0,"(0.9841, 1.0)",,"(None, None)",1.0,"(0.9841, 1.0)","(0.964, 0.9958)",0.9876,L1,seq_024,1,0.0,0,1.0
0.9825,1,1,camera_5,0.0,0,0,L1-seq_026-c5-2-007160,9.333,True,7160,0.9474,,,0.1642,0.6667,2,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9315,0.9481,0.9622,56,67,0,1,11,2,56,0,57,57,1,3,0.9316,0.9794,0.0,1.0,"(0.9358, 1.0)",,"(None, None)",1.0,"(0.9358, 1.0)","(0.9071, 0.9969)",0.9825,L1,seq_026,5,0.0,0,1.0
0.9858,1,1,camera_5,0.0,0,0,L1-seq_026-c5-2-007160,9.333,True,7160,0.9253,,,0.2432,0.8333,2,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9261,0.9394,0.9654,277,366,0,1,89,5,277,0,281,281,1,6,0.9161,0.9806,0.0,1.0,"(0.9863, 1.0)",,"(None, None)",1.0,"(0.9863, 1.0)","(0.964, 0.9945)",0.9858,L1,seq_026,1,0.0,0,1.0
1.0,1,1,camera_1,0.0,0,0,L1-seq_000-c1-3-004345,15.0,True,4345,0.956,,,0.09,0.5,3,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9055,0.9055,0.9169,91,100,0,1,9,1,91,0,91,91,1,2,0.8457,0.9674,0.0,1.0,"(0.9595, 1.0)",,"(None, None)",1.0,"(0.9595, 1.0)","(0.9595, 1.0)",1.0,L1,seq_000,5,0.0,0,1.0
1.0,1,1,camera_1,0.0,0,0,L1-seq_000-c1-3-004345,15.0,True,4345,0.9601,,,0.1844,0.6667,3,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9026,0.9026,0.9142,451,553,0,1,102,2,451,0,451,451,1,3,0.8449,0.9642,0.0,1.0,"(0.9916, 1.0)",,"(None, None)",1.0,"(0.9916, 1.0)","(0.9916, 1.0)",1.0,L1,seq_000,1,0.0,0,1.0
