clip_id,rule,stride,ttl,tracker,returncode,wall_s,git_sha,argv
L1-seq_026-c1-1-001870,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.51,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_026/camera_1_2023-12-05-12_12_13.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 1870 --end-fid 2335 --det-cache results/det_cache/coco_nano/seq_026 --clip-id L1-seq_026-c1-1-001870 --out results/clips/runs/L1-seq_026-c1-1-001870/s5/chef_events.jsonl
L1-seq_026-c1-1-001870,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.59,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_026/camera_1_2023-12-05-12_12_13.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 1870 --end-fid 2335 --det-cache results/det_cache/coco_nano/seq_026 --clip-id L1-seq_026-c1-1-001870 --out results/clips/runs/L1-seq_026-c1-1-001870/s1/chef_events.jsonl
L1-seq_000-c4-1-001520,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.63,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_4_2023-06-02-11_14_26.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 1520 --end-fid 2090 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c4-1-001520 --out results/clips/runs/L1-seq_000-c4-1-001520/s5/chef_events.jsonl
L1-seq_000-c4-1-001520,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.61,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_4_2023-06-02-11_14_26.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 1520 --end-fid 2090 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c4-1-001520 --out results/clips/runs/L1-seq_000-c4-1-001520/s1/chef_events.jsonl
L1-seq_024-c1-2-015670,L1,5,600,configs/tracker_rf_cbiou.yaml,0,2.4,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_1_2023-12-01-11_05_52.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 15670 --end-fid 15910 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L1-seq_024-c1-2-015670 --out results/clips/runs/L1-seq_024-c1-2-015670/s5/chef_events.jsonl
L1-seq_024-c1-2-015670,L1,1,600,configs/tracker_rf_cbiou.yaml,0,2.47,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_1_2023-12-01-11_05_52.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 15670 --end-fid 15910 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L1-seq_024-c1-2-015670 --out results/clips/runs/L1-seq_024-c1-2-015670/s1/chef_events.jsonl
L1-seq_026-c5-2-007160,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.74,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_026/camera_5_2023-12-05-12_12_13.avi --cameras camera_5 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 7160 --end-fid 7440 --det-cache results/det_cache/coco_nano/seq_026 --clip-id L1-seq_026-c5-2-007160 --out results/clips/runs/L1-seq_026-c5-2-007160/s5/chef_events.jsonl
L1-seq_026-c5-2-007160,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.79,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_026/camera_5_2023-12-05-12_12_13.avi --cameras camera_5 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 7160 --end-fid 7440 --det-cache results/det_cache/coco_nano/seq_026 --clip-id L1-seq_026-c5-2-007160 --out results/clips/runs/L1-seq_026-c5-2-007160/s1/chef_events.jsonl
L1-seq_000-c1-3-004345,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.79,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_1_2023-06-02-11_14_25.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 4345 --end-fid 4795 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c1-3-004345 --out results/clips/runs/L1-seq_000-c1-3-004345/s5/chef_events.jsonl
L1-seq_000-c1-3-004345,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.83,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_1_2023-06-02-11_14_25.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 4345 --end-fid 4795 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c1-3-004345 --out results/clips/runs/L1-seq_000-c1-3-004345/s1/chef_events.jsonl
