clip_id,rule,stride,ttl,tracker,returncode,wall_s,git_sha,argv
L2-seq_000-c1-3-003910,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,2.28,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_1_2023-06-02-11_14_25.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 3910 --end-fid 4795 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L2-seq_000-c1-3-003910 --out results/clips/runs_secaligned/L2-seq_000-c1-3-003910/s1/chef_events.jsonl
L2-seq_000-c7-10-001530,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,1.46,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_7_2023-06-02-11_14_26.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 1530 --end-fid 1945 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L2-seq_000-c7-10-001530 --out results/clips/runs_secaligned/L2-seq_000-c7-10-001530/s1/chef_events.jsonl
L2-seq_004-c4-6-004585,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,1.54,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_4_2023-06-08-12_29_08.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 4585 --end-fid 4865 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L2-seq_004-c4-6-004585 --out results/clips/runs_secaligned/L2-seq_004-c4-6-004585/s1/chef_events.jsonl
L2-seq_004-c6-6-007585,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,1.78,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_6_2023-06-08-12_29_08.avi --cameras camera_6 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 7585 --end-fid 7835 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L2-seq_004-c6-6-007585 --out results/clips/runs_secaligned/L2-seq_004-c6-6-007585/s1/chef_events.jsonl
L2-seq_004-c7-7-004775,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,1.61,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_7_2023-06-08-12_29_08.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 4775 --end-fid 5090 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L2-seq_004-c7-7-004775 --out results/clips/runs_secaligned/L2-seq_004-c7-7-004775/s1/chef_events.jsonl
L2-seq_020-c1-12-007830,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,2.04,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_020/camera_1_2023-07-26-13_21_40.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 7830 --end-fid 8210 --det-cache results/det_cache/coco_nano/seq_020 --clip-id L2-seq_020-c1-12-007830 --out results/clips/runs_secaligned/L2-seq_020-c1-12-007830/s1/chef_events.jsonl
L2-seq_024-c1-7-014705,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,2.82,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_1_2023-12-01-11_05_52.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 14705 --end-fid 14935 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L2-seq_024-c1-7-014705 --out results/clips/runs_secaligned/L2-seq_024-c1-7-014705/s1/chef_events.jsonl
L2-seq_024-c3-7-011320,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,2.25,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_3_2023-12-01-11_05_52.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 11320 --end-fid 11545 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L2-seq_024-c3-7-011320 --out results/clips/runs_secaligned/L2-seq_024-c3-7-011320/s1/chef_events.jsonl
L2-seq_024-c4-7-012085,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,2.04,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_4_2023-12-01-11_05_52.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 12085 --end-fid 12260 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L2-seq_024-c4-7-012085 --out results/clips/runs_secaligned/L2-seq_024-c4-7-012085/s1/chef_events.jsonl
L2-seq_024-c4-10-014700,L2,1,3000,configs/tracker_rf_cbiou_s1.yaml,0,2.17,99d569e9c3b6c799ccea4a6ef51ccad308e8d97d,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_4_2023-12-01-11_05_52.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou_s1.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 3000 --stride 1 --start-fid 14700 --end-fid 14795 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L2-seq_024-c4-10-014700 --out results/clips/runs_secaligned/L2-seq_024-c4-10-014700/s1/chef_events.jsonl
