clip_id,stride,camera_id,video_fid,gt_frame,t_sec,gt_present,gt_box,matched,track_id,iou,iou_best,chef_id,n_tracks,n_gt,n_ghost,n_coasting,other_gt_ids,others_same_chef,chef_ids_on_frame,in_B,is_continuity,is_majority,is_exclusive
L1-seq_026-c7-9-002475,5,camera_7,2475,2476,82.5,1,971.0 276.0 1019.0 323.0,1,0,0.6746,0.6746,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2480,2481,82.667,1,976.0 262.0 1019.0 323.0,1,0,0.9018,0.9018,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2485,2486,82.833,1,957.0 252.0 1028.0 333.0,1,0,0.8614,0.8614,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2490,2491,83.0,1,957.0 242.0 1035.0 336.0,1,0,0.8307,0.8307,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2495,2496,83.167,1,957.0 231.0 1037.0 336.0,1,0,0.9278,0.9278,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2500,2501,83.333,1,958.0 222.0 1037.0 335.0,1,0,0.9054,0.9054,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2505,2506,83.5,1,958.0 216.0 1036.0 333.0,1,0,0.8768,0.8768,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2510,2511,83.667,1,955.0 214.0 1035.0 334.0,1,0,0.9266,0.9266,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2515,2516,83.833,1,953.0 213.0 1034.0 334.0,1,0,0.9376,0.9376,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2520,2521,84.0,1,951.0 212.0 1032.0 334.0,1,0,0.9368,0.9368,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2525,2526,84.167,1,952.0 211.0 1031.0 335.0,1,0,0.9405,0.9405,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2530,2531,84.333,1,951.0 212.0 1033.0 334.0,1,0,0.96,0.96,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2535,2536,84.5,1,955.0 212.0 1034.0 334.0,1,0,0.9092,0.9092,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2540,2541,84.667,1,953.0 214.0 1036.0 333.0,1,0,0.9684,0.9684,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2545,2546,84.833,1,957.0 215.0 1037.0 334.0,1,0,0.9105,0.9105,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2550,2551,85.0,1,956.0 216.0 1038.0 334.0,1,0,0.936,0.936,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2555,2556,85.167,1,957.0 216.0 1040.0 335.0,1,0,0.9051,0.9051,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2560,2561,85.333,1,955.0 217.0 1038.0 334.0,1,0,0.9627,0.9627,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2565,2566,85.5,1,954.0 218.0 1041.0 335.0,1,0,0.9359,0.9359,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2570,2571,85.667,1,951.0 221.0 1035.0 327.0,1,0,0.6596,0.6596,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2575,2576,85.833,1,950.0 226.0 1038.0 330.0,1,0,0.5939,0.5939,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2580,2581,86.0,1,954.0 230.0 1045.0 331.0,1,0,0.6964,0.6964,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2585,2586,86.167,1,953.0 236.0 1046.0 331.0,1,0,0.8251,0.8251,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2590,2591,86.333,1,955.0 238.0 1046.0 332.0,1,0,0.8018,0.8018,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2595,2596,86.5,1,956.0 239.0 1044.0 334.0,1,0,0.7303,0.7303,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2600,2601,86.667,1,956.0 240.0 1048.0 334.0,1,0,0.7924,0.7924,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2605,2606,86.833,1,956.0 240.0 1049.0 335.0,1,0,0.8077,0.8077,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2610,2611,87.0,1,956.0 241.0 1049.0 334.0,1,0,0.8006,0.8006,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2615,2616,87.167,1,957.0 243.0 1047.0 335.0,1,0,0.8344,0.8344,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2620,2621,87.333,1,957.0 246.0 1041.0 334.0,1,0,0.821,0.821,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2625,2626,87.5,1,957.0 244.0 1043.0 336.0,1,0,0.8636,0.8636,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2630,2631,87.667,1,958.0 244.0 1039.0 334.0,1,0,0.7401,0.7401,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2635,2636,87.833,1,958.0 245.0 1030.0 334.0,1,0,0.7047,0.7047,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2640,2641,88.0,1,958.0 245.0 1041.0 336.0,1,0,0.7337,0.7337,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2645,2646,88.167,1,958.0 245.0 1039.0 336.0,1,0,0.7607,0.7607,1,1,1,0,0,,,1,1,1,1,
L1-seq_026-c7-9-002475,5,camera_7,2650,2651,88.333,1,958.0 245.0 1037.0 335.0,1,0,0.7495,0.7495,1,1,1,0,0,,,1,1,1,1,
