clip_id,stride,camera_id,video_fid,gt_frame,t_sec,gt_present,gt_box,matched,track_id,iou,iou_best,chef_id,n_tracks,n_gt,n_ghost,n_coasting,other_gt_ids,others_same_chef,chef_ids_on_frame,in_B,is_continuity,is_majority,is_exclusive
L3S-seq_004-c4+c6-8-007880,5,camera_4,7880,7881,262.667,1,781.0 116.0 821.0 507.0,1,0,0.9312,0.9312,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7880,7881,262.667,1,390.0 250.0 549.0 714.0,1,0,0.9752,0.9752,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7885,7886,262.833,1,782.0 119.0 868.0 534.0,1,0,0.9533,0.9533,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7885,7886,262.833,1,407.0 241.0 556.0 715.0,1,0,0.9867,0.9867,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7890,7891,263.0,1,784.0 126.0 926.0 531.0,1,0,0.9466,0.9466,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7890,7891,263.0,1,418.0 238.0 557.0 716.0,1,0,0.9703,0.9703,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7895,7896,263.167,1,787.0 125.0 930.0 538.0,1,0,0.96,0.96,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7895,7896,263.167,1,429.0 226.0 558.0 694.0,1,0,0.981,0.981,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7900,7901,263.333,1,850.0 120.0 949.0 539.0,1,0,0.9339,0.9339,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7900,7901,263.333,1,437.0 212.0 560.0 643.0,1,0,0.9817,0.9817,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7905,7906,263.5,1,877.0 122.0 971.0 540.0,1,0,0.972,0.972,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7905,7906,263.5,1,449.0 207.0 569.0 628.0,1,0,0.9731,0.9731,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7910,7911,263.667,1,877.0 134.0 971.0 539.0,1,0,0.973,0.973,1,1,1,0,0,,,1,1,1,0,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7910,7911,263.667,1,463.0 205.0 585.0 626.0,1,0,0.9688,0.9688,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7915,7916,263.833,0,,0,,0.0,0.0,,1,0,1,0,,,1,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7915,7916,263.833,1,481.0 200.0 587.0 608.0,1,0,0.979,0.979,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7920,7921,264.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7920,7921,264.0,1,494.0 191.0 605.0 573.0,1,0,0.9767,0.9767,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7925,7926,264.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7925,7926,264.167,1,507.0 185.0 625.0 565.0,1,0,0.9712,0.9712,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7930,7931,264.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7930,7931,264.333,1,521.0 184.0 635.0 564.0,1,0,0.9681,0.9681,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7935,7936,264.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7935,7936,264.5,1,540.0 178.0 632.0 552.0,1,0,0.9389,0.9389,2,1,1,0,0,,,2,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7940,7941,264.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7940,7941,264.667,1,560.0 170.0 637.0 528.0,1,0,0.8833,0.8833,2,2,1,1,0,,,2 3,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7945,7946,264.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7945,7946,264.833,1,574.0 171.0 659.0 513.0,1,0,0.9366,0.9366,2,2,1,1,0,,,2 3,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7950,7951,265.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7950,7951,265.0,1,574.0 173.0 692.0 507.0,1,0,0.9677,0.9677,2,2,1,1,0,,,2 3,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7955,7956,265.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7955,7956,265.167,1,579.0 176.0 693.0 503.0,1,0,0.9876,0.9876,2,2,1,1,0,,,2 3,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7960,7961,265.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7960,7961,265.333,1,622.0 175.0 699.0 501.0,1,0,0.8974,0.8974,2,2,1,1,0,,,2 3,1,0,1,
L3S-seq_004-c4+c6-8-007880,5,camera_4,7965,7966,265.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_004-c4+c6-8-007880,5,camera_6,7965,7966,265.5,1,665.0 196.0 696.0 502.0,1,0,0.8422,0.8422,2,1,1,0,0,,,2,1,0,1,
