clip_id,stride,camera_id,video_fid,gt_frame,t_sec,gt_present,gt_box,matched,track_id,iou,iou_best,chef_id,n_tracks,n_gt,n_ghost,n_coasting,other_gt_ids,others_same_chef,chef_ids_on_frame,in_B,is_continuity,is_majority,is_exclusive
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1780,1781,59.333,1,401.0 43.0 442.0 182.0,1,0,0.6119,0.6119,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1780,1781,59.333,1,287.0 139.0 316.0 327.0,1,0,0.7352,0.7352,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1780,1781,59.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1781,1782,59.367,1,401.0 38.0 442.0 182.0,1,0,0.623,0.623,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1781,1782,59.367,1,283.0 139.0 316.0 329.0,1,0,0.8177,0.8177,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1781,1782,59.367,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1782,1783,59.4,1,401.0 37.0 443.0 182.0,1,0,0.6567,0.6567,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1782,1783,59.4,1,279.0 138.0 315.0 330.0,1,0,0.8368,0.8368,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1782,1783,59.4,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1783,1784,59.433,1,401.0 35.0 443.0 183.0,1,0,0.7943,0.7943,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1783,1784,59.433,1,276.0 138.0 316.0 332.0,1,0,0.8786,0.8786,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1783,1784,59.433,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1784,1785,59.467,1,400.0 36.0 443.0 183.0,1,0,0.8492,0.8492,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1784,1785,59.467,1,273.0 140.0 315.0 332.0,1,0,0.8812,0.8812,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1784,1785,59.467,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1785,1786,59.5,1,393.0 37.0 441.0 183.0,1,0,0.8806,0.8806,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1785,1786,59.5,1,267.0 141.0 315.0 337.0,1,0,0.901,0.901,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1785,1786,59.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1786,1787,59.533,1,390.0 36.0 441.0 183.0,1,0,0.8834,0.8834,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1786,1787,59.533,1,262.0 141.0 314.0 337.0,1,0,0.9165,0.9165,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1786,1787,59.533,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1787,1788,59.567,1,388.0 37.0 438.0 186.0,1,0,0.8552,0.8552,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1787,1788,59.567,1,257.0 142.0 315.0 337.0,1,0,0.9113,0.9113,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1787,1788,59.567,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1788,1789,59.6,1,384.0 37.0 436.0 190.0,1,0,0.8086,0.8086,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1788,1789,59.6,1,248.0 143.0 314.0 340.0,1,0,0.915,0.915,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1788,1789,59.6,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1789,1790,59.633,1,383.0 37.0 435.0 192.0,1,0,0.8157,0.8157,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1789,1790,59.633,1,244.0 144.0 314.0 341.0,1,0,0.9247,0.9247,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1789,1790,59.633,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1790,1791,59.667,1,381.0 37.0 435.0 193.0,1,0,0.8051,0.8051,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1790,1791,59.667,1,240.0 145.0 314.0 344.0,1,0,0.6462,0.6462,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1790,1791,59.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1791,1792,59.7,1,378.0 37.0 433.0 197.0,1,0,0.7986,0.7986,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1791,1792,59.7,1,238.0 147.0 314.0 423.0,1,0,0.8646,0.8646,2,1,1,0,0,,,2,1,0,1,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_3,1791,1792,59.7,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_1,1792,1793,59.733,1,377.0 37.0 432.0 197.0,1,0,0.7754,0.7754,1,1,1,0,0,,,1,1,1,0,
L3S-seq_025-c1+c2+c3-7-001780,1,camera_2,1792,1793,59.733,1,234.0 149.0 312.0 425.0,1,0,0.8672,0.8672,2,1,1,0,0,,,2,1,0,1,
