clip_id,stride,camera_id,video_fid,gt_frame,t_sec,gt_present,gt_box,matched,track_id,iou,iou_best,chef_id,n_tracks,n_gt,n_ghost,n_coasting,other_gt_ids,others_same_chef,chef_ids_on_frame,in_B,is_continuity,is_majority,is_exclusive
L3T-seq_020-c5+c6-10-000385,5,camera_5,385,386,12.833,1,513.0 396.0 548.0 627.0,1,0,0.7992,0.7992,,1,1,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,385,386,12.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,390,391,13.0,1,428.0 204.0 615.0 640.0,0,,0.0,0.0,,0,1,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,390,391,13.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,395,396,13.167,1,503.0 195.0 617.0 662.0,1,1,0.9571,0.9571,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,395,396,13.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,400,401,13.333,1,508.0 197.0 727.0 702.0,1,1,0.7767,0.7767,2,2,1,1,0,,,2 3,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,400,401,13.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,405,406,13.5,1,513.0 212.0 749.0 715.0,1,1,0.9884,0.9884,2,2,1,1,0,,,2 3,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,405,406,13.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,410,411,13.667,1,571.0 216.0 735.0 715.0,1,1,0.9936,0.9936,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,410,411,13.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,415,416,13.833,1,595.0 234.0 762.0 714.0,1,1,0.9514,0.9514,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,415,416,13.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,420,421,14.0,1,637.0 247.0 802.0 714.0,1,1,0.9735,0.9735,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,420,421,14.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,425,426,14.167,1,639.0 260.0 879.0 714.0,1,1,0.9738,0.9738,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,425,426,14.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,430,431,14.333,1,654.0 306.0 922.0 713.0,1,1,0.9818,0.9818,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,430,431,14.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,435,436,14.5,1,684.0 329.0 936.0 715.0,1,1,0.9821,0.9821,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,435,436,14.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,440,441,14.667,1,736.0 395.0 983.0 714.0,1,1,0.9758,0.9758,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,440,441,14.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,445,446,14.833,1,819.0 447.0 1059.0 715.0,1,1,0.9341,0.9341,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,445,446,14.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,450,451,15.0,1,894.0 511.0 1079.0 715.0,1,1,0.9578,0.9578,2,1,1,0,0,,,2,1,1,0,
L3T-seq_020-c5+c6-10-000385,5,camera_6,450,451,15.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,455,456,15.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,455,456,15.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,460,461,15.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,460,461,15.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,465,466,15.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,465,466,15.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,470,471,15.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,470,471,15.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,475,476,15.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,475,476,15.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,480,481,16.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,480,481,16.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,485,486,16.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,485,486,16.167,1,3.0 651.0 126.0 719.0,0,,0.0,0.0,,0,1,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,490,491,16.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,490,491,16.333,1,65.0 548.0 191.0 719.0,0,,0.0,0.0,,0,1,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_5,495,496,16.5,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,495,496,16.5,1,89.0 481.0 466.0 715.0,1,0,0.9738,0.9738,3,1,1,0,0,,,3,1,0,1,
L3T-seq_020-c5+c6-10-000385,5,camera_5,500,501,16.667,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,500,501,16.667,1,130.0 414.0 467.0 716.0,1,0,0.9772,0.9772,3,1,1,0,0,,,3,1,0,1,
L3T-seq_020-c5+c6-10-000385,5,camera_5,505,506,16.833,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,505,506,16.833,1,175.0 386.0 476.0 715.0,1,0,0.9729,0.9729,3,1,1,0,0,,,3,1,0,1,
L3T-seq_020-c5+c6-10-000385,5,camera_5,510,511,17.0,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,510,511,17.0,1,212.0 350.0 516.0 714.0,1,0,0.9826,0.9826,3,1,1,0,0,,,3,1,0,1,
L3T-seq_020-c5+c6-10-000385,5,camera_5,515,516,17.167,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
L3T-seq_020-c5+c6-10-000385,5,camera_6,515,516,17.167,1,235.0 314.0 547.0 713.0,1,0,0.9778,0.9778,3,1,1,0,0,,,3,1,0,1,
L3T-seq_020-c5+c6-10-000385,5,camera_5,520,521,17.333,0,,0,,0.0,0.0,,0,0,0,0,,,,0,,,
