loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_3,m4_history_camera_3,m4_prev_removed_camera_3
0,248.33,199.2,1,1,0,1,0,1,0,0,0,1,1,0
50,250.0,199.7,1,1,0,1,0,1,0,0,0,1,1,0
100,251.67,199.7,1,1,0,1,0,1,0,0,0,1,1,0
150,253.33,199.8,1,1,0,1,0,1,0,0,0,1,1,0
200,255.0,199.8,1,1,0,1,0,1,0,0,0,1,1,0
250,256.67,199.8,1,1,0,1,0,1,0,0,0,1,1,0
300,258.33,199.8,1,1,0,1,0,1,0,0,0,1,1,0
350,260.0,199.8,1,1,0,1,0,1,0,0,0,1,1,0
400,261.67,199.8,1,1,0,1,0,1,0,0,0,1,1,0
450,263.33,199.8,1,1,0,1,0,1,0,0,0,1,1,0
500,265.0,199.8,1,1,0,1,0,1,0,0,0,1,1,0
550,266.67,199.8,1,1,0,1,0,1,0,0,0,1,1,0
600,268.33,199.9,1,1,0,1,0,1,0,0,0,1,1,0
650,270.0,199.9,1,1,0,1,0,1,0,0,0,1,1,0
700,271.67,199.9,1,1,0,1,0,1,0,0,0,1,1,0
750,273.33,199.9,1,1,0,1,0,1,0,0,0,1,1,0
800,275.0,199.9,1,1,0,1,0,1,0,0,0,1,1,0
