loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_history_camera_1,m4_prev_removed_camera_1
0,130.33,198.9,2,2,0,2,0,2,0,0,0,2,2,0
50,132.0,199.4,2,2,0,2,0,2,0,0,0,2,2,0
100,133.67,199.4,2,2,0,2,0,2,0,0,0,2,2,0
150,135.33,199.5,3,3,0,3,0,3,0,0,0,3,3,0
200,137.0,199.5,3,3,0,3,0,3,1,0,0,3,3,0
250,138.67,199.5,3,3,0,3,0,3,2,0,0,3,3,0
300,140.33,199.5,3,3,0,3,0,3,2,0,0,3,3,0
350,142.0,199.5,3,2,1,2,1,2,2,0,0,3,2,0
400,143.67,199.5,3,1,2,1,2,1,1,0,0,3,1,0
450,145.33,199.6,4,2,2,2,2,2,1,0,0,4,2,0
500,147.0,199.6,5,2,3,2,3,2,1,0,0,5,2,0
550,148.67,199.6,5,2,3,2,3,2,1,0,0,5,2,0
600,150.33,199.6,5,2,3,2,3,2,1,0,0,5,2,0
650,152.0,199.6,5,1,4,1,4,1,0,0,0,5,1,0
700,153.67,199.6,5,1,4,1,4,1,0,0,0,5,1,0
750,155.33,199.6,5,1,4,1,4,1,0,0,0,5,1,0
800,157.0,199.6,5,1,4,1,4,1,0,0,0,5,1,0
850,158.67,199.6,6,2,4,2,4,2,0,0,0,6,2,0
