loop_i,video_fid,t_sec,camera_id,kind,track_id
0,7585,252.833,camera_6,new_track,0
76,7661,255.367,camera_6,new_track,1
76,7661,255.367,camera_6,new_track,2
86,7671,255.7,camera_6,lost_track,1
93,7678,255.933,camera_6,reacquired,1
99,7684,256.133,camera_6,lost_track,1
100,7685,256.167,camera_6,lost_track,2
114,7699,256.633,camera_6,lost_track,0
174,7759,258.633,camera_6,new_track,3
175,7760,258.667,camera_6,new_track,4
175,7760,258.667,camera_6,lost_track,3
185,7770,259.0,camera_6,reacquired,3
187,7772,259.067,camera_6,lost_track,4
188,7773,259.1,camera_6,new_track,5
191,7776,259.2,camera_6,new_track,6
200,7785,259.5,camera_6,lost_track,6
212,7797,259.9,camera_6,reacquired,6
248,7833,261.1,camera_6,new_track,7
249,7834,261.133,camera_6,lost_track,5
249,7834,261.133,camera_6,lost_track,6
249,7834,261.133,camera_6,removed,1
250,7835,261.167,camera_6,removed,2
