loop_i,video_fid,t_sec,camera_id,track_id,x1,y1,x2,y2,conf,hits,start_frame,chef_id
0,14700,490.0,camera_4,0,878.7,103.9,973.1,503.5,0.898,1,0,
1,14701,490.033,camera_4,0,869.8,104.4,973.4,504.7,0.924,2,0,1
2,14702,490.067,camera_4,0,869.2,105.6,972.5,506.0,0.923,3,0,1
3,14703,490.1,camera_4,0,866.5,106.1,973.8,506.1,0.925,4,0,1
4,14704,490.133,camera_4,0,867.0,101.9,969.9,522.8,0.923,5,0,1
5,14705,490.167,camera_4,0,867.1,100.1,962.6,533.7,0.922,6,0,1
6,14706,490.2,camera_4,0,866.9,97.2,950.5,532.7,0.923,7,0,1
7,14707,490.233,camera_4,0,850.9,97.6,940.1,528.1,0.92,8,0,1
8,14708,490.267,camera_4,0,834.8,97.3,934.7,526.5,0.922,9,0,1
9,14709,490.3,camera_4,0,808.0,99.2,931.3,520.6,0.936,10,0,1
10,14710,490.333,camera_4,0,799.2,99.2,932.4,518.4,0.936,11,0,1
11,14711,490.367,camera_4,0,783.9,99.5,929.0,515.1,0.952,12,0,1
12,14712,490.4,camera_4,0,781.6,100.1,927.8,515.7,0.947,13,0,1
13,14713,490.433,camera_4,0,780.9,100.9,927.5,515.8,0.936,14,0,1
14,14714,490.467,camera_4,0,780.7,101.5,926.4,516.4,0.936,15,0,1
15,14715,490.5,camera_4,0,781.8,104.3,924.7,515.8,0.938,16,0,1
16,14716,490.533,camera_4,0,782.0,104.0,920.8,516.5,0.936,17,0,1
17,14717,490.567,camera_4,0,781.1,103.6,914.6,516.1,0.932,18,0,1
18,14718,490.6,camera_4,0,781.0,103.0,903.5,516.6,0.934,19,0,1
19,14719,490.633,camera_4,0,778.9,100.6,872.4,516.8,0.926,20,0,1
20,14720,490.667,camera_4,0,782.4,100.0,862.2,515.0,0.913,21,0,1
21,14721,490.7,camera_4,0,779.6,100.0,862.6,516.6,0.924,22,0,1
22,14722,490.733,camera_4,0,778.8,99.3,862.5,516.0,0.924,23,0,1
23,14723,490.767,camera_4,0,777.8,99.4,862.2,516.4,0.928,24,0,1
24,14724,490.8,camera_4,0,779.4,100.2,862.8,516.7,0.927,25,0,1
25,14725,490.833,camera_4,0,779.7,102.4,857.0,516.4,0.911,26,0,1
26,14726,490.867,camera_4,0,779.2,105.2,849.0,516.2,0.889,27,0,1
27,14727,490.9,camera_4,0,779.1,107.7,845.5,517.3,0.887,28,0,1
28,14728,490.933,camera_4,0,779.7,110.6,839.4,515.8,0.848,29,0,1
29,14729,490.967,camera_4,0,776.6,165.1,825.9,516.4,0.731,30,0,1
30,14730,491.0,camera_4,0,781.3,225.4,821.2,508.0,0.605,31,0,1
31,14731,491.033,camera_4,0,783.0,245.5,820.1,505.8,0.646,32,0,1
32,14732,491.067,camera_4,0,785.1,256.8,819.0,502.5,0.538,33,0,1
64,14764,492.133,camera_4,1,783.2,427.4,824.6,507.4,0.451,1,64,
65,14765,492.167,camera_4,1,783.0,428.2,821.0,514.1,0.382,2,64,2
66,14766,492.2,camera_4,1,781.8,431.3,823.2,518.6,0.151,3,64,2
67,14767,492.233,camera_4,1,781.9,425.6,823.3,519.0,0.229,4,64,2
67,14767,492.233,camera_4,2,782.6,231.8,824.4,518.6,0.456,1,67,
68,14768,492.267,camera_4,1,781.9,420.2,823.4,519.4,0.116,5,64,2
68,14768,492.267,camera_4,2,777.9,114.2,825.3,518.2,0.78,2,67,3
69,14769,492.3,camera_4,2,777.5,107.0,830.8,517.4,0.848,3,67,3
70,14770,492.333,camera_4,2,777.9,105.5,842.0,518.6,0.86,4,67,3
71,14771,492.367,camera_4,2,778.8,104.5,846.3,518.2,0.884,5,67,3
72,14772,492.4,camera_4,2,779.9,101.5,849.9,519.1,0.912,6,67,3
73,14773,492.433,camera_4,2,780.1,100.4,852.1,518.8,0.903,7,67,3
74,14774,492.467,camera_4,2,778.3,99.0,883.4,521.2,0.923,8,67,3
75,14775,492.5,camera_4,2,778.4,100.2,897.0,522.7,0.934,9,67,3
76,14776,492.533,camera_4,2,778.8,101.9,906.8,524.4,0.937,10,67,3
77,14777,492.567,camera_4,2,781.0,102.6,905.0,538.1,0.929,11,67,3
78,14778,492.6,camera_4,2,781.5,104.7,902.8,546.7,0.93,12,67,3
79,14779,492.633,camera_4,2,782.5,105.8,901.4,548.6,0.926,13,67,3
80,14780,492.667,camera_4,2,785.4,104.5,902.2,549.6,0.922,14,67,3
81,14781,492.7,camera_4,2,789.6,105.0,902.1,550.1,0.929,15,67,3
82,14782,492.733,camera_4,2,792.9,103.2,906.0,549.9,0.934,16,67,3
83,14783,492.767,camera_4,2,798.8,103.6,921.6,550.2,0.931,17,67,3
84,14784,492.8,camera_4,2,801.3,102.7,933.7,550.3,0.934,18,67,3
85,14785,492.833,camera_4,2,799.9,102.8,941.8,551.8,0.938,19,67,3
86,14786,492.867,camera_4,2,794.1,102.6,958.1,577.9,0.945,20,67,3
87,14787,492.9,camera_4,2,793.7,106.4,966.6,602.7,0.949,21,67,3
88,14788,492.933,camera_4,2,794.8,107.7,965.1,604.1,0.947,22,67,3
89,14789,492.967,camera_4,2,795.5,109.5,966.2,608.8,0.944,23,67,3
90,14790,493.0,camera_4,2,796.3,110.4,963.3,613.4,0.947,24,67,3
91,14791,493.033,camera_4,2,799.2,111.3,959.6,620.1,0.948,25,67,3
92,14792,493.067,camera_4,2,804.2,111.0,953.1,620.2,0.943,26,67,3
93,14793,493.1,camera_4,2,805.8,111.5,952.1,620.3,0.943,27,67,3
94,14794,493.133,camera_4,2,805.0,112.1,951.2,619.9,0.944,28,67,3
95,14795,493.167,camera_4,2,802.3,111.9,951.0,620.4,0.941,29,67,3
