bound_rate,c0,c_star,cameras,chef_switch_rate,chef_switches,chef_switches_interleaved,clip_id,duration_s,exclusive,first_bound_fid,frac_iou_ge_075,gap_band,ghost_box_rate,ghost_track_rate,gt_id,l2_n_pairs_dropped_k1,l2_n_pairs_dropped_k5,l2_n_pairs_k1,l2_n_pairs_k5,l2_p_reacquire_ci_k1,l2_p_reacquire_ci_k5,l2_p_reacquire_k1,l2_p_reacquire_k5,level,majority_tie,mean_iou,mean_iou_matched,median_iou,n_B,n_boxes,n_chefs_created_before_target_bound,n_distinct_chef_ids,n_ghost_boxes,n_ghost_tracks,n_matched,n_other_ids,n_sampled_cells,n_target_cells,n_track_ids,n_tracks_in_window,p10_iou,p90_iou,p_chef_shared_with_other_box,p_continuity,p_continuity_ci,p_exclusive,p_exclusive_ci,p_majority,p_majority_ci,recall_ci,recall_target,rule,seq,stride,track_switch_rate,track_switches,visibility
1.0,1,4,camera_1,0.0014,1,1,L2-seq_000-c1-3-003910,29.5,True,3910,0.9181,within_buffer,0.3944,0.6667,3,0,0,2,2,"(0.0945, 0.9055)","(0.0945, 0.9055)",0.5,0.5,L2,False,0.8825,0.8825,0.9019,708,1169,0,2,461,4,708,0,886,708,2,6,0.776,0.9606,0.0,0.3602,"(0.3257, 0.3962)",,"(None, None)",0.6398,"(0.6038, 0.6743)","(0.9946, 1.0)",1.0,L2,seq_000,1,0.0014,1,0.7991
0.9897,1,1,camera_7,0.0035,1,1,L2-seq_000-c7-10-001530,13.833,True,1530,0.9519,within_buffer,0.0336,0.3333,10,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.9128,0.9223,0.9358,288,298,0,2,10,1,288,0,416,291,2,3,0.8491,0.9753,0.0,0.8715,"(0.8279, 0.9053)",,"(None, None)",0.8715,"(0.8279, 0.9053)","(0.9701, 0.9965)",0.9897,L2,seq_000,1,0.0035,1,0.6995
0.9625,1,1,camera_4,0.0065,1,1,L2-seq_004-c4-6-004585,9.333,True,4591,0.9625,within_buffer,0.0065,0.0,6,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.9257,0.9618,0.967,154,155,0,2,1,0,154,0,281,160,2,2,0.928,0.983,0.0,0.7468,"(0.6726, 0.8089)",,"(None, None)",0.7468,"(0.6726, 0.8089)","(0.9206, 0.9827)",0.9625,L2,seq_004,1,0.0065,1,0.5694
0.9516,1,1,camera_6,0.017,3,3,L2-seq_004-c6-6-007585,8.333,True,7585,0.9462,within_buffer,0.484,0.75,6,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.9163,0.9629,0.974,177,343,0,3,166,6,177,0,251,186,3,8,0.8944,0.9869,0.0,0.6158,"(0.5424, 0.6843)",,"(None, None)",0.6158,"(0.5424, 0.6843)","(0.9106, 0.9743)",0.9516,L2,seq_004,1,0.017,3,0.741
0.9609,1,5,camera_7,0.0182,4,4,L2-seq_004-c7-7-004775,10.5,True,4775,0.8304,within_buffer,0.0556,0.0,7,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.8402,0.8744,0.9062,221,234,0,5,13,0,221,0,316,230,5,5,0.6324,0.9668,0.0,0.0588,"(0.0347, 0.098)",,"(None, None)",0.5158,"(0.4502, 0.5809)","(0.9273, 0.9793)",0.9609,L2,seq_004,1,0.0182,4,0.7278
0.9831,1,3,camera_1,0.0043,1,1,L2-seq_020-c1-12-007830,12.667,True,7830,0.9451,within_buffer,0.0127,0.3333,12,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.8754,0.8904,0.9086,233,236,0,2,3,1,233,0,381,237,2,3,0.793,0.9556,0.0,0.1459,"(0.1063, 0.197)",,"(None, None)",0.8541,"(0.803, 0.8937)","(0.9574, 0.9934)",0.9831,L2,seq_020,1,0.0043,1,0.622
0.969,1,2,camera_1,0.0081,1,1,L2-seq_024-c1-7-014705,7.667,True,14709,0.9302,within_buffer,0.0876,0.0,7,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.889,0.9175,0.9374,125,137,0,2,12,0,125,0,231,129,2,2,0.8107,0.9707,0.0,0.44,"(0.3561, 0.5275)",,"(None, None)",0.56,"(0.4725, 0.6439)","(0.923, 0.9879)",0.969,L2,seq_024,1,0.0081,1,0.5584
0.9674,1,1,camera_3,0.0227,2,2,L2-seq_024-c3-7-011320,7.5,True,11320,0.8478,within_buffer,0.1359,0.0,7,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.8665,0.8957,0.9385,89,103,0,3,14,0,89,0,226,92,3,3,0.6738,0.9751,0.0,0.4831,"(0.3822, 0.5855)",,"(None, None)",0.4831,"(0.3822, 0.5855)","(0.9085, 0.9888)",0.9674,L2,seq_024,1,0.0227,2,0.4071
0.9786,1,1,camera_4,0.0074,1,1,L2-seq_024-c4-7-012085,5.833,True,12085,0.9714,within_buffer,0.0,0.0,7,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.9534,0.9743,0.9807,137,137,0,2,0,0,137,0,176,140,2,2,0.9565,0.9912,0.0,0.5766,"(0.4929, 0.6562)",,"(None, None)",0.5766,"(0.4929, 0.6562)","(0.9389, 0.9927)",0.9786,L2,seq_024,1,0.0074,1,0.7955
0.9841,1,1,camera_4,0.0164,1,1,L2-seq_024-c4-10-014700,3.167,True,14700,0.9841,within_buffer,0.0746,0.3333,10,0,0,1,1,"(0.0, 0.7935)","(0.0, 0.7935)",0.0,0.0,L2,False,0.9412,0.9564,0.9638,62,67,0,2,5,1,62,0,96,63,2,3,0.9166,0.9855,0.0,0.5323,"(0.4098, 0.6509)",,"(None, None)",0.5323,"(0.4098, 0.6509)","(0.9154, 0.9972)",0.9841,L2,seq_024,1,0.0164,1,0.6562
