clip_id,stride,camera_id,video_fid,gt_frame,t_sec,gt_present,gt_box,matched,track_id,iou,iou_best,chef_id,n_tracks,n_gt,n_ghost,n_coasting,other_gt_ids,others_same_chef,chef_ids_on_frame,in_B,is_continuity,is_majority,is_exclusive
L2-seq_004-c6-6-007585,1,camera_6,7585,7586,252.833,1,254.0 588.0 420.0 718.0,1,0,0.9519,0.9519,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7586,7587,252.867,1,267.0 563.0 433.0 718.0,1,0,0.9752,0.9752,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7587,7588,252.9,1,304.0 494.0 448.0 718.0,1,0,0.8756,0.8756,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7588,7589,252.933,1,304.0 494.0 448.0 718.0,1,0,0.9787,0.9787,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7589,7590,252.967,1,293.0 483.0 454.0 718.0,1,0,0.97,0.97,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7590,7591,253.0,1,292.0 470.0 480.0 717.0,1,0,0.9835,0.9835,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7591,7592,253.033,1,295.0 460.0 518.0 716.0,1,0,0.9707,0.9707,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7592,7593,253.067,1,301.0 451.0 539.0 714.0,1,0,0.9697,0.9697,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7593,7594,253.1,1,307.0 445.0 551.0 714.0,1,0,0.9736,0.9736,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7594,7595,253.133,1,304.0 440.0 560.0 714.0,1,0,0.9681,0.9681,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7595,7596,253.167,1,304.0 436.0 568.0 714.0,1,0,0.9709,0.9709,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7596,7597,253.2,1,309.0 431.0 574.0 713.0,1,0,0.9673,0.9673,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7597,7598,253.233,1,315.0 428.0 580.0 714.0,1,0,0.9715,0.9715,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7598,7599,253.267,1,322.0 420.0 581.0 715.0,1,0,0.9756,0.9756,1,1,1,0,0,,,1,1,1,1,
L2-seq_004-c6-6-007585,1,camera_6,7599,7600,253.3,1,327.0 414.0 579.0 716.0,1,0,0.9877,0.9877,1,1,1,0,0,,,1,1,1,1,
