fid,track_id,chef_id,gt_person,iou
5835,83,21,9,0.982
5835,86,21,,0.0
5840,83,21,9,0.973
5840,86,21,,0.0
5845,83,21,9,0.979
5845,86,21,,0.0
5850,83,21,9,0.979
5850,86,21,,0.0
5855,83,21,9,0.984
5855,86,21,,0.0
5860,83,21,9,0.982
5860,86,21,,0.0
5865,83,21,9,0.984
5865,86,21,,0.0
5870,83,21,9,0.971
5870,86,21,,0.0
5875,83,21,9,0.968
5875,86,21,,0.0
5880,83,21,9,0.975
5880,86,21,,0.0
5885,83,21,9,0.978
5885,86,21,,0.0
5890,83,21,9,0.959
5890,86,21,,0.0
5890,92,21,,0.0
5895,83,21,9,0.982
5895,86,21,,0.0
5895,92,21,,0.0
5900,83,21,9,0.978
5900,86,21,,0.0
5900,92,21,,0.0
5905,83,21,9,0.969
5905,86,21,,0.0
5905,92,21,,0.0
5910,83,21,9,0.959
5910,86,21,,0.0
5910,92,21,,0.0
5915,83,21,9,0.959
5915,86,21,,0.0
5915,92,21,,0.0
5920,83,21,9,0.961
5920,86,21,,0.0
5920,92,21,,0.0
5925,83,21,9,0.966
5925,86,21,,0.0
5925,92,21,,0.0
5930,83,21,9,0.967
5930,86,21,,0.0
5930,92,21,,0.0
5935,83,21,9,0.96
5935,86,21,,0.0
5935,92,21,,0.0
5940,83,21,9,0.97
5940,86,21,,0.0
5940,92,21,,0.0
5945,83,21,9,0.961
5945,86,21,,0.0
5945,92,21,,0.0
5950,83,21,9,0.956
5950,86,21,,0.0
5950,92,21,,0.0
5955,83,21,9,0.97
5955,86,21,,0.0
5955,92,21,,0.0
5960,83,21,9,0.961
5960,86,21,,0.0
5960,92,21,,0.0
5965,83,21,9,0.964
5965,86,21,,0.0
5965,92,21,,0.0
5970,83,21,9,0.964
5970,86,21,,0.0
5970,92,21,,0.0
5975,83,21,9,0.955
5975,86,21,,0.0
5975,92,21,,0.0
5980,83,21,9,0.956
5980,86,21,,0.0
5980,92,21,,0.0
5985,83,21,9,0.943
5985,86,21,,0.0
5985,92,21,,0.0
5990,83,21,9,0.942
5990,86,21,,0.0
5990,92,21,,0.0
5995,83,21,9,0.938
5995,86,21,,0.0
5995,92,21,,0.0
6000,83,21,9,0.951
6000,86,21,,0.0
6000,92,21,,0.0
6005,83,21,9,0.966
6005,86,21,,0.0
6005,92,21,,0.0
6010,83,21,9,0.995
6010,86,21,,0.0
6010,92,21,,0.0
6015,83,21,9,0.969
6015,86,21,,0.0
6015,92,21,,0.0
6020,83,21,9,0.969
6020,86,21,,0.0
6020,92,21,,0.0
6025,83,21,9,0.981
6025,86,21,,0.0
6025,92,21,,0.0
6030,83,21,9,0.987
6030,86,21,,0.0
6030,92,21,,0.0
6035,83,21,9,0.96
6035,86,21,,0.0
6035,92,21,,0.0
6040,83,21,9,0.975
6040,86,21,,0.0
6040,92,21,,0.0
6045,83,21,9,0.981
6045,86,21,,0.0
6045,92,21,,0.0
6050,83,21,9,0.518
6050,86,21,,0.0
6050,92,21,,0.087
6055,83,21,9,0.591
6055,86,21,,0.0
