loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,0
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_2,new_track,0
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_3,new_track,0
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
0,0,0.0,camera_3,new_track,4
0,0,0.0,camera_3,new_track,5
0,0,0.0,camera_4,new_track,0
2,10,0.333,camera_3,lost_track,2
7,35,1.167,camera_3,new_track,6
13,65,2.167,camera_3,lost_track,5
17,85,2.833,camera_3,new_track,7
19,95,3.167,camera_3,reacquired,5
20,100,3.333,camera_1,new_track,2
23,115,3.833,camera_3,reacquired,2
25,125,4.167,camera_1,lost_track,2
25,125,4.167,camera_3,lost_track,5
27,135,4.5,camera_3,reacquired,5
27,135,4.5,camera_3,lost_track,4
29,145,4.833,camera_3,new_track,8
30,150,5.0,camera_3,reacquired,4
31,155,5.167,camera_3,lost_track,2
31,155,5.167,camera_3,lost_track,5
33,165,5.5,camera_3,lost_track,8
34,170,5.667,camera_3,reacquired,5
36,180,6.0,camera_3,lost_track,4
39,195,6.5,camera_3,reacquired,4
41,205,6.833,camera_3,new_track,9
49,245,8.167,camera_3,lost_track,5
50,250,8.333,camera_3,lost_track,9
51,255,8.5,camera_2,new_track,2
55,275,9.167,camera_1,removed,2
55,275,9.167,camera_3,new_track,10
57,285,9.5,camera_3,lost_track,10
61,305,10.167,camera_3,removed,2
63,315,10.5,camera_3,removed,8
69,345,11.5,camera_3,new_track,11
71,355,11.833,camera_3,lost_track,11
75,375,12.5,camera_1,lost_track,1
79,395,13.167,camera_1,reacquired,1
79,395,13.167,camera_3,removed,5
80,400,13.333,camera_3,removed,9
87,435,14.5,camera_3,removed,10
91,455,15.167,camera_1,new_track,3
91,455,15.167,camera_3,lost_track,3
93,465,15.5,camera_3,new_track,12
94,470,15.667,camera_3,reacquired,3
95,475,15.833,camera_3,lost_track,12
96,480,16.0,camera_1,lost_track,1
97,485,16.167,camera_2,new_track,3
99,495,16.5,camera_5,new_track,0
101,505,16.833,camera_3,removed,11
102,510,17.0,camera_3,new_track,13
103,515,17.167,camera_3,lost_track,7
104,520,17.333,camera_3,lost_track,4
109,545,18.167,camera_3,lost_track,3
110,550,18.333,camera_3,reacquired,3
112,560,18.667,camera_1,new_track,4
113,565,18.833,camera_2,new_track,4
114,570,19.0,camera_1,new_track,5
114,570,19.0,camera_1,new_track,6
115,575,19.167,camera_5,new_track,1
116,580,19.333,camera_1,lost_track,6
116,580,19.333,camera_3,new_track,14
117,585,19.5,camera_1,reacquired,6
117,585,19.5,camera_3,lost_track,3
117,585,19.5,camera_3,lost_track,14
118,590,19.667,camera_1,lost_track,3
118,590,19.667,camera_2,lost_track,2
119,595,19.833,camera_2,lost_track,3
119,595,19.833,camera_3,reacquired,14
120,600,20.0,camera_5,new_track,2
122,610,20.333,camera_2,lost_track,4
123,615,20.5,camera_1,lost_track,4
123,615,20.5,camera_3,new_track,15
123,615,20.5,camera_3,lost_track,1
124,620,20.667,camera_2,new_track,5
125,625,20.833,camera_3,removed,12
126,630,21.0,camera_1,removed,1
127,635,21.167,camera_3,lost_track,0
127,635,21.167,camera_5,new_track,3
128,640,21.333,camera_1,new_track,7
128,640,21.333,camera_2,new_track,6
128,640,21.333,camera_3,lost_track,15
129,645,21.5,camera_1,new_track,8
129,645,21.5,camera_2,new_track,7
131,655,21.833,camera_2,lost_track,0
132,660,22.0,camera_1,lost_track,6
132,660,22.0,camera_2,new_track,8
133,665,22.167,camera_2,lost_track,5
133,665,22.167,camera_2,lost_track,8
133,665,22.167,camera_3,removed,7
134,670,22.333,camera_1,lost_track,7
134,670,22.333,camera_2,new_track,9
134,670,22.333,camera_3,removed,4
136,680,22.667,camera_3,lost_track,6
137,685,22.833,camera_2,lost_track,9
138,690,23.0,camera_5,lost_track,1
143,715,23.833,camera_2,lost_track,6
144,720,24.0,camera_2,new_track,10
147,735,24.5,camera_3,new_track,16
147,735,24.5,camera_3,lost_track,14
147,735,24.5,camera_3,removed,3
148,740,24.667,camera_1,new_track,9
148,740,24.667,camera_1,lost_track,5
148,740,24.667,camera_1,removed,3
148,740,24.667,camera_2,removed,2
149,745,24.833,camera_1,reacquired,5
149,745,24.833,camera_2,removed,3
149,745,24.833,camera_3,reacquired,14
150,750,25.0,camera_3,lost_track,16
151,755,25.167,camera_1,lost_track,5
152,760,25.333,camera_1,reacquired,5
152,760,25.333,camera_2,removed,4
153,765,25.5,camera_1,removed,4
153,765,25.5,camera_3,removed,1
154,770,25.667,camera_1,new_track,10
156,780,26.0,camera_2,new_track,11
157,785,26.167,camera_2,lost_track,11
157,785,26.167,camera_3,removed,0
158,790,26.333,camera_2,lost_track,1
158,790,26.333,camera_3,removed,15
