loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,0
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_2,new_track,0
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_3,new_track,0
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
0,0,0.0,camera_4,new_track,0
0,0,0.0,camera_5,new_track,0
0,0,0.0,camera_5,new_track,1
0,0,0.0,camera_6,new_track,0
2,10,0.333,camera_3,lost_track,3
3,15,0.5,camera_2,lost_track,1
4,20,0.667,camera_1,new_track,2
4,20,0.667,camera_2,new_track,2
7,35,1.167,camera_4,lost_track,0
8,40,1.333,camera_1,lost_track,2
9,45,1.5,camera_6,new_track,1
11,55,1.833,camera_5,new_track,2
15,75,2.5,camera_3,lost_track,0
18,90,3.0,camera_5,new_track,3
18,90,3.0,camera_5,lost_track,2
22,110,3.667,camera_5,new_track,4
22,110,3.667,camera_5,reacquired,2
23,115,3.833,camera_5,new_track,5
25,125,4.167,camera_5,lost_track,5
26,130,4.333,camera_5,reacquired,5
27,135,4.5,camera_2,lost_track,0
29,145,4.833,camera_5,lost_track,5
30,150,5.0,camera_1,lost_track,0
31,155,5.167,camera_1,lost_track,1
32,160,5.333,camera_3,removed,3
32,160,5.333,camera_4,new_track,1
33,165,5.5,camera_2,removed,1
34,170,5.667,camera_1,new_track,3
34,170,5.667,camera_7,new_track,0
35,175,5.833,camera_6,lost_track,1
36,180,6.0,camera_2,new_track,3
37,185,6.167,camera_4,removed,0
38,190,6.333,camera_1,reacquired,1
38,190,6.333,camera_1,removed,2
38,190,6.333,camera_2,lost_track,2
38,190,6.333,camera_6,lost_track,0
40,200,6.667,camera_4,lost_track,1
44,220,7.333,camera_5,lost_track,2
45,225,7.5,camera_3,removed,0
46,230,7.667,camera_3,lost_track,1
50,250,8.333,camera_5,lost_track,4
53,265,8.833,camera_3,new_track,4
54,270,9.0,camera_6,new_track,2
57,285,9.5,camera_2,removed,0
59,295,9.833,camera_3,lost_track,4
59,295,9.833,camera_5,removed,5
60,300,10.0,camera_1,removed,0
65,325,10.833,camera_6,removed,1
67,335,11.167,camera_5,new_track,6
68,340,11.333,camera_2,removed,2
68,340,11.333,camera_6,removed,0
70,350,11.667,camera_4,removed,1
70,350,11.667,camera_5,lost_track,0
72,360,12.0,camera_1,lost_track,3
72,360,12.0,camera_2,new_track,4
74,370,12.333,camera_5,removed,2
76,380,12.667,camera_1,reacquired,3
76,380,12.667,camera_3,removed,1
76,380,12.667,camera_6,new_track,3
77,385,12.833,camera_2,lost_track,4
77,385,12.833,camera_7,new_track,1
78,390,13.0,camera_3,new_track,5
80,400,13.333,camera_5,removed,4
81,405,13.5,camera_3,lost_track,2
82,410,13.667,camera_3,reacquired,2
82,410,13.667,camera_5,lost_track,1
82,410,13.667,camera_7,lost_track,1
85,425,14.167,camera_5,lost_track,6
86,430,14.333,camera_6,new_track,4
89,445,14.833,camera_3,removed,4
89,445,14.833,camera_6,lost_track,3
89,445,14.833,camera_6,lost_track,4
94,470,15.667,camera_5,new_track,7
95,475,15.833,camera_6,new_track,5
100,500,16.667,camera_5,removed,0
101,505,16.833,camera_2,lost_track,3
103,515,17.167,camera_5,new_track,8
104,520,17.333,camera_6,lost_track,2
107,535,17.833,camera_2,removed,4
107,535,17.833,camera_3,lost_track,5
111,555,18.5,camera_7,lost_track,0
112,560,18.667,camera_5,removed,1
112,560,18.667,camera_7,removed,1
114,570,19.0,camera_6,new_track,6
115,575,19.167,camera_5,removed,6
116,580,19.333,camera_1,lost_track,1
119,595,19.833,camera_6,removed,3
119,595,19.833,camera_6,removed,4
120,600,20.0,camera_6,new_track,7
124,620,20.667,camera_6,lost_track,7
124,620,20.667,camera_7,new_track,2
125,625,20.833,camera_5,new_track,9
125,625,20.833,camera_5,lost_track,3
127,635,21.167,camera_6,reacquired,7
127,635,21.167,camera_6,lost_track,5
131,655,21.833,camera_2,removed,3
131,655,21.833,camera_6,new_track,8
132,660,22.0,camera_6,lost_track,7
133,665,22.167,camera_7,new_track,3
134,670,22.333,camera_6,removed,2
136,680,22.667,camera_6,reacquired,7
137,685,22.833,camera_3,removed,5
139,695,23.167,camera_6,lost_track,7
139,695,23.167,camera_6,lost_track,8
141,705,23.5,camera_7,removed,0
143,715,23.833,camera_5,lost_track,9
143,715,23.833,camera_6,lost_track,6
146,730,24.333,camera_1,removed,1
146,730,24.333,camera_5,new_track,10
153,765,25.5,camera_5,new_track,11
154,770,25.667,camera_7,new_track,4
155,775,25.833,camera_5,removed,3
157,785,26.167,camera_6,removed,5
158,790,26.333,camera_7,lost_track,4
162,810,27.0,camera_7,reacquired,4
164,820,27.333,camera_7,lost_track,3
169,845,28.167,camera_6,removed,7
169,845,28.167,camera_6,removed,8
