loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,515.7,4,4,0,12,0,4,0,0,0,0,4,6,2,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0
50,8.33,543.0,4,4,0,16,0,4,2,0,0,0,4,9,3,0,0,0,0,4,9,3,0,0,0,0,0,0,0,0,0,0
100,16.67,543.5,5,5,0,15,0,5,2,0,0,1,4,11,4,0,0,0,1,3,8,3,0,0,0,0,0,0,0,0,0,0
150,25.0,543.8,5,5,0,17,0,5,3,0,0,1,4,14,6,0,0,0,1,3,9,4,0,0,0,0,0,0,0,0,0,0
200,33.33,544.1,5,5,0,16,0,5,3,0,0,1,4,17,7,0,0,0,1,3,9,3,0,0,0,0,0,0,0,0,0,0
250,41.67,544.2,5,5,0,19,0,5,5,0,0,1,5,19,9,0,0,0,1,4,10,4,0,0,0,0,0,0,0,0,0,0
300,50.0,544.4,5,5,0,15,0,5,2,0,0,1,6,20,10,0,0,0,1,4,8,2,0,0,0,0,0,0,0,0,0,0
350,58.33,544.4,6,6,0,17,0,6,6,0,0,2,7,21,12,0,0,0,2,4,8,3,0,0,0,0,0,0,0,0,0,0
400,66.67,544.5,7,5,2,16,2,5,3,0,0,3,9,23,13,0,0,0,1,5,9,1,0,0,0,0,0,0,0,0,0,0
450,75.0,544.6,9,5,4,20,4,5,5,0,0,5,9,26,15,0,0,0,1,4,12,3,0,0,0,0,0,0,0,0,0,0
500,83.33,544.7,9,5,4,18,4,5,2,0,0,5,9,28,16,0,0,0,1,3,11,3,0,0,0,0,0,0,0,0,0,0
550,91.67,544.7,9,5,4,18,4,5,4,0,0,5,9,29,20,0,0,0,1,3,10,4,0,0,0,0,0,0,0,0,0,0
600,100.0,544.7,9,5,4,19,4,5,4,0,0,5,9,31,23,0,0,0,1,3,10,5,0,0,0,0,0,0,0,0,0,0
650,108.33,544.8,9,5,4,14,4,5,0,0,0,5,9,32,23,0,0,0,1,3,8,2,0,0,0,0,0,0,0,0,0,0
