model,license,shippable,imgsz,batch,latency_ms_mean,latency_ms_p95,throughput_fps,gpu_mem_mb,max_cameras,provider,status
dfine_n,Apache-2.0,True,640,1,17.064,22.404,58.6,214.5,3,CUDAExecutionProvider,OK
dfine_n,Apache-2.0,True,640,4,40.037,41.546,99.9,600.5,6,CUDAExecutionProvider,OK
dfine_n,Apache-2.0,True,640,8,75.283,77.105,106.3,1112.5,7,CUDAExecutionProvider,OK
dfine_s,Apache-2.0,True,640,1,23.687,25.799,42.2,346.5,2,CUDAExecutionProvider,OK
dfine_s,Apache-2.0,True,640,4,74.384,76.248,53.8,1114.5,3,CUDAExecutionProvider,OK
dfine_s,Apache-2.0,True,640,8,142.199,145.242,56.3,2138.5,3,CUDAExecutionProvider,OK
dfine_m,Apache-2.0,True,640,1,37.112,39.77,26.9,346.5,1,CUDAExecutionProvider,OK
dfine_m,Apache-2.0,True,640,4,121.906,123.943,32.8,1114.5,2,CUDAExecutionProvider,OK
dfine_m,Apache-2.0,True,640,8,232.537,235.417,34.4,2138.5,2,CUDAExecutionProvider,OK
rfdetr_nano,Apache-2.0,True,384,1,15.636,16.631,64.0,348.5,4,CUDAExecutionProvider,OK
rfdetr_nano,Apache-2.0,True,384,4,50.731,51.429,78.8,604.5,5,CUDAExecutionProvider,OK
rfdetr_nano,Apache-2.0,True,384,8,95.416,95.895,83.8,604.5,5,CUDAExecutionProvider,OK
rfdetr_small,Apache-2.0,True,512,1,27.702,28.653,36.1,346.5,2,CUDAExecutionProvider,OK
rfdetr_small,Apache-2.0,True,512,4,91.768,92.314,43.6,602.5,2,CUDAExecutionProvider,OK
rfdetr_small,Apache-2.0,True,512,8,170.207,170.803,47.0,1114.5,3,CUDAExecutionProvider,OK
rfdetr_medium,Apache-2.0,True,576,1,35.84,37.814,27.9,602.5,1,CUDAExecutionProvider,OK
rfdetr_medium,Apache-2.0,True,576,4,117.464,118.043,34.1,1114.5,2,CUDAExecutionProvider,OK
rfdetr_medium,Apache-2.0,True,576,8,217.615,218.213,36.8,2138.5,2,CUDAExecutionProvider,OK
rtdetrv2_r18,Apache-2.0,True,640,1,27.573,28.454,36.3,350.5,2,CUDAExecutionProvider,OK
rtdetrv2_r18,Apache-2.0,True,640,4,90.416,91.892,44.2,606.5,2,CUDAExecutionProvider,OK
rtdetrv2_r18,Apache-2.0,True,640,8,172.312,174.246,46.4,2142.5,3,CUDAExecutionProvider,OK
rtdetrv2_r34,Apache-2.0,True,640,1,36.982,38.136,27.0,346.5,1,CUDAExecutionProvider,OK
rtdetrv2_r34,Apache-2.0,True,640,4,120.899,123.227,33.1,1114.5,2,CUDAExecutionProvider,OK
rtdetrv2_r34,Apache-2.0,True,640,8,230.014,231.815,34.8,2138.5,2,CUDAExecutionProvider,OK
ssdlite_ref,BSD-3,False,320,1,35.568,38.349,28.1,258.5,1,CUDAExecutionProvider,OK
ssdlite_ref,BSD-3,False,320,4,,,,,,CUDAExecutionProvider,ERROR
ssdlite_ref,BSD-3,False,320,8,,,,,,CUDAExecutionProvider,ERROR
yolox_s,Apache-2.0,True,-,-,,,,,,,MISSING_ONNX
damoyolo_t,Apache-2.0,True,-,-,,,,,,,MISSING_ONNX
lwdetr_small,Apache-2.0,True,-,-,,,,,,,MISSING_ONNX
