model,license,shippable,imgsz,batch,latency_ms_mean,latency_ms_p95,throughput_fps,gpu_mem_mb,max_cameras,provider,status
dfine_n,Apache-2.0,True,672,1,17.26,23.162,57.9,214.5,3,CUDAExecutionProvider,OK
dfine_n,Apache-2.0,True,672,4,43.429,44.901,92.1,600.5,6,CUDAExecutionProvider,OK
dfine_n,Apache-2.0,True,672,8,81.319,83.394,98.4,1112.5,6,CUDAExecutionProvider,OK
dfine_s,Apache-2.0,True,672,1,25.069,27.437,39.9,346.5,2,CUDAExecutionProvider,OK
dfine_s,Apache-2.0,True,672,4,80.696,82.776,49.6,1114.5,3,CUDAExecutionProvider,OK
dfine_s,Apache-2.0,True,672,8,153.817,156.427,52.0,2138.5,3,CUDAExecutionProvider,OK
dfine_m,Apache-2.0,True,672,1,38.658,40.714,25.9,346.5,1,CUDAExecutionProvider,OK
dfine_m,Apache-2.0,True,672,4,131.729,134.246,30.4,1114.5,2,CUDAExecutionProvider,OK
dfine_m,Apache-2.0,True,672,8,253.196,255.537,31.6,2138.5,2,CUDAExecutionProvider,OK
rfdetr_nano,Apache-2.0,True,672,1,43.287,44.027,23.1,602.5,1,CUDAExecutionProvider,OK
rfdetr_nano,Apache-2.0,True,672,4,151.327,152.085,26.4,2138.5,1,CUDAExecutionProvider,OK
rfdetr_nano,Apache-2.0,True,672,8,12756.467,12877.442,0.6,3802.5,0,CUDAExecutionProvider,OK
rfdetr_small,Apache-2.0,True,672,1,45.242,46.771,22.1,600.5,1,CUDAExecutionProvider,OK
rfdetr_small,Apache-2.0,True,672,4,154.835,156.003,25.8,2136.5,1,CUDAExecutionProvider,OK
rfdetr_small,Apache-2.0,True,672,8,11550.273,11654.948,0.7,3864.5,0,CUDAExecutionProvider,OK
rfdetr_medium,Apache-2.0,True,672,1,45.577,46.252,21.9,602.5,1,CUDAExecutionProvider,OK
rfdetr_medium,Apache-2.0,True,672,4,157.952,158.821,25.3,2138.5,1,CUDAExecutionProvider,OK
rfdetr_medium,Apache-2.0,True,672,8,12811.641,12942.084,0.6,3866.5,0,CUDAExecutionProvider,OK
rtdetrv2_r18,Apache-2.0,True,672,1,29.277,31.856,34.2,354.5,2,CUDAExecutionProvider,OK
rtdetrv2_r18,Apache-2.0,True,672,4,97.79,99.628,40.9,1122.5,2,CUDAExecutionProvider,OK
rtdetrv2_r18,Apache-2.0,True,672,8,189.274,191.683,42.3,2146.5,2,CUDAExecutionProvider,OK
rtdetrv2_r34,Apache-2.0,True,672,1,38.931,40.226,25.7,346.5,1,CUDAExecutionProvider,OK
rtdetrv2_r34,Apache-2.0,True,672,4,130.929,132.824,30.6,1114.5,2,CUDAExecutionProvider,OK
rtdetrv2_r34,Apache-2.0,True,672,8,253.319,255.388,31.6,2138.5,2,CUDAExecutionProvider,OK
