loop_i,video_fid,t_sec,camera_id,track_id,x1,y1,x2,y2,conf,hits,start_frame,chef_id
0,0,0.0,cam1,1,472.2,140.8,780.2,600.3,0.951,0,1,
0,0,0.0,cam2,1,518.3,67.4,835.0,690.8,0.94,0,1,
0,0,0.0,cam3,1,754.6,-0.5,976.9,428.0,0.893,0,1,
1,10,0.333,cam1,1,473.3,150.5,782.9,600.4,0.953,1,1,1
1,10,0.333,cam2,1,540.2,63.9,843.7,690.8,0.943,1,1,1
1,10,0.333,cam3,1,749.8,0.3,977.7,426.8,0.86,1,1,1
2,20,0.667,cam1,1,473.2,156.7,802.7,601.3,0.947,2,1,1
2,20,0.667,cam2,1,552.2,62.6,854.2,690.8,0.946,2,1,1
2,20,0.667,cam3,1,755.3,0.1,974.4,428.0,0.881,2,1,1
3,30,1.0,cam1,1,469.5,160.2,815.3,602.7,0.947,3,1,1
3,30,1.0,cam2,1,552.0,89.1,838.5,697.5,0.937,3,1,1
3,30,1.0,cam3,1,764.7,0.4,975.1,429.9,0.895,3,1,1
4,40,1.333,cam1,1,469.4,155.7,806.8,603.2,0.954,4,1,1
4,40,1.333,cam2,1,554.7,68.7,855.2,697.7,0.929,4,1,1
4,40,1.333,cam3,1,742.3,0.5,977.6,431.2,0.892,4,1,1
5,50,1.667,cam1,1,469.1,157.2,805.5,601.5,0.954,5,1,1
5,50,1.667,cam2,1,544.3,78.1,841.8,697.3,0.927,5,1,1
5,50,1.667,cam3,1,728.0,0.3,971.4,430.2,0.89,5,1,1
6,60,2.0,cam1,1,468.7,183.6,801.3,603.3,0.944,6,1,1
6,60,2.0,cam2,1,611.1,56.5,867.6,697.9,0.945,6,1,1
6,60,2.0,cam3,1,771.6,0.8,1022.0,430.5,0.903,6,1,1
7,70,2.333,cam1,1,532.4,183.8,802.3,611.3,0.922,7,1,1
7,70,2.333,cam2,1,682.1,51.1,948.5,648.8,0.949,7,1,1
7,70,2.333,cam3,1,787.3,1.0,1066.7,366.5,0.927,7,1,1
8,80,2.667,cam1,1,562.0,225.5,830.5,610.8,0.92,8,1,1
8,80,2.667,cam2,1,685.6,54.1,1036.0,613.3,0.955,8,1,1
8,80,2.667,cam3,1,794.8,0.5,1134.8,357.5,0.943,8,1,1
9,90,3.0,cam1,1,568.4,241.9,898.3,685.8,0.938,9,1,1
9,90,3.0,cam2,1,764.5,41.0,1050.1,615.7,0.945,9,1,1
9,90,3.0,cam3,1,850.2,1.0,1157.8,339.3,0.881,9,1,1
10,100,3.333,cam1,1,588.6,287.9,1001.4,715.7,0.954,10,1,1
10,100,3.333,cam2,1,775.0,47.1,1120.2,615.8,0.927,10,1,1
10,100,3.333,cam3,1,859.7,0.9,1084.3,339.6,0.898,10,1,1
11,110,3.667,cam1,1,609.9,312.4,1005.7,716.4,0.946,11,1,1
11,110,3.667,cam2,1,770.2,46.8,1136.4,616.3,0.941,11,1,1
11,110,3.667,cam3,1,860.1,1.2,1073.5,340.1,0.886,11,1,1
12,120,4.0,cam1,1,606.1,326.7,1006.6,715.8,0.943,12,1,1
12,120,4.0,cam2,1,775.3,56.2,1128.9,614.9,0.933,12,1,1
12,120,4.0,cam3,1,861.7,0.9,1083.2,340.1,0.901,12,1,1
13,130,4.333,cam1,1,599.9,321.2,996.7,715.8,0.955,13,1,1
13,130,4.333,cam2,1,777.3,58.7,1134.7,615.2,0.93,13,1,1
13,130,4.333,cam3,1,860.8,0.6,1093.4,340.0,0.882,13,1,1
14,140,4.667,cam1,1,594.8,307.7,973.6,716.2,0.948,14,1,1
14,140,4.667,cam2,1,779.9,54.8,1123.2,615.9,0.935,14,1,1
14,140,4.667,cam3,1,859.9,0.5,1106.8,340.2,0.869,14,1,1
15,150,5.0,cam1,1,601.5,294.5,964.7,713.5,0.943,15,1,1
15,150,5.0,cam2,1,780.3,45.7,1087.3,614.9,0.954,15,1,1
15,150,5.0,cam3,1,860.1,0.5,1146.7,340.1,0.924,15,1,1
16,160,5.333,cam1,1,616.0,296.2,975.3,713.4,0.929,16,1,1
16,160,5.333,cam2,1,775.0,40.3,1084.1,615.2,0.953,16,1,1
