loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,cam1,new_track,1
0,0,0.0,cam2,new_track,1
0,0,0.0,cam3,new_track,1
4,40,1.333,cam1,removed,-1
34,340,11.333,cam3,removed,-1
36,360,12.0,cam3,new_track,2
41,410,13.667,cam3,lost_track,2
47,470,15.667,cam3,reacquired,2
47,470,15.667,cam3,lost_track,1
47,470,15.667,cam3,removed,-1
57,570,19.0,cam3,reacquired,1
57,570,19.0,cam3,lost_track,2
82,820,27.333,cam3,removed,-1
84,840,28.0,cam2,lost_track,1
85,850,28.333,cam2,new_track,2
85,850,28.333,cam3,reacquired,2
85,850,28.333,cam3,lost_track,1
91,910,30.333,cam2,lost_track,2
91,910,30.333,cam3,reacquired,1
91,910,30.333,cam3,lost_track,2
92,920,30.667,cam2,new_track,3
94,940,31.333,cam3,new_track,3
95,950,31.667,cam3,lost_track,3
97,970,32.333,cam2,lost_track,3
97,970,32.333,cam3,reacquired,3
97,970,32.333,cam3,lost_track,1
98,980,32.667,cam2,new_track,4
98,980,32.667,cam3,reacquired,2
98,980,32.667,cam3,lost_track,3
100,1000,33.333,cam2,reacquired,2
100,1000,33.333,cam2,lost_track,4
103,1030,34.333,cam2,reacquired,4
103,1030,34.333,cam2,lost_track,2
112,1120,37.333,cam2,removed,-1
113,1130,37.667,cam2,lost_track,4
114,1140,38.0,cam2,removed,1
117,1170,39.0,cam1,removed,-1
117,1170,39.0,cam2,new_track,5
