loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3
0,0.0,1216.4,1,1,0,3,0,1,0,0,0,1,1,1,1,1,1,0,0,0
50,8.33,1178.1,1,1,0,3,0,1,0,0,0,2,1,1,1,1,1,0,0,0
100,16.67,1178.6,1,1,0,4,0,1,1,0,0,2,1,2,1,1,2,0,0,0
150,25.0,1169.8,1,1,0,3,0,1,0,0,0,2,1,2,1,1,1,0,0,0
200,33.33,1068.2,1,1,0,5,0,1,2,0,0,2,1,4,1,1,3,0,0,0
250,41.67,892.1,1,1,0,4,0,1,1,0,0,2,2,4,1,2,1,0,0,0
300,50.0,906.9,1,1,0,3,0,1,0,0,0,2,2,4,1,1,1,0,0,0
350,58.33,904.8,1,1,0,4,0,1,0,0,0,2,2,5,1,1,2,0,0,0
400,66.67,909.1,1,1,0,4,0,1,1,0,0,2,2,5,1,1,2,0,0,0
450,75.0,898.1,1,1,0,3,0,1,0,0,0,2,2,5,1,1,1,0,0,0
500,83.33,898.8,1,1,0,4,0,1,1,0,0,2,2,6,1,1,2,0,0,0
550,91.67,908.7,1,1,0,4,0,1,1,0,0,2,2,6,1,1,2,0,0,0
600,100.0,909.2,1,1,0,4,0,1,1,0,0,2,2,6,1,1,2,0,0,0
650,108.33,892.7,1,1,0,5,0,1,2,0,0,4,4,6,1,2,2,2,0,0
700,116.67,766.9,1,1,0,4,0,1,0,0,0,4,4,6,1,1,2,0,0,0
750,125.0,775.8,1,1,0,4,0,1,1,0,0,4,4,6,1,1,2,0,0,0
800,133.33,741.4,1,1,0,4,0,1,1,0,0,4,4,6,1,1,2,0,0,0
850,141.67,563.1,1,1,0,4,0,1,1,0,0,4,4,6,1,1,2,0,0,0
