loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,cam1,new_track,1
0,0,0.0,cam2,new_track,1
0,0,0.0,cam3,new_track,1
6,30,1.0,cam1,new_track,2
7,35,1.167,cam1,lost_track,2
37,185,6.167,cam1,removed,2
67,335,11.167,cam3,removed,-1
71,355,11.833,cam3,new_track,2
82,410,13.667,cam3,lost_track,2
93,465,15.5,cam3,removed,-1
112,560,18.667,cam3,removed,2
118,590,19.667,cam1,removed,-1
163,815,27.167,cam3,new_track,3
164,820,27.333,cam3,lost_track,3
181,905,30.167,cam3,reacquired,3
181,905,30.167,cam3,lost_track,1
187,935,31.167,cam3,new_track,4
189,945,31.5,cam3,lost_track,4
191,955,31.833,cam3,reacquired,4
192,960,32.0,cam3,lost_track,4
198,990,33.0,cam3,reacquired,1
198,990,33.0,cam3,lost_track,3
222,1110,37.0,cam3,removed,4
223,1115,37.167,cam2,removed,-1
226,1130,37.667,cam2,lost_track,1
228,1140,38.0,cam3,removed,3
232,1160,38.667,cam2,new_track,2
233,1165,38.833,cam1,removed,-1
256,1280,42.667,cam2,removed,1
296,1480,49.333,cam3,removed,-1
298,1490,49.667,cam3,removed,-1
331,1655,55.167,cam3,new_track,5
332,1660,55.333,cam3,lost_track,5
336,1680,56.0,cam3,reacquired,5
337,1685,56.167,cam3,lost_track,5
339,1695,56.5,cam3,reacquired,5
340,1700,56.667,cam3,lost_track,5
344,1720,57.333,cam3,reacquired,5
345,1725,57.5,cam3,lost_track,5
348,1740,58.0,cam3,reacquired,5
353,1765,58.833,cam3,lost_track,5
354,1770,59.0,cam3,reacquired,5
356,1780,59.333,cam3,lost_track,5
357,1785,59.5,cam3,reacquired,5
358,1790,59.667,cam3,lost_track,5
370,1850,61.667,cam3,reacquired,5
374,1870,62.333,cam3,lost_track,5
375,1875,62.5,cam3,reacquired,5
376,1880,62.667,cam3,lost_track,5
377,1885,62.833,cam3,reacquired,5
381,1905,63.5,cam3,lost_track,5
382,1910,63.667,cam3,reacquired,5
384,1920,64.0,cam3,lost_track,5
385,1925,64.167,cam3,reacquired,5
386,1930,64.333,cam3,lost_track,5
390,1950,65.0,cam3,reacquired,5
391,1955,65.167,cam3,lost_track,5
413,2065,68.833,cam3,reacquired,5
414,2070,69.0,cam3,lost_track,5
416,2080,69.333,cam3,reacquired,5
418,2090,69.667,cam3,lost_track,5
448,2240,74.667,cam3,removed,5
457,2285,76.167,cam3,new_track,6
459,2295,76.5,cam3,lost_track,6
461,2305,76.833,cam3,reacquired,6
