loop_i,video_fid,t_sec,camera_id,track_id,x1,y1,x2,y2,conf,hits,start_frame,chef_id
0,0,0.0,cam1,1,472.2,140.8,780.2,600.3,0.951,0,1,
0,0,0.0,cam2,1,518.3,67.4,835.0,690.8,0.94,0,1,
0,0,0.0,cam3,1,754.6,-0.5,976.9,428.0,0.893,0,1,
1,5,0.167,cam1,1,472.7,144.7,780.8,600.6,0.953,1,1,1
1,5,0.167,cam2,1,526.2,65.8,839.4,690.5,0.938,1,1,1
1,5,0.167,cam3,1,762.8,-0.1,978.4,427.7,0.891,1,1,1
2,10,0.333,cam1,1,473.3,150.5,782.9,600.4,0.953,2,1,1
2,10,0.333,cam2,1,540.2,63.9,843.7,690.8,0.943,2,1,1
2,10,0.333,cam3,1,749.8,0.3,977.7,426.8,0.86,2,1,1
3,15,0.5,cam1,1,473.3,155.4,791.1,601.5,0.948,3,1,1
3,15,0.5,cam2,1,547.0,63.9,845.5,691.0,0.938,3,1,1
3,15,0.5,cam3,1,754.1,-0.0,976.3,427.1,0.878,3,1,1
4,20,0.667,cam1,1,473.2,156.7,802.7,601.3,0.947,4,1,1
4,20,0.667,cam2,1,552.2,62.6,854.2,690.8,0.946,4,1,1
4,20,0.667,cam3,1,755.3,0.1,974.4,428.0,0.881,4,1,1
5,25,0.833,cam1,1,471.3,159.3,809.0,602.1,0.949,5,1,1
5,25,0.833,cam2,1,554.8,60.4,851.0,693.9,0.947,5,1,1
5,25,0.833,cam3,1,770.5,-0.1,974.7,430.2,0.906,5,1,1
6,30,1.0,cam1,1,469.5,160.2,815.3,602.7,0.947,6,1,1
6,30,1.0,cam1,2,570.0,165.2,603.7,226.9,0.43,1,6,
6,30,1.0,cam2,1,552.0,89.1,838.5,697.5,0.937,6,1,1
6,30,1.0,cam3,1,764.7,0.4,975.1,429.9,0.895,6,1,1
7,35,1.167,cam1,1,468.7,158.8,814.8,603.0,0.948,7,1,1
7,35,1.167,cam2,1,553.7,79.2,841.5,697.2,0.929,7,1,1
7,35,1.167,cam3,1,747.9,0.1,976.7,430.5,0.903,7,1,1
8,40,1.333,cam1,1,469.4,155.7,806.8,603.2,0.954,8,1,1
8,40,1.333,cam2,1,554.7,68.7,855.2,697.7,0.929,8,1,1
8,40,1.333,cam3,1,742.3,0.5,977.6,431.2,0.892,8,1,1
9,45,1.5,cam1,1,469.1,157.2,803.0,603.0,0.954,9,1,1
9,45,1.5,cam2,1,551.8,87.2,846.8,697.3,0.934,9,1,1
9,45,1.5,cam3,1,734.4,0.3,976.3,430.5,0.894,9,1,1
10,50,1.667,cam1,1,469.1,157.2,805.5,601.5,0.954,10,1,1
10,50,1.667,cam2,1,544.3,78.1,841.8,697.3,0.927,10,1,1
10,50,1.667,cam3,1,728.0,0.3,971.4,430.2,0.89,10,1,1
11,55,1.833,cam1,1,468.2,167.5,815.8,602.5,0.948,11,1,1
11,55,1.833,cam2,1,568.5,58.2,860.8,696.5,0.945,11,1,1
11,55,1.833,cam3,1,766.3,0.0,967.3,430.8,0.872,11,1,1
12,60,2.0,cam1,1,468.7,183.6,801.3,603.3,0.944,12,1,1
12,60,2.0,cam2,1,611.1,56.5,867.6,697.9,0.945,12,1,1
12,60,2.0,cam3,1,771.6,0.8,1022.0,430.5,0.903,12,1,1
13,65,2.167,cam1,1,474.1,183.1,775.0,605.6,0.95,13,1,1
13,65,2.167,cam2,1,652.9,54.0,893.2,689.9,0.938,13,1,1
13,65,2.167,cam3,1,787.1,0.4,1064.4,409.4,0.94,13,1,1
14,70,2.333,cam1,1,532.4,183.8,802.3,611.3,0.922,14,1,1
14,70,2.333,cam2,1,682.1,51.1,948.5,648.8,0.949,14,1,1
14,70,2.333,cam3,1,787.3,1.0,1066.7,366.5,0.927,14,1,1
15,75,2.5,cam1,1,559.8,192.1,818.5,604.0,0.93,15,1,1
15,75,2.5,cam2,1,683.9,51.1,994.2,616.8,0.957,15,1,1
15,75,2.5,cam3,1,788.8,0.6,1090.9,356.9,0.935,15,1,1
16,80,2.667,cam1,1,562.0,225.5,830.5,610.8,0.92,16,1,1
16,80,2.667,cam2,1,685.6,54.1,1036.0,613.3,0.955,16,1,1
