loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
0,0.0,1570.5,1,1,0,10,0,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0
50,8.33,1647.4,1,1,0,11,0,1,1,0,0,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0
100,16.67,1649.7,1,1,0,14,0,1,5,0,0,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0
150,25.0,1667.7,1,1,0,9,0,1,0,0,0,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
200,33.33,1670.2,1,1,0,11,0,1,2,0,0,2,1,4,2,2,2,1,1,2,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
250,41.67,1677.9,1,1,0,12,0,1,3,0,0,2,2,4,3,2,2,1,2,2,1,2,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0
300,50.0,1027.5,1,1,0,10,0,1,0,0,0,2,2,4,3,2,2,1,2,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
350,58.33,1015.9,1,1,0,12,0,1,1,0,0,2,2,5,3,2,3,1,3,2,1,1,2,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0
400,66.67,1037.4,1,1,0,11,0,1,2,0,0,2,2,5,3,2,3,1,3,2,1,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
450,75.0,1035.1,1,1,0,11,0,1,2,0,0,2,2,5,4,2,4,1,4,2,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0
500,83.33,1033.7,1,1,0,11,0,1,1,0,0,2,2,6,4,2,4,1,5,2,1,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
