loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,cam1,new_track,1
0,0,0.0,cam2,new_track,1
0,0,0.0,cam3,new_track,1
0,0,0.0,cam4,new_track,1
0,0,0.0,cam5,new_track,1
0,0,0.0,cam6,new_track,1
0,0,0.0,cam7,new_track,1
0,0,0.0,cam8,new_track,1
0,0,0.0,cam9,new_track,1
0,0,0.0,cam9,new_track,2
6,30,1.0,cam1,new_track,2
7,35,1.167,cam1,lost_track,2
10,50,1.667,cam9,removed,-1
24,120,4.0,cam9,removed,-1
36,180,6.0,cam9,lost_track,2
37,185,6.167,cam1,removed,2
44,220,7.333,cam9,reacquired,2
44,220,7.333,cam9,removed,-1
46,230,7.667,cam9,lost_track,2
47,235,7.833,cam4,removed,-1
49,245,8.167,cam4,new_track,2
52,260,8.667,cam4,lost_track,2
53,265,8.833,cam4,reacquired,2
55,275,9.167,cam4,lost_track,2
56,280,9.333,cam4,removed,-1
57,285,9.5,cam9,reacquired,2
63,315,10.5,cam5,removed,-1
64,320,10.667,cam4,reacquired,2
65,325,10.833,cam5,new_track,2
67,335,11.167,cam3,removed,-1
69,345,11.5,cam9,lost_track,2
70,350,11.667,cam9,reacquired,2
71,355,11.833,cam3,new_track,2
73,365,12.167,cam9,lost_track,2
75,375,12.5,cam5,lost_track,2
76,380,12.667,cam4,lost_track,2
82,410,13.667,cam3,lost_track,2
92,460,15.333,cam6,new_track,2
93,465,15.5,cam3,removed,-1
93,465,15.5,cam6,removed,-1
94,470,15.667,cam6,lost_track,2
103,515,17.167,cam9,removed,2
105,525,17.5,cam5,removed,2
106,530,17.667,cam4,removed,2
112,560,18.667,cam3,removed,2
118,590,19.667,cam1,removed,-1
124,620,20.667,cam6,removed,2
127,635,21.167,cam7,lost_track,1
128,640,21.333,cam7,reacquired,1
129,645,21.5,cam7,lost_track,1
131,655,21.833,cam7,reacquired,1
131,655,21.833,cam7,removed,-1
155,775,25.833,cam6,removed,-1
158,790,26.333,cam9,removed,-1
163,815,27.167,cam3,new_track,3
164,820,27.333,cam3,lost_track,3
165,825,27.5,cam8,lost_track,1
166,830,27.667,cam8,reacquired,1
171,855,28.5,cam6,removed,-1
181,905,30.167,cam3,reacquired,3
181,905,30.167,cam3,lost_track,1
187,935,31.167,cam3,new_track,4
189,945,31.5,cam3,lost_track,4
191,955,31.833,cam3,reacquired,4
192,960,32.0,cam3,lost_track,4
196,980,32.667,cam7,lost_track,1
197,985,32.833,cam7,reacquired,1
198,990,33.0,cam3,reacquired,1
