loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
0,0.0,1323.0,1,1,0,11,0,1,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
50,8.33,1360.0,1,1,0,12,0,1,2,0,0,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0
100,16.67,1388.4,1,1,0,16,0,1,6,0,0,1,1,2,3,1,3,1,3,2,1,1,1,3,1,3,1,3,2,0,0,1,0,0,0,0,1,0
150,25.0,1372.4,1,1,0,11,0,1,1,0,0,1,1,2,3,1,4,1,3,2,1,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,1,0
200,33.33,1378.5,1,1,0,11,0,1,1,0,0,1,1,2,3,1,5,1,3,2,1,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0
250,41.67,1385.0,1,1,0,12,0,1,2,0,0,1,2,2,3,2,6,1,3,2,1,2,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0
300,50.0,1387.6,1,1,0,12,0,1,2,0,0,1,2,2,3,2,6,2,4,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0
350,58.33,1388.5,1,1,0,13,0,1,1,0,0,1,2,2,3,2,9,2,4,2,1,1,1,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0
400,66.67,1394.7,1,1,0,13,0,1,0,0,0,1,2,2,3,2,10,2,4,2,1,1,1,1,1,4,1,2,1,0,0,0,0,1,0,0,0,0
450,75.0,1395.2,1,1,0,13,0,1,0,0,0,1,2,2,3,2,11,2,4,2,1,1,1,1,1,4,1,2,1,0,0,0,0,0,1,0,0,0
500,83.33,1392.7,1,1,0,15,0,1,1,0,0,1,2,3,3,2,12,2,4,2,1,1,2,1,1,5,1,2,1,0,0,0,0,0,0,0,0,0
