loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,cam1,new_track,1
0,0,0.0,cam2,new_track,1
0,0,0.0,cam3,new_track,1
0,0,0.0,cam4,new_track,1
0,0,0.0,cam5,new_track,1
0,0,0.0,cam6,new_track,1
0,0,0.0,cam7,new_track,1
0,0,0.0,cam8,new_track,1
0,0,0.0,cam8,new_track,2
0,0,0.0,cam9,new_track,1
0,0,0.0,cam9,new_track,2
10,50,1.667,cam2,removed,-1
19,95,3.167,cam6,lost_track,1
20,100,3.333,cam6,reacquired,1
25,125,4.167,cam8,removed,-1
28,140,4.667,cam8,removed,-1
29,145,4.833,cam2,removed,-1
32,160,5.333,cam8,new_track,3
33,165,5.5,cam8,lost_track,1
34,170,5.667,cam8,reacquired,1
35,175,5.833,cam9,lost_track,2
36,180,6.0,cam8,lost_track,3
37,185,6.167,cam8,reacquired,3
40,200,6.667,cam8,lost_track,3
40,200,6.667,cam8,removed,-1
41,205,6.833,cam8,reacquired,3
42,210,7.0,cam8,lost_track,1
42,210,7.0,cam8,removed,-1
43,215,7.167,cam5,removed,-1
43,215,7.167,cam8,reacquired,1
44,220,7.333,cam8,lost_track,1
44,220,7.333,cam8,removed,-1
44,220,7.333,cam9,reacquired,2
45,225,7.5,cam2,removed,-1
45,225,7.5,cam8,reacquired,1
45,225,7.5,cam9,lost_track,2
47,235,7.833,cam8,lost_track,1
48,240,8.0,cam8,reacquired,1
48,240,8.0,cam8,lost_track,3
49,245,8.167,cam8,reacquired,3
50,250,8.333,cam8,lost_track,3
51,255,8.5,cam8,reacquired,3
52,260,8.667,cam8,lost_track,3
53,265,8.833,cam3,new_track,2
54,270,9.0,cam4,removed,-1
54,270,9.0,cam8,reacquired,3
55,275,9.167,cam8,lost_track,3
56,280,9.333,cam8,reacquired,3
56,280,9.333,cam8,lost_track,1
57,285,9.5,cam8,reacquired,1
57,285,9.5,cam8,lost_track,3
58,290,9.667,cam3,removed,-1
60,300,10.0,cam3,lost_track,2
60,300,10.0,cam8,reacquired,3
61,305,10.167,cam9,reacquired,2
62,310,10.333,cam3,reacquired,2
62,310,10.333,cam4,removed,-1
62,310,10.333,cam8,lost_track,3
62,310,10.333,cam8,removed,-1
63,315,10.5,cam3,lost_track,2
63,315,10.5,cam8,reacquired,3
64,320,10.667,cam3,reacquired,2
65,325,10.833,cam8,lost_track,3
66,330,11.0,cam4,new_track,2
66,330,11.0,cam8,reacquired,3
66,330,11.0,cam8,lost_track,1
68,340,11.333,cam8,reacquired,1
