seq,fid,cam,tid,layer,gt_id,want,chef,matched,actual_top,n_pending,want_pending,want_score,want_dt,new_choice
seq_004,0,camera_1,0,L0_first,1,,1,False,,0,False,,,
seq_004,0,camera_1,1,L0_first,2,,2,False,,0,False,,,
seq_004,0,camera_2,0,L0_first,5,,3,False,,0,False,,,
seq_004,0,camera_2,1,L0_first,4,,4,False,,0,False,,,
seq_004,0,camera_3,0,L3_not_top1,5,3,4,True,3.1131,0,False,,,
seq_004,0,camera_3,1,L0_first,3,,4,True,3.1131,0,False,,,
seq_004,0,camera_3,2,L1_ghost,,,4,True,,0,False,,,
seq_004,0,camera_3,3,L0_first,7,,4,True,3.1131,0,False,,,
seq_004,0,camera_3,4,L0_first,6,,4,True,3.1131,0,False,,,
seq_004,0,camera_3,5,L1_ghost,,,4,True,,0,False,,,
seq_004,0,camera_4,0,L0_first,8,,4,True,3.1131,0,False,,,
seq_004,35,camera_3,6,OK,4,4,4,True,3.8063,1,True,-2.35,1.0,
seq_004,85,camera_3,7,L2_not_in_candidates,2,2,4,True,3.8063,2,False,,,
seq_004,100,camera_1,2,L2_not_in_candidates,3,4,5,False,,0,False,,,
seq_004,145,camera_3,8,L1_ghost,,,4,True,,1,False,,,
seq_004,205,camera_3,9,L1_ghost,,,4,True,,2,False,,,
seq_004,255,camera_2,2,OK,2,4,4,True,3.8063,0,False,,,
seq_004,275,camera_3,10,OK,7,4,4,True,3.8063,4,True,-0.269,3.833,
seq_004,345,camera_3,11,L1_ghost,,,4,True,,3,False,,,
seq_004,455,camera_1,3,L4_below_threshold,3,5,6,False,-3.7591,0,False,,,
seq_004,465,camera_3,12,L1_ghost,,,4,True,,2,False,,,
seq_004,485,camera_2,3,L2_not_in_candidates,3,6,4,True,3.8063,0,False,,,
seq_004,495,camera_5,0,OK,3,4,4,True,3.8063,0,False,,,
seq_004,510,camera_3,13,OK,6,4,4,True,3.8063,1,True,-1.691,1.333,
seq_004,560,camera_1,4,L2_not_in_candidates,5,4,7,False,-5.5286,1,False,,,
seq_004,565,camera_2,4,OK,6,4,4,True,3.8063,0,False,,,
seq_004,570,camera_1,5,L1_ghost,,,8,False,,1,False,,,
seq_004,570,camera_1,6,L1_ghost,,,9,False,,1,False,,,
seq_004,575,camera_5,1,OK,2,4,4,True,3.8063,0,False,,,
