seq,fid,cam,tid,layer,want,actual,actual_outcome,E1_choice,E1_outcome,E1_want_score,E2_choice,E2_outcome,E2_want_score,E3_choice,E3_outcome,E3_want_score
seq_004,0,camera_1,0,L0_first,,,開新,,開新,,,開新,,,開新,
seq_004,0,camera_1,1,L0_first,,,開新,,開新,,,開新,,,開新,
seq_004,0,camera_2,0,L0_first,,,開新,,開新,,,開新,,,開新,
seq_004,0,camera_2,1,L0_first,,,開新,,開新,,,開新,,,開新,
seq_004,0,camera_3,0,L3_not_top1,3,4,錯,4,錯,,4,錯,,4,錯,
seq_004,0,camera_3,1,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_004,0,camera_3,2,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,0,camera_3,3,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_004,0,camera_3,4,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_004,0,camera_3,5,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,0,camera_4,0,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_004,35,camera_3,6,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,85,camera_3,7,L2_not_in_candidates,2,4,錯,4,錯,,4,錯,,4,錯,
seq_004,100,camera_1,2,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.418,,開新,-1.224
seq_004,145,camera_3,8,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,205,camera_3,9,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,255,camera_2,2,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,275,camera_3,10,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,345,camera_3,11,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,455,camera_1,3,L4_below_threshold,5,,開新,,開新,-2.565,,開新,-3.759,,開新,-2.565
seq_004,465,camera_3,12,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,485,camera_2,3,L2_not_in_candidates,6,4,錯,4,錯,,4,錯,,4,錯,
seq_004,495,camera_5,0,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,510,camera_3,13,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,560,camera_1,4,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.427,,開新,-1.233
seq_004,565,camera_2,4,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,570,camera_1,5,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,570,camera_1,6,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,575,camera_5,1,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,580,camera_3,14,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,600,camera_5,2,L2_not_in_candidates,7,4,錯,4,錯,,4,錯,,4,錯,
seq_004,615,camera_3,15,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,620,camera_2,5,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,635,camera_5,3,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,640,camera_1,7,L1_ghost,,,開新,,開新,,7,錯,,7,錯,
seq_004,640,camera_2,6,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,645,camera_1,8,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.454,7,錯,-1.26
seq_004,645,camera_2,7,L2_not_in_candidates,11,4,錯,4,錯,,4,錯,,4,錯,
seq_004,660,camera_2,8,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,670,camera_2,9,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,720,camera_2,10,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,735,camera_3,16,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,740,camera_1,9,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,770,camera_1,10,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,780,camera_2,11,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_004,790,camera_5,4,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,800,camera_2,12,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,825,camera_1,11,L2_not_in_candidates,4,,開新,,開新,,8,錯,-2.422,8,錯,-1.228
seq_004,835,camera_5,5,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,860,camera_2,13,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,875,camera_2,14,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,885,camera_5,6,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,890,camera_5,7,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,960,camera_2,15,L2_not_in_candidates,14,4,錯,4,錯,,4,錯,,4,錯,
seq_004,960,camera_2,16,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,965,camera_6,0,OK,4,4,對,4,對,3.054,4,對,1.86,4,對,3.054
seq_004,970,camera_2,17,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,995,camera_6,1,OK,4,4,對,4,對,3.054,4,對,1.86,4,對,3.054
seq_004,1030,camera_1,12,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.427,,開新,-1.233
seq_004,1040,camera_6,2,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1055,camera_6,3,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1075,camera_4,1,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,1080,camera_2,18,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,1100,camera_3,17,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,1105,camera_2,19,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_004,1115,camera_1,13,L2_not_in_candidates,4,,開新,,開新,,15,錯,-2.418,15,錯,-1.224
seq_004,1125,camera_2,20,OK,4,4,對,4,對,4.307,4,對,3.547,4,對,4.74
seq_004,1145,camera_6,4,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,1155,camera_1,14,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,1160,camera_1,15,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.418,,開新,-1.224
seq_004,1165,camera_4,2,L2_not_in_candidates,15,4,錯,4,錯,,4,錯,-2.418,4,錯,-1.224
seq_004,1175,camera_3,18,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1185,camera_3,19,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1220,camera_3,20,L2_not_in_candidates,18,4,錯,4,錯,,4,錯,,4,錯,
seq_004,1220,camera_4,3,OK,4,4,對,4,對,3.901,4,對,3.173,4,對,4.366
seq_004,1225,camera_1,16,L1_ghost,,,開新,,開新,,14,錯,,14,錯,
seq_004,1280,camera_1,17,L1_ghost,,,開新,,開新,,,開新,,19,錯,
seq_004,1280,camera_3,21,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_004,1285,camera_5,8,L2_not_in_candidates,16,4,錯,4,錯,,4,錯,,4,錯,
seq_004,1295,camera_1,18,L1_ghost,,,開新,,開新,,,開新,,19,錯,
seq_004,1300,camera_4,4,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_004,1300,camera_5,9,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1305,camera_7,0,L2_not_in_candidates,4,,開新,,開新,,,開新,1.279,4,對,2.473
seq_004,1315,camera_3,22,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1330,camera_5,10,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1335,camera_4,5,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1375,camera_3,23,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1400,camera_3,24,L2_not_in_candidates,1,4,錯,4,錯,,4,錯,,4,錯,
seq_004,1440,camera_2,21,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1505,camera_5,11,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_004,1505,camera_5,12,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1510,camera_1,19,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_004,1510,camera_4,6,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1515,camera_2,22,OK,4,4,對,4,對,3.391,4,對,2.197,4,對,3.391
seq_004,1565,camera_5,13,OK,4,4,對,4,對,3.614,4,對,4.098,4,對,5.291
seq_004,1605,camera_4,7,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_004,1625,camera_3,25,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_004,1655,camera_2,23,OK,4,4,對,4,對,3.391,4,對,2.197,4,對,3.391
seq_004,1670,camera_5,14,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_004,1670,camera_6,5,OK,4,4,對,4,對,3.054,4,對,1.86,4,對,3.054
seq_004,1680,camera_6,6,L2_not_in_candidates,22,4,錯,4,錯,,4,錯,,4,錯,
seq_004,1685,camera_6,7,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_004,1695,camera_1,20,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_004,1720,camera_6,8,L1_ghost,,4,錯,,開新,,,開新,,,開新,
