seq,fid,cam,tid,layer,want,actual,actual_outcome,E1_choice,E1_outcome,E1_want_score,E2_choice,E2_outcome,E2_want_score,E3_choice,E3_outcome,E3_want_score
seq_000,0,camera_1,0,L0_first,,,開新,,開新,,,開新,,,開新,
seq_000,0,camera_1,1,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,0,camera_2,0,L0_first,,,開新,,開新,,,開新,,,開新,
seq_000,0,camera_2,1,L0_first,,,開新,,開新,,,開新,,,開新,
seq_000,0,camera_3,0,L2_not_in_candidates,1,4,錯,4,錯,,4,錯,,4,錯,
seq_000,0,camera_3,1,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_000,0,camera_3,2,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_000,0,camera_3,3,L3_not_top1,3,4,錯,4,錯,,4,錯,,4,錯,
seq_000,0,camera_4,0,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_000,0,camera_5,0,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,0,camera_5,1,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,0,camera_6,0,L0_first,,4,錯,4,錯,,4,錯,,4,錯,
seq_000,20,camera_1,2,L2_not_in_candidates,4,,開新,,開新,,,開新,,,開新,
seq_000,20,camera_2,2,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,45,camera_6,1,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,55,camera_5,2,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,90,camera_5,3,L2_not_in_candidates,5,4,錯,4,錯,,4,錯,,4,錯,
seq_000,110,camera_5,4,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,115,camera_5,5,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,160,camera_4,1,OK,4,4,對,4,對,3.901,4,對,2.708,4,對,3.901
seq_000,170,camera_1,3,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,2,錯,-1.219
seq_000,170,camera_7,0,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_000,180,camera_2,3,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,265,camera_3,4,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,270,camera_6,2,OK,4,4,對,4,對,3.208,4,對,2.014,4,對,3.208
seq_000,335,camera_5,6,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,360,camera_2,4,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,380,camera_6,3,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,385,camera_7,1,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.418,,開新,-1.224
seq_000,390,camera_3,5,L2_not_in_candidates,6,4,錯,4,錯,,4,錯,,4,錯,
seq_000,430,camera_6,4,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,470,camera_5,7,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,475,camera_6,5,OK,4,4,對,4,對,3.391,4,對,2.197,4,對,3.391
seq_000,515,camera_5,8,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,570,camera_6,6,L3_not_top1,8,4,錯,4,錯,,4,錯,-2.585,4,錯,-1.391
seq_000,600,camera_6,7,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,620,camera_7,2,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.357,,開新,-1.164
seq_000,625,camera_5,9,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,655,camera_6,8,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,665,camera_7,3,L2_not_in_candidates,4,,開新,,開新,,,開新,1.279,4,對,2.473
seq_000,730,camera_5,10,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,765,camera_5,11,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,770,camera_7,4,L4_below_threshold,7,,開新,,開新,-0.727,,開新,-1.921,,開新,-0.727
seq_000,855,camera_3,6,OK,4,4,對,4,對,3.391,4,對,2.197,4,對,3.391
seq_000,870,camera_4,2,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,925,camera_2,5,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,925,camera_6,9,L2_not_in_candidates,11,4,錯,4,錯,,4,錯,-2.442,4,錯,-1.248
seq_000,930,camera_5,12,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,935,camera_6,10,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,950,camera_2,6,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,955,camera_1,4,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,955,camera_7,5,L2_not_in_candidates,10,,開新,,開新,,,開新,-2.1,,開新,-0.906
seq_000,965,camera_6,11,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1030,camera_6,12,OK,4,4,對,4,對,3.391,4,對,2.197,4,對,3.391
seq_000,1035,camera_6,13,L2_not_in_candidates,9,4,錯,4,錯,,4,錯,,4,錯,
seq_000,1045,camera_5,13,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1045,camera_6,14,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,1060,camera_4,3,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,1095,camera_7,6,L2_not_in_candidates,4,,開新,,開新,,,開新,-0.091,9,錯,1.103
seq_000,1100,camera_6,15,L2_not_in_candidates,13,4,錯,4,錯,,4,錯,,4,錯,
seq_000,1115,camera_5,14,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1115,camera_6,16,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,1120,camera_6,17,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,1125,camera_4,4,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1220,camera_5,15,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1230,camera_6,18,OK,4,4,對,4,對,3.614,4,對,2.42,4,對,3.614
seq_000,1235,camera_2,7,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1265,camera_1,5,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_000,1265,camera_1,6,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,1270,camera_3,7,L2_not_in_candidates,15,4,錯,4,錯,,4,錯,,4,錯,
seq_000,1290,camera_5,16,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1310,camera_5,17,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1320,camera_2,8,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,1335,camera_6,19,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1360,camera_4,5,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,1370,camera_7,7,L2_not_in_candidates,4,,開新,,開新,,,開新,1.479,4,對,2.672
seq_000,1410,camera_5,18,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1430,camera_2,9,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1435,camera_5,19,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1455,camera_6,20,L2_not_in_candidates,14,4,錯,4,錯,,4,錯,,4,錯,
seq_000,1480,camera_4,6,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,1500,camera_6,21,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1505,camera_5,20,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1520,camera_5,21,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,1525,camera_4,7,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,1585,camera_5,22,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1595,camera_5,23,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,1710,camera_5,24,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1715,camera_6,22,L2_not_in_candidates,17,4,錯,4,錯,,4,錯,,4,錯,
seq_000,1730,camera_6,23,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,1825,camera_2,10,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1840,camera_1,7,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.642,,開新,-1.448
seq_000,1840,camera_3,8,L2_not_in_candidates,18,4,錯,4,錯,,4,錯,,4,錯,
seq_000,1915,camera_7,8,L2_not_in_candidates,4,,開新,,開新,,,開新,1.385,4,對,2.579
seq_000,1975,camera_2,11,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,1980,camera_2,12,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2035,camera_1,8,L2_not_in_candidates,4,,開新,,開新,,18,錯,-2.427,18,錯,-1.233
seq_000,2050,camera_5,25,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2065,camera_1,9,L1_ghost,,,開新,,開新,,,開新,,18,錯,
seq_000,2070,camera_5,26,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2100,camera_4,8,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,2100,camera_5,27,L2_not_in_candidates,20,4,錯,4,錯,,4,錯,,4,錯,
seq_000,2145,camera_5,28,L3_not_top1,19,4,錯,4,錯,,4,錯,-1.108,4,錯,0.086
seq_000,2155,camera_2,13,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,2200,camera_4,9,OK,4,4,對,4,對,4.307,4,對,3.113,4,對,4.307
seq_000,2210,camera_5,29,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2215,camera_5,30,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2240,camera_5,31,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2250,camera_6,24,OK,4,4,對,4,對,2.921,4,對,1.727,4,對,2.921
seq_000,2255,camera_2,14,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2260,camera_5,32,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2265,camera_5,33,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,2295,camera_5,34,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,2300,camera_4,10,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2325,camera_5,35,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2330,camera_5,36,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2330,camera_6,25,L1_ghost,,,開新,,開新,,,開新,,,開新,
seq_000,2355,camera_5,37,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2360,camera_5,38,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,2380,camera_7,9,L2_not_in_candidates,4,,開新,,開新,,,開新,1.279,22,錯,2.473
seq_000,2395,camera_2,15,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2430,camera_5,39,L1_ghost,,4,錯,,開新,,,開新,,4,錯,
seq_000,2440,camera_5,40,L1_ghost,,4,錯,,開新,,4,錯,,4,錯,
seq_000,2465,camera_4,11,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2515,camera_2,16,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2555,camera_5,41,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2595,camera_5,42,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2620,camera_6,26,OK,4,4,對,4,對,2.921,4,對,1.727,4,對,2.921
seq_000,2645,camera_4,12,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2685,camera_2,17,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2730,camera_6,27,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2760,camera_7,10,L2_not_in_candidates,4,,開新,,開新,,,開新,-2.413,,開新,-1.219
seq_000,2775,camera_5,43,OK,4,4,對,4,對,5.0,4,對,3.806,4,對,5.0
seq_000,2820,camera_6,28,L2_not_in_candidates,23,4,錯,4,錯,,4,錯,,4,錯,
seq_000,2840,camera_6,29,L1_ghost,,4,錯,,開新,,,開新,,,開新,
seq_000,2855,camera_6,30,L1_ghost,,4,錯,,開新,,,開新,,,開新,
