loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,0
0,0,0.0,camera_2,new_track,0
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_2,new_track,2
0,0,0.0,camera_3,new_track,0
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
0,0,0.0,camera_3,new_track,4
2,10,0.333,camera_2,lost_track,1
2,10,0.333,camera_4,new_track,0
10,50,1.667,camera_3,new_track,5
13,65,2.167,camera_1,new_track,1
13,65,2.167,camera_2,new_track,3
15,75,2.5,camera_3,new_track,6
19,95,3.167,camera_3,lost_track,4
20,100,3.333,camera_3,new_track,7
20,100,3.333,camera_3,reacquired,4
22,110,3.667,camera_2,lost_track,3
22,110,3.667,camera_3,lost_track,5
23,115,3.833,camera_3,lost_track,4
24,120,4.0,camera_3,reacquired,4
24,120,4.0,camera_3,lost_track,7
31,155,5.167,camera_3,lost_track,2
32,160,5.333,camera_2,lost_track,2
32,160,5.333,camera_2,removed,1
40,200,6.667,camera_3,new_track,8
43,215,7.167,camera_3,lost_track,8
44,220,7.333,camera_3,reacquired,8
47,235,7.833,camera_3,lost_track,8
49,245,8.167,camera_3,reacquired,8
52,260,8.667,camera_2,removed,3
52,260,8.667,camera_3,removed,5
54,270,9.0,camera_3,removed,7
55,275,9.167,camera_3,lost_track,8
56,280,9.333,camera_1,lost_track,1
57,285,9.5,camera_2,new_track,4
57,285,9.5,camera_3,lost_track,0
58,290,9.667,camera_1,new_track,2
60,300,10.0,camera_3,reacquired,0
61,305,10.167,camera_3,removed,2
62,310,10.333,camera_2,removed,2
63,315,10.5,camera_3,new_track,9
66,330,11.0,camera_3,reacquired,8
67,335,11.167,camera_3,lost_track,9
74,370,12.333,camera_1,new_track,3
75,375,12.5,camera_1,lost_track,2
75,375,12.5,camera_2,lost_track,4
79,395,13.167,camera_2,new_track,5
79,395,13.167,camera_3,new_track,10
79,395,13.167,camera_3,new_track,11
80,400,13.333,camera_3,lost_track,0
81,405,13.5,camera_3,new_track,12
82,410,13.667,camera_3,lost_track,11
84,420,14.0,camera_2,new_track,6
84,420,14.0,camera_3,reacquired,0
86,430,14.333,camera_1,removed,1
86,430,14.333,camera_3,reacquired,9
87,435,14.5,camera_3,lost_track,8
87,435,14.5,camera_3,lost_track,9
88,440,14.667,camera_3,new_track,13
92,460,15.333,camera_3,lost_track,13
93,465,15.5,camera_3,new_track,14
93,465,15.5,camera_3,reacquired,13
94,470,15.667,camera_3,reacquired,11
94,470,15.667,camera_3,lost_track,10
94,470,15.667,camera_3,lost_track,14
96,480,16.0,camera_1,lost_track,0
96,480,16.0,camera_3,reacquired,10
97,485,16.167,camera_2,new_track,7
97,485,16.167,camera_3,lost_track,10
97,485,16.167,camera_3,lost_track,11
100,500,16.667,camera_3,reacquired,14
100,500,16.667,camera_3,lost_track,13
100,500,16.667,camera_4,lost_track,0
102,510,17.0,camera_3,reacquired,13
102,510,17.0,camera_3,lost_track,14
103,515,17.167,camera_3,new_track,15
105,525,17.5,camera_1,removed,2
105,525,17.5,camera_2,removed,4
105,525,17.5,camera_3,lost_track,13
107,535,17.833,camera_1,new_track,4
107,535,17.833,camera_2,new_track,8
109,545,18.167,camera_1,reacquired,0
110,550,18.333,camera_3,lost_track,15
115,575,19.167,camera_3,reacquired,11
116,580,19.333,camera_1,new_track,5
116,580,19.333,camera_3,lost_track,11
117,585,19.5,camera_3,reacquired,11
117,585,19.5,camera_3,removed,8
117,585,19.5,camera_3,removed,9
121,605,20.167,camera_3,lost_track,4
122,610,20.333,camera_1,lost_track,5
124,620,20.667,camera_1,new_track,6
124,620,20.667,camera_3,new_track,16
127,635,21.167,camera_3,removed,10
128,640,21.333,camera_1,reacquired,5
128,640,21.333,camera_2,new_track,9
128,640,21.333,camera_3,lost_track,16
129,645,21.5,camera_1,new_track,7
130,650,21.667,camera_4,removed,0
131,655,21.833,camera_3,new_track,17
132,660,22.0,camera_1,lost_track,4
132,660,22.0,camera_3,lost_track,11
132,660,22.0,camera_3,removed,14
132,660,22.0,camera_5,new_track,0
134,670,22.333,camera_3,lost_track,6
135,675,22.5,camera_3,reacquired,6
135,675,22.5,camera_3,lost_track,3
135,675,22.5,camera_3,removed,13
136,680,22.667,camera_1,lost_track,6
136,680,22.667,camera_3,new_track,18
136,680,22.667,camera_3,reacquired,11
136,680,22.667,camera_3,lost_track,12
137,685,22.833,camera_2,lost_track,6
138,690,23.0,camera_3,lost_track,17
138,690,23.0,camera_4,new_track,1
139,695,23.167,camera_1,lost_track,7
140,700,23.333,camera_3,removed,15
144,720,24.0,camera_2,lost_track,8
144,720,24.0,camera_3,new_track,19
145,725,24.167,camera_3,lost_track,11
145,725,24.167,camera_3,lost_track,19
148,740,24.667,camera_1,reacquired,6
149,745,24.833,camera_3,reacquired,12
149,745,24.833,camera_3,lost_track,0
150,750,25.0,camera_1,lost_track,5
150,750,25.0,camera_3,reacquired,0
150,750,25.0,camera_3,lost_track,12
151,755,25.167,camera_3,removed,4
152,760,25.333,camera_3,lost_track,6
152,760,25.333,camera_5,new_track,1
154,770,25.667,camera_1,reacquired,4
154,770,25.667,camera_1,reacquired,5
154,770,25.667,camera_3,reacquired,12
154,770,25.667,camera_3,lost_track,1
155,775,25.833,camera_1,lost_track,5
155,775,25.833,camera_5,new_track,2
156,780,26.0,camera_1,lost_track,0
156,780,26.0,camera_3,reacquired,6
156,780,26.0,camera_3,lost_track,0
156,780,26.0,camera_5,lost_track,2
157,785,26.167,camera_1,reacquired,5
157,785,26.167,camera_1,lost_track,6
158,790,26.333,camera_2,lost_track,9
158,790,26.333,camera_3,removed,16
159,795,26.5,camera_3,lost_track,12
161,805,26.833,camera_2,new_track,10
162,810,27.0,camera_5,new_track,3
164,820,27.333,camera_2,new_track,11
164,820,27.333,camera_2,lost_track,10
165,825,27.5,camera_1,new_track,8
165,825,27.5,camera_2,lost_track,11
165,825,27.5,camera_3,removed,3
165,825,27.5,camera_5,new_track,4
166,830,27.667,camera_2,lost_track,7
167,835,27.833,camera_1,lost_track,8
167,835,27.833,camera_2,removed,6
167,835,27.833,camera_5,lost_track,4
168,840,28.0,camera_3,removed,17
168,840,28.0,camera_5,new_track,5
169,845,28.167,camera_1,removed,7
169,845,28.167,camera_5,new_track,6
170,850,28.333,camera_3,new_track,20
170,850,28.333,camera_3,lost_track,18
171,855,28.5,camera_1,reacquired,8
171,855,28.5,camera_2,reacquired,7
171,855,28.5,camera_2,lost_track,0
171,855,28.5,camera_5,reacquired,4
171,855,28.5,camera_5,lost_track,1
172,860,28.667,camera_1,lost_track,5
172,860,28.667,camera_1,lost_track,8
172,860,28.667,camera_5,new_track,7
173,865,28.833,camera_2,lost_track,7
173,865,28.833,camera_5,reacquired,1
173,865,28.833,camera_5,lost_track,4
173,865,28.833,camera_5,lost_track,7
174,870,29.0,camera_2,removed,8
174,870,29.0,camera_5,lost_track,6
175,875,29.167,camera_3,removed,11
175,875,29.167,camera_3,removed,19
175,875,29.167,camera_5,reacquired,4
178,890,29.667,camera_5,reacquired,6
179,895,29.833,camera_1,lost_track,4
179,895,29.833,camera_5,lost_track,3
180,900,30.0,camera_5,lost_track,4
182,910,30.333,camera_2,new_track,12
182,910,30.333,camera_5,reacquired,4
184,920,30.667,camera_3,removed,1
184,920,30.667,camera_5,lost_track,0
186,930,31.0,camera_1,removed,0
186,930,31.0,camera_3,removed,0
186,930,31.0,camera_5,lost_track,1
186,930,31.0,camera_5,removed,2
187,935,31.167,camera_1,removed,6
187,935,31.167,camera_6,new_track,0
188,940,31.333,camera_2,lost_track,5
188,940,31.333,camera_2,removed,9
189,945,31.5,camera_3,removed,12
191,955,31.833,camera_5,new_track,8
192,960,32.0,camera_4,new_track,2
194,970,32.333,camera_2,removed,10
195,975,32.5,camera_2,removed,11
195,975,32.5,camera_4,lost_track,2
195,975,32.5,camera_6,new_track,1
196,980,32.667,camera_1,lost_track,3
196,980,32.667,camera_5,lost_track,4
196,980,32.667,camera_6,new_track,2
199,995,33.167,camera_2,lost_track,12
199,995,33.167,camera_6,new_track,3
200,1000,33.333,camera_3,removed,18
200,1000,33.333,camera_5,new_track,9
201,1005,33.5,camera_2,removed,0
201,1005,33.5,camera_5,new_track,10
202,1010,33.667,camera_1,removed,5
202,1010,33.667,camera_1,removed,8
203,1015,33.833,camera_2,removed,7
203,1015,33.833,camera_4,new_track,3
203,1015,33.833,camera_5,lost_track,8
203,1015,33.833,camera_5,removed,7
204,1020,34.0,camera_3,lost_track,20
204,1020,34.0,camera_5,lost_track,10
204,1020,34.0,camera_6,lost_track,0
204,1020,34.0,camera_6,lost_track,3
204,1020,34.0,camera_7,new_track,0
205,1025,34.167,camera_5,reacquired,10
206,1030,34.333,camera_5,lost_track,10
206,1030,34.333,camera_6,new_track,4
207,1035,34.5,camera_5,new_track,11
207,1035,34.5,camera_5,reacquired,10
208,1040,34.667,camera_5,lost_track,6
208,1040,34.667,camera_6,lost_track,1
209,1045,34.833,camera_1,removed,4
209,1045,34.833,camera_5,reacquired,8
209,1045,34.833,camera_5,removed,3
210,1050,35.0,camera_6,reacquired,3
211,1055,35.167,camera_5,reacquired,6
211,1055,35.167,camera_7,new_track,1
212,1060,35.333,camera_4,lost_track,1
212,1060,35.333,camera_5,lost_track,5
212,1060,35.333,camera_5,lost_track,8
213,1065,35.5,camera_5,reacquired,5
214,1070,35.667,camera_5,lost_track,10
214,1070,35.667,camera_5,lost_track,11
214,1070,35.667,camera_5,removed,0
214,1070,35.667,camera_6,lost_track,3
215,1075,35.833,camera_5,reacquired,10
216,1080,36.0,camera_5,removed,1
217,1085,36.167,camera_5,new_track,12
218,1090,36.333,camera_2,removed,5
218,1090,36.333,camera_5,lost_track,10
218,1090,36.333,camera_6,lost_track,4
218,1090,36.333,camera_7,new_track,2
220,1100,36.667,camera_5,reacquired,10
220,1100,36.667,camera_5,lost_track,5
220,1100,36.667,camera_5,lost_track,12
221,1105,36.833,camera_5,new_track,13
221,1105,36.833,camera_5,lost_track,10
221,1105,36.833,camera_6,lost_track,2
225,1125,37.5,camera_4,removed,2
226,1130,37.667,camera_1,removed,3
226,1130,37.667,camera_4,lost_track,3
226,1130,37.667,camera_5,new_track,14
226,1130,37.667,camera_5,removed,4
227,1135,37.833,camera_7,lost_track,1
228,1140,38.0,camera_7,reacquired,1
229,1145,38.167,camera_2,removed,12
232,1160,38.667,camera_5,reacquired,8
233,1165,38.833,camera_5,lost_track,14
234,1170,39.0,camera_3,removed,20
234,1170,39.0,camera_6,removed,0
235,1175,39.167,camera_5,reacquired,14
235,1175,39.167,camera_7,lost_track,0
236,1180,39.333,camera_7,reacquired,0
238,1190,39.667,camera_5,new_track,15
238,1190,39.667,camera_5,lost_track,14
238,1190,39.667,camera_6,removed,1
239,1195,39.833,camera_5,lost_track,8
240,1200,40.0,camera_7,lost_track,1
241,1205,40.167,camera_7,new_track,3
242,1210,40.333,camera_4,removed,1
243,1215,40.5,camera_5,new_track,16
244,1220,40.667,camera_5,removed,11
244,1220,40.667,camera_6,removed,3
248,1240,41.333,camera_6,removed,4
249,1245,41.5,camera_5,lost_track,15
250,1250,41.667,camera_5,removed,5
250,1250,41.667,camera_5,removed,12
251,1255,41.833,camera_5,lost_track,6
251,1255,41.833,camera_5,removed,10
251,1255,41.833,camera_6,removed,2
252,1260,42.0,camera_5,lost_track,16
255,1275,42.5,camera_7,reacquired,1
255,1275,42.5,camera_7,lost_track,0
256,1280,42.667,camera_4,removed,3
259,1295,43.167,camera_6,new_track,5
262,1310,43.667,camera_6,lost_track,5
263,1315,43.833,camera_5,new_track,17
264,1320,44.0,camera_5,reacquired,8
267,1335,44.5,camera_5,lost_track,13
268,1340,44.667,camera_5,removed,14
269,1345,44.833,camera_5,reacquired,13
269,1345,44.833,camera_5,lost_track,17
271,1355,45.167,camera_5,reacquired,17
274,1370,45.667,camera_7,lost_track,2
