loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,525.0,9,9,0,9,0,9,0,0,0,7,0,2,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
50,8.33,552.5,11,9,2,15,2,9,5,0,0,8,0,5,0,4,0,0,6,0,5,0,4,0,0,0,0,0,0,0,0,0
100,16.67,552.7,17,13,4,15,4,13,2,0,0,11,0,8,0,4,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0
150,25.0,553.1,19,13,6,14,6,13,1,0,0,11,0,10,0,4,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0
200,33.33,553.2,20,13,7,14,7,13,2,0,0,11,0,11,0,4,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0
250,41.67,553.4,25,16,9,16,9,16,2,0,0,14,0,13,0,4,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
300,50.0,553.5,25,13,12,13,12,13,1,0,0,14,0,13,0,4,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
350,58.33,553.5,26,13,13,17,13,13,5,0,0,15,0,15,0,6,0,0,7,0,8,0,2,0,0,0,0,0,0,0,0,0
400,66.67,553.6,26,11,15,21,15,11,5,0,0,15,1,17,2,10,0,0,7,1,7,2,4,0,0,0,0,0,0,0,0,0
450,75.0,553.8,29,12,17,18,17,12,4,0,0,18,3,20,2,10,0,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0
500,83.33,553.8,29,8,21,13,21,8,1,0,0,18,3,23,2,10,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0
550,91.67,553.9,31,10,21,15,21,10,4,0,0,20,3,24,2,10,0,0,8,2,5,0,0,0,0,0,0,0,0,0,0,0
600,100.0,554.0,37,14,23,19,23,14,6,0,0,26,3,26,2,10,0,0,12,2,5,0,0,0,0,0,0,0,0,0,0,0
650,108.33,554.0,41,12,26,16,26,12,3,0,0,30,3,28,2,10,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0
700,116.67,554.5,42,10,27,16,27,10,1,0,0,31,4,29,2,10,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0
750,125.0,554.5,44,10,28,17,28,10,5,0,0,33,4,31,2,10,0,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0
800,133.33,554.5,46,9,30,15,30,9,0,0,0,35,4,31,2,10,0,0,7,2,6,0,0,0,0,0,0,0,0,0,0,0
850,141.67,554.5,48,10,28,18,28,10,6,0,0,37,4,33,2,10,0,0,8,2,8,0,0,0,0,0,0,0,0,0,0,0
900,150.0,554.6,48,9,26,16,26,9,6,0,0,37,5,35,2,10,0,0,7,2,7,0,0,0,0,0,0,0,0,0,0,0
950,158.33,554.6,53,13,26,14,26,13,2,0,0,40,5,38,2,10,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0
1000,166.67,554.6,64,18,30,18,30,18,10,0,0,46,5,43,2,10,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0
1050,175.0,554.6,71,17,34,17,34,17,7,0,0,50,5,46,2,10,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0
1100,183.33,554.6,75,13,41,13,41,13,7,0,0,51,5,49,2,10,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0
1150,191.67,554.6,82,12,47,12,47,12,4,0,0,53,5,54,2,10,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
1200,200.0,554.6,93,19,47,19,47,19,7,0,0,60,5,58,2,10,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0
1250,208.33,228.3,97,17,48,21,48,17,10,0,0,62,7,62,2,10,0,0,10,2,9,0,0,0,0,0,0,0,0,0,0,0
