loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,0
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_1,new_track,2
0,0,0.0,camera_2,new_track,0
0,0,0.0,camera_3,new_track,0
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
5,25,0.833,camera_1,new_track,3
14,70,2.333,camera_1,new_track,4
25,125,4.167,camera_1,lost_track,3
26,130,4.333,camera_1,reacquired,3
27,135,4.5,camera_1,lost_track,3
35,175,5.833,camera_1,lost_track,4
38,190,6.333,camera_1,new_track,5
43,215,7.167,camera_1,new_track,6
51,255,8.5,camera_1,reacquired,3
52,260,8.667,camera_1,new_track,7
54,270,9.0,camera_1,lost_track,7
55,275,9.167,camera_1,reacquired,7
59,295,9.833,camera_1,lost_track,7
65,325,10.833,camera_1,removed,4
83,415,13.833,camera_1,new_track,8
89,445,14.833,camera_1,removed,7
90,450,15.0,camera_1,lost_track,8
120,600,20.0,camera_1,removed,8
132,660,22.0,camera_1,lost_track,3
134,670,22.333,camera_1,reacquired,3
147,735,24.5,camera_1,new_track,9
166,830,27.667,camera_1,lost_track,9
196,980,32.667,camera_1,removed,9
198,990,33.0,camera_1,new_track,10
203,1015,33.833,camera_1,new_track,11
204,1020,34.0,camera_1,lost_track,10
211,1055,35.167,camera_1,lost_track,0
212,1060,35.333,camera_1,reacquired,0
213,1065,35.5,camera_1,new_track,12
214,1070,35.667,camera_1,new_track,13
215,1075,35.833,camera_1,lost_track,11
216,1080,36.0,camera_1,reacquired,11
217,1085,36.167,camera_1,new_track,14
217,1085,36.167,camera_1,lost_track,12
220,1100,36.667,camera_1,reacquired,12
220,1100,36.667,camera_1,lost_track,13
221,1105,36.833,camera_1,lost_track,12
223,1115,37.167,camera_1,lost_track,5
224,1120,37.333,camera_1,reacquired,5
226,1130,37.667,camera_1,reacquired,13
228,1140,38.0,camera_1,lost_track,13
232,1160,38.667,camera_1,lost_track,11
234,1170,39.0,camera_1,removed,10
241,1205,40.167,camera_1,lost_track,5
249,1245,41.5,camera_1,lost_track,14
250,1250,41.667,camera_1,lost_track,6
251,1255,41.833,camera_1,reacquired,14
251,1255,41.833,camera_1,removed,12
253,1265,42.167,camera_1,reacquired,6
258,1290,43.0,camera_1,lost_track,14
258,1290,43.0,camera_1,removed,13
260,1300,43.333,camera_3,new_track,3
262,1310,43.667,camera_1,reacquired,14
262,1310,43.667,camera_1,removed,11
265,1325,44.167,camera_1,lost_track,6
270,1350,45.0,camera_1,new_track,15
271,1355,45.167,camera_1,removed,5
273,1365,45.5,camera_3,lost_track,3
275,1375,45.833,camera_1,lost_track,15
288,1440,48.0,camera_1,new_track,16
291,1455,48.5,camera_1,reacquired,15
295,1475,49.167,camera_1,removed,6
298,1490,49.667,camera_1,lost_track,15
303,1515,50.5,camera_1,reacquired,15
303,1515,50.5,camera_3,removed,3
306,1530,51.0,camera_3,new_track,4
314,1570,52.333,camera_1,lost_track,15
324,1620,54.0,camera_1,new_track,17
326,1630,54.333,camera_1,lost_track,16
344,1720,57.333,camera_1,removed,15
346,1730,57.667,camera_1,new_track,18
349,1745,58.167,camera_3,new_track,5
355,1775,59.167,camera_3,lost_track,5
356,1780,59.333,camera_1,removed,16
358,1790,59.667,camera_3,reacquired,5
365,1825,60.833,camera_1,new_track,19
366,1830,61.0,camera_1,lost_track,19
367,1835,61.167,camera_3,lost_track,1
368,1840,61.333,camera_1,reacquired,19
369,1845,61.5,camera_3,reacquired,1
371,1855,61.833,camera_1,lost_track,19
378,1890,63.0,camera_1,lost_track,14
379,1895,63.167,camera_3,new_track,6
380,1900,63.333,camera_1,reacquired,14
381,1905,63.5,camera_1,lost_track,3
382,1910,63.667,camera_3,new_track,7
383,1915,63.833,camera_1,lost_track,0
385,1925,64.167,camera_1,reacquired,0
396,1980,66.0,camera_3,lost_track,7
401,2005,66.833,camera_1,lost_track,0
401,2005,66.833,camera_1,removed,19
402,2010,67.0,camera_1,lost_track,14
403,2015,67.167,camera_1,new_track,20
407,2035,67.833,camera_1,lost_track,18
408,2040,68.0,camera_1,reacquired,14
410,2050,68.333,camera_1,new_track,21
410,2050,68.333,camera_3,lost_track,2
411,2055,68.5,camera_1,reacquired,0
411,2055,68.5,camera_1,lost_track,1
411,2055,68.5,camera_1,removed,3
412,2060,68.667,camera_1,reacquired,1
416,2080,69.333,camera_1,lost_track,20
419,2095,69.833,camera_1,new_track,22
422,2110,70.333,camera_3,lost_track,4
423,2115,70.5,camera_1,reacquired,20
424,2120,70.667,camera_1,lost_track,20
425,2125,70.833,camera_3,reacquired,4
426,2130,71.0,camera_3,new_track,8
426,2130,71.0,camera_3,removed,7
434,2170,72.333,camera_3,lost_track,4
437,2185,72.833,camera_1,lost_track,21
437,2185,72.833,camera_1,removed,18
