loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,520.1,4,4,0,7,0,4,0,0,0,3,1,3,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0
50,8.33,547.6,8,8,0,11,0,8,2,0,0,7,1,3,0,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0
100,16.67,547.9,10,8,2,11,2,8,1,0,0,9,1,3,0,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0
150,25.0,548.1,11,8,3,11,3,8,0,0,0,10,1,3,0,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0
200,33.33,548.3,13,9,4,12,4,9,1,0,0,12,1,3,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0
250,41.67,548.7,18,12,6,15,6,12,5,0,0,17,1,3,0,0,0,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0
300,50.0,549.0,21,9,12,13,12,9,4,0,0,20,1,4,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,0
350,58.33,549.0,24,9,15,14,15,9,1,0,0,23,1,6,0,0,0,0,8,1,5,0,0,0,0,0,0,0,0,0,0,0
400,66.67,549.1,28,11,17,19,17,11,5,0,0,27,1,9,0,0,0,0,10,1,8,0,0,0,0,0,0,0,0,0,0,0
450,75.0,549.2,32,8,24,14,24,8,4,0,0,31,1,10,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0
500,83.33,549.2,35,10,25,14,25,10,3,0,0,34,1,10,0,0,0,0,9,1,4,0,0,0,0,0,0,0,0,0,0,0
550,91.67,549.2,36,7,29,12,29,7,3,0,0,35,1,13,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0
600,100.0,549.2,37,6,31,11,31,6,0,0,0,36,1,14,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0
650,108.33,549.2,39,7,31,15,31,7,4,0,0,38,1,18,0,0,0,0,6,1,8,0,0,0,0,0,0,0,0,0,0,0
700,116.67,549.8,40,6,31,10,31,6,0,0,0,39,1,18,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0
750,125.0,549.8,41,6,32,10,32,6,0,0,0,40,1,19,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0
800,133.33,549.9,43,8,30,13,30,8,5,0,0,42,1,20,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0
850,141.67,549.9,45,6,28,10,28,6,1,0,0,44,1,20,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0
900,150.0,549.9,46,6,26,10,26,6,3,0,0,45,1,20,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0
950,158.33,549.9,47,6,25,9,25,6,0,0,0,46,1,21,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0
1000,166.67,549.9,50,9,21,14,21,9,2,0,0,49,1,24,0,0,0,0,8,1,5,0,0,0,0,0,0,0,0,0,0,0
1050,175.0,549.9,50,8,17,13,17,8,3,0,0,49,1,27,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0
1100,183.33,549.9,50,6,16,12,16,6,3,0,0,49,1,28,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0
1150,191.67,549.9,51,7,13,10,13,7,0,0,0,50,1,28,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0
1200,200.0,549.9,53,9,13,12,13,9,2,0,0,52,1,28,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0
1250,208.33,549.9,53,7,14,10,14,7,0,0,0,52,1,28,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0
1300,216.67,549.9,54,8,12,11,12,8,2,0,0,53,1,28,0,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0
1350,225.0,549.9,56,9,12,12,12,9,2,0,0,55,1,28,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0
1400,233.33,549.9,56,7,10,10,10,7,0,0,0,55,1,28,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0
1450,241.67,549.9,57,7,10,11,10,7,0,0,0,56,1,29,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0
1500,250.0,280.9,57,7,9,13,9,7,1,0,0,56,1,31,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0
