loop_i,video_fid,t_sec,camera_id,kind,track_id
0,0,0.0,camera_1,new_track,1
0,0,0.0,camera_1,new_track,2
0,0,0.0,camera_2,new_track,1
0,0,0.0,camera_2,new_track,2
0,0,0.0,camera_2,new_track,3
0,0,0.0,camera_2,new_track,4
0,0,0.0,camera_2,new_track,5
0,0,0.0,camera_3,new_track,1
0,0,0.0,camera_3,new_track,2
0,0,0.0,camera_3,new_track,3
0,0,0.0,camera_3,new_track,4
3,15,0.5,camera_3,new_track,5
4,20,0.667,camera_3,new_track,6
4,20,0.667,camera_3,new_track,7
6,30,1.0,camera_3,lost_track,4
9,45,1.5,camera_2,new_track,6
10,50,1.667,camera_2,lost_track,6
10,50,1.667,camera_3,lost_track,5
12,60,2.0,camera_3,lost_track,7
13,65,2.167,camera_2,reacquired,6
13,65,2.167,camera_2,lost_track,4
13,65,2.167,camera_3,new_track,8
15,75,2.5,camera_2,lost_track,6
16,80,2.667,camera_1,new_track,3
16,80,2.667,camera_2,reacquired,6
18,90,3.0,camera_2,new_track,8
18,90,3.0,camera_2,new_track,7
18,90,3.0,camera_3,new_track,9
21,105,3.5,camera_2,lost_track,7
23,115,3.833,camera_3,lost_track,8
24,120,4.0,camera_2,lost_track,8
25,125,4.167,camera_1,new_track,4
25,125,4.167,camera_3,lost_track,3
28,140,4.667,camera_3,reacquired,3
29,145,4.833,camera_2,lost_track,5
29,145,4.833,camera_3,reacquired,8
31,155,5.167,camera_1,lost_track,3
32,160,5.333,camera_2,reacquired,5
36,180,6.0,camera_3,removed,4
37,185,6.167,camera_3,lost_track,6
38,190,6.333,camera_3,lost_track,9
39,195,6.5,camera_3,new_track,10
40,200,6.667,camera_2,new_track,9
40,200,6.667,camera_3,removed,5
42,210,7.0,camera_3,removed,7
43,215,7.167,camera_2,removed,4
44,220,7.333,camera_1,reacquired,3
47,235,7.833,camera_2,lost_track,6
51,255,8.5,camera_2,removed,7
52,260,8.667,camera_1,lost_track,4
53,265,8.833,camera_2,new_track,10
54,270,9.0,camera_2,removed,8
55,275,9.167,camera_3,new_track,11
59,295,9.833,camera_1,reacquired,4
60,300,10.0,camera_3,new_track,12
61,305,10.167,camera_2,lost_track,9
62,310,10.333,camera_1,new_track,5
63,315,10.5,camera_3,lost_track,8
63,315,10.5,camera_3,lost_track,3
64,320,10.667,camera_1,lost_track,5
64,320,10.667,camera_3,lost_track,12
65,325,10.833,camera_1,new_track,6
66,330,11.0,camera_3,reacquired,3
66,330,11.0,camera_3,reacquired,12
67,335,11.167,camera_1,lost_track,3
67,335,11.167,camera_1,lost_track,4
67,335,11.167,camera_3,removed,6
68,340,11.333,camera_1,reacquired,4
68,340,11.333,camera_3,removed,9
70,350,11.667,camera_3,lost_track,12
71,355,11.833,camera_2,lost_track,10
72,360,12.0,camera_3,reacquired,12
73,365,12.167,camera_1,new_track,7
76,380,12.667,camera_2,reacquired,10
76,380,12.667,camera_3,lost_track,10
77,385,12.833,camera_2,reacquired,9
77,385,12.833,camera_2,removed,6
77,385,12.833,camera_3,lost_track,11
80,400,13.333,camera_2,lost_track,10
82,410,13.667,camera_3,reacquired,8
83,415,13.833,camera_1,lost_track,7
83,415,13.833,camera_2,lost_track,5
83,415,13.833,camera_5,new_track,1
85,425,14.167,camera_1,reacquired,7
86,430,14.333,camera_1,lost_track,2
86,430,14.333,camera_2,new_track,11
87,435,14.5,camera_2,lost_track,2
88,440,14.667,camera_1,lost_track,6
90,450,15.0,camera_2,reacquired,10
90,450,15.0,camera_2,lost_track,9
90,450,15.0,camera_3,reacquired,11
92,460,15.333,camera_3,lost_track,8
94,470,15.667,camera_1,removed,5
95,475,15.833,camera_3,reacquired,8
97,485,16.167,camera_1,removed,3
99,495,16.5,camera_1,lost_track,4
102,510,17.0,camera_1,reacquired,4
102,510,17.0,camera_3,lost_track,12
102,510,17.0,camera_5,lost_track,1
103,515,17.167,camera_1,new_track,8
103,515,17.167,camera_2,new_track,12
104,520,17.333,camera_3,lost_track,3
106,530,17.667,camera_3,removed,10
108,540,18.0,camera_3,reacquired,3
108,540,18.0,camera_3,reacquired,12
109,545,18.167,camera_2,new_track,13
111,555,18.5,camera_2,lost_track,13
111,555,18.5,camera_3,lost_track,11
113,565,18.833,camera_2,removed,5
113,565,18.833,camera_3,new_track,13
113,565,18.833,camera_6,new_track,1
116,580,19.333,camera_1,new_track,9
116,580,19.333,camera_1,removed,2
117,585,19.5,camera_2,removed,2
118,590,19.667,camera_1,removed,6
119,595,19.833,camera_2,lost_track,12
120,600,20.0,camera_1,lost_track,8
120,600,20.0,camera_2,reacquired,13
120,600,20.0,camera_2,removed,9
122,610,20.333,camera_1,new_track,10
125,625,20.833,camera_3,lost_track,13
127,635,21.167,camera_1,reacquired,8
127,635,21.167,camera_1,lost_track,10
132,660,22.0,camera_5,removed,1
133,665,22.167,camera_2,lost_track,10
133,665,22.167,camera_6,new_track,2
135,675,22.5,camera_2,new_track,14
136,680,22.667,camera_1,lost_track,9
137,685,22.833,camera_5,new_track,2
137,685,22.833,camera_6,lost_track,2
138,690,23.0,camera_2,lost_track,14
139,695,23.167,camera_5,new_track,3
141,705,23.5,camera_3,removed,11
141,705,23.5,camera_5,lost_track,3
142,710,23.667,camera_1,lost_track,8
146,730,24.333,camera_6,new_track,3
147,735,24.5,camera_2,lost_track,13
149,745,24.833,camera_2,removed,12
149,745,24.833,camera_4,new_track,1
150,750,25.0,camera_3,lost_track,8
154,770,25.667,camera_1,lost_track,4
155,775,25.833,camera_3,removed,13
155,775,25.833,camera_5,lost_track,2
156,780,26.0,camera_3,lost_track,12
157,785,26.167,camera_1,removed,10
163,815,27.167,camera_2,removed,10
166,830,27.667,camera_1,removed,9
166,830,27.667,camera_2,lost_track,11
167,835,27.833,camera_6,new_track,4
167,835,27.833,camera_6,removed,2
168,840,28.0,camera_2,removed,14
168,840,28.0,camera_6,lost_track,3
171,855,28.5,camera_5,removed,3
172,860,28.667,camera_1,removed,8
173,865,28.833,camera_6,reacquired,3
176,880,29.333,camera_6,lost_track,3
177,885,29.5,camera_2,removed,13
177,885,29.5,camera_6,new_track,5
178,890,29.667,camera_6,lost_track,5
180,900,30.0,camera_3,new_track,14
180,900,30.0,camera_3,removed,8
183,915,30.5,camera_3,lost_track,2
183,915,30.5,camera_6,lost_track,4
184,920,30.667,camera_1,removed,4
184,920,30.667,camera_6,reacquired,4
185,925,30.833,camera_3,reacquired,2
185,925,30.833,camera_5,removed,2
186,930,31.0,camera_3,removed,12
187,935,31.167,camera_6,lost_track,1
188,940,31.333,camera_2,new_track,15
